condition,n_test_cells,n_pred_cells,n_genes,mean_pearson,mean_spearman,perturbation_effect_pearson,perturbation_effect_spearman,r_squared,mse,wasserstein_1_pca50,mmd_pca50,energy_pca50
SNRPG+ctrl,325.0,2000.0,5000.0,0.9963221018377011,0.9772252764884648,0.8718887736617991,0.7755452259684221,0.9922846285626292,0.0009590133463146583,0.7851901790237412,0.5453176607340371,0.3764180941435423
SON+ctrl,238.0,2000.0,5000.0,0.9777916938971488,0.9297592014589967,0.6816735180983492,0.5769516444999127,0.9540360756218433,0.005533506981533386,0.9440420361544661,0.5070074860222932,0.46674726786847615
SPC25+ctrl,181.0,2000.0,5000.0,0.9891364962885946,0.9592700805538258,0.897017684068076,0.7703771833985544,0.9734431728720665,0.002947508576823062,1.2463921227913812,0.5121423788374908,0.6067382642535474
SPCS3+ctrl,115.0,2000.0,5000.0,0.9973229609887779,0.9780025010379882,0.2964210938543183,0.25194004931778824,0.9945881310850382,0.0007053003631792118,0.9719442109495539,0.5095258419835956,0.4823253528582962
SRBD1+ctrl,143.0,2000.0,5000.0,0.998186498470092,0.9813469514289828,0.6975374018610776,0.47286470647068074,0.9963718713261187,0.0004526891831935824,0.9673872806168456,0.5007068349296447,0.4404695089985236
SRFBP1+ctrl,73.0,2000.0,5000.0,0.9919574875974516,0.9656044845673539,0.3016456505405034,0.20943361922534476,0.9821377024054527,0.0021135604799196635,1.1836498538648845,0.5178084023012776,0.5882466555707326
SRP68+ctrl,158.0,2000.0,5000.0,0.994315283426051,0.9721478530619136,0.4540973080758474,0.3457839704879564,0.9883665908128023,0.0014862053315370693,0.9413265585523649,0.5192736972955718,0.4666169193313553
SRRM1+ctrl,136.0,2000.0,5000.0,0.9949275465800882,0.9712052969195211,0.4226437612184036,0.32992995145303466,0.9897346924990416,0.0013322531762980268,0.8781155697060606,0.5199671580209186,0.42522815384952617
SSRP1+ctrl,440.0,2000.0,5000.0,0.9933115972010932,0.9749197791567913,0.7967948581860288,0.6908953473163953,0.986327818594873,0.0016516576407592642,0.7553449312833739,0.5814256993252427,0.38805677197195515
SUGT1+ctrl,94.0,2000.0,5000.0,0.9954833519025018,0.9718024180954202,-0.16812067196464411,-0.050014625176987466,0.990842523984611,0.0011869824957679,1.013528756294377,0.5087381503243746,0.5031748876993114
SURF6+ctrl,113.0,2000.0,5000.0,0.9972423518029405,0.9778515621529992,0.7649749994622767,0.5722284474308713,0.9941033986397088,0.0007592781537291319,0.9407371804281549,0.4943409312057654,0.44398241887030765
TAF10+ctrl,38.0,2000.0,5000.0,0.9857680192182626,0.9293380323823344,0.8407336219437214,0.5782367339391024,0.9711517840623856,0.003296714389161837,1.614595004924127,0.5099818490589871,0.7492248043637699
TAF6+ctrl,111.0,2000.0,5000.0,0.995358491219236,0.9707970633584809,0.8041511642266068,0.5167565942346659,0.9906796244904399,0.0011269996340220621,1.0743026156970612,0.5316977764452508,0.5135062184542325
