model,context,condition,n_true_cells,n_pred_cells,pra_all_genes,pra_top100_true_de,pra_nonzero_genes,true_range_mean,pred_range_mean,range_width_ratio
TxPert_official_cell_gat_k562_all_fixed2000,K562,SEC61A1,129,2000,0.10936787822402848,0.1305323123871099,0.10940051560935345,0.47306292950929213,0.05631855323750678,0.11905086730304
TxPert_official_cell_gat_k562_all_fixed2000,K562,SEC61G,74,2000,0.09957799623105476,0.12262732492979624,0.09957799623105476,0.48169324361187965,0.05453281134071367,0.11321066037734677
TxPert_official_cell_gat_k562_all_fixed2000,K562,SEH1L,59,2000,0.10635481347046676,0.1505379998708958,0.10638655170188141,0.4680270501619166,0.05503846392122171,0.11759675584181147
TxPert_official_cell_gat_k562_all_fixed2000,K562,SERBP1,94,2000,0.1226053473679458,0.18216655918978927,0.1226053473679458,0.424609353899209,0.056247220557351964,0.13246815859365635
TxPert_official_cell_gat_k562_all_fixed2000,K562,SETD1A,60,2000,0.09995627786264243,0.11575164365060733,0.09998610665341015,0.49475326487185495,0.05571638730083434,0.11261448914161373
TxPert_official_cell_gat_k562_all_fixed2000,K562,SETDB1,123,2000,0.11893415040545105,0.14720483651753777,0.11896964254224766,0.4290162512619128,0.05505606275866463,0.12833094623668148
TxPert_official_cell_gat_k562_all_fixed2000,K562,SF1,18,2000,0.12366596553793528,0.157405275050017,0.12531085746165632,0.42003128231238573,0.05495418939691678,0.13083356026732942
TxPert_official_cell_gat_k562_all_fixed2000,K562,SF3A1,165,2000,0.10774865311762469,0.1256778675974912,0.10774865311762469,0.46523548175440765,0.05532694829515068,0.11892245814375041
TxPert_official_cell_gat_k562_all_fixed2000,K562,SF3A2,236,2000,0.11006411664386627,0.13174094613340634,0.11006411664386627,0.4762930217241259,0.05576194387756129,0.11707486812416608
TxPert_official_cell_gat_k562_all_fixed2000,K562,SF3B2,197,2000,0.0990684936198002,0.11855127847085763,0.0990684936198002,0.506516538319447,0.05543682817830917,0.10944722015942226
TxPert_official_cell_gat_k562_all_fixed2000,K562,SF3B3,215,2000,0.09758409480315233,0.10495340042927503,0.09758409480315233,0.5134982219405987,0.05476295959650648,0.10664683184895841
TxPert_official_cell_gat_k562_all_fixed2000,K562,SF3B4,163,2000,0.1047962067859889,0.12025022201925979,0.1048274799005177,0.4824220346149085,0.05533181312016094,0.11469586379355723
TxPert_official_cell_gat_k562_all_fixed2000,K562,SF3B5,55,2000,0.10140260581887858,0.12470173647777971,0.10143286622049567,0.49407153917489877,0.05661762454260812,0.11459397861941202
TxPert_official_cell_gat_k562_all_fixed2000,K562,SFPQ,185,2000,0.09212555591094235,0.11948452983392739,0.09212555591094235,0.4872882399121232,0.0555592920980972,0.11401730312215957
TxPert_official_cell_gat_k562_all_fixed2000,K562,SFSWAP,145,2000,0.11289150091662942,0.18782809066180717,0.11292518981573914,0.45609003955049343,0.055756824103913104,0.12224959557627951
TxPert_official_cell_gat_k562_all_fixed2000,K562,SIN3A,217,2000,0.11486272859197497,0.14455770597558254,0.11489700574165923,0.45426849405901387,0.05647100934420929,0.12431196272606466
TxPert_official_cell_gat_k562_all_fixed2000,K562,SKA3,109,2000,0.1208461865930303,0.1961030082179328,0.1208461865930303,0.42983086155838646,0.05659348430386512,0.13166454074990214
TxPert_official_cell_gat_k562_all_fixed2000,K562,SKP1,62,2000,0.11295183289798633,0.12086532416918358,0.11295183289798633,0.46638220338759884,0.056586370193305036,0.12133046366045158
TxPert_official_cell_gat_k562_all_fixed2000,K562,SLBP,63,2000,0.12161839828199347,0.15654999773717,0.12165469144769983,0.4132069169368089,0.05346887485915462,0.12939975439310952
TxPert_official_cell_gat_k562_all_fixed2000,K562,SLC39A9,724,2000,0.11602471129888803,0.1728025738155854,0.11605933520557227,0.448500828044867,0.055901433102539824,0.12464064358548103
TxPert_official_cell_gat_k562_all_fixed2000,K562,SLC7A5,344,2000,0.11453744890491939,0.17526895506854567,0.11457162898516557,0.45480300733499524,0.05604261711755488,0.1232239342780689
TxPert_official_cell_gat_k562_all_fixed2000,K562,SLC7A6OS,36,2000,0.1118430599857823,0.16700126665083279,0.11211062711493487,0.45548667670683246,0.05524543314596509,0.12128879890077453
TxPert_official_cell_gat_k562_all_fixed2000,K562,SLU7,195,2000,0.10033282097755905,0.11155163088823686,0.10036276213571409,0.5138418013990138,0.056064251649497986,0.10910799862092652
TxPert_official_cell_gat_k562_all_fixed2000,K562,SMARCB1,118,2000,0.12198760190849015,0.1488701870081847,0.12198760190849015,0.4352651812736309,0.05620906331822574,0.12913751075235816
TxPert_official_cell_gat_k562_all_fixed2000,K562,SMC1A,156,2000,0.09735297132926825,0.09952909135916516,0.09738202324551094,0.515431424629539,0.05550334134526987,0.10768326806680373
TxPert_official_cell_gat_k562_all_fixed2000,K562,SMC2,108,2000,0.12328354530908307,0.15188351487833746,0.12332033538527198,0.4338974295437407,0.055200600290508745,0.12722038726145568
TxPert_official_cell_gat_k562_all_fixed2000,K562,SMC3,42,2000,0.10156929921972382,0.12498710645764657,0.10159960936571596,0.4879449518846441,0.054984761236001004,0.11268640017027176
TxPert_official_cell_gat_k562_all_fixed2000,K562,SMC4,169,2000,0.12181467198331004,0.15909923046494748,0.1218510237206969,0.43529625979556685,0.05613996563798822,0.12896955368892518
TxPert_official_cell_gat_k562_all_fixed2000,K562,SMG5,82,2000,0.12072795820686799,0.13001244247929697,0.12072795820686799,0.42841161196642435,0.05523398601342224,0.12892737540568183
TxPert_official_cell_gat_k562_all_fixed2000,K562,SMN2,319,2000,0.10612275995815135,0.14754196529168284,0.10612275995815135,0.46647345113316835,0.05519363854637789,0.11832106892490775
TxPert_official_cell_gat_k562_all_fixed2000,K562,SMU1,101,2000,0.08700354278744776,0.0935854543085496,0.08702950624396447,0.5315454556075478,0.05452423242278073,0.10257679907110187
TxPert_official_cell_gat_k562_all_fixed2000,K562,SNAPC1,96,2000,0.11666953520349166,0.15106890875387846,0.11670435153748256,0.4446387123149822,0.055358186436245814,0.12450149673880644
TxPert_official_cell_gat_k562_all_fixed2000,K562,SNAPC2,68,2000,0.11564860570216108,0.14279535233167853,0.11568311737202147,0.44427158686250173,0.05525970617270315,0.12438271220342172
TxPert_official_cell_gat_k562_all_fixed2000,K562,SNAPC3,201,2000,0.11270763380125469,0.14662018317497671,0.11270763380125469,0.4521199883026269,0.055043553850760235,0.12174545266169975
TxPert_official_cell_gat_k562_all_fixed2000,K562,SNAPC5,90,2000,0.1133545535481026,0.1811051955403753,0.11338838063062964,0.45378806897192353,0.056329024774589204,0.12413068431018515
TxPert_official_cell_gat_k562_all_fixed2000,K562,SNIP1,43,2000,0.10699204818478103,0.14629713384839468,0.10702397657874844,0.44762615803940353,0.05309480844656793,0.1186141745893062
TxPert_official_cell_gat_k562_all_fixed2000,K562,SNRNP200,92,2000,0.09577358467825306,0.11882998892880318,0.09577358467825306,0.509214447664546,0.05506374932712207,0.10813469354280643
TxPert_official_cell_gat_k562_all_fixed2000,K562,SNRNP25,112,2000,0.11203814453696112,0.14181020857546245,0.11203814453696112,0.44836020366486556,0.054661700332221674,0.12191469864246136
TxPert_official_cell_gat_k562_all_fixed2000,K562,SNRNP27,42,2000,0.10575542904361368,0.13907585348026644,0.10575542904361368,0.4556678784624417,0.05485712594087603,0.12038839542979472
TxPert_official_cell_gat_k562_all_fixed2000,K562,SNRNP35,159,2000,0.1096767664487516,0.12556413012747444,0.10970949601200101,0.46347781257317167,0.05406504412704573,0.11665076837308692
TxPert_official_cell_gat_k562_all_fixed2000,K562,SNRNP48,179,2000,0.11127783332069867,0.13255567853627892,0.11131104067173439,0.4662954929651503,0.05531563068543359,0.11862784507610345
TxPert_official_cell_gat_k562_all_fixed2000,K562,SNRNP70,85,2000,0.09980166131246256,0.1243566051584969,0.09983144396280946,0.5016032423335074,0.05548039448965977,0.11060612990757046
TxPert_official_cell_gat_k562_all_fixed2000,K562,SNRPA1,79,2000,0.10043153940035801,0.1349725490703685,0.10055152929211471,0.47769977569331146,0.05589962796508702,0.11701832330520491
TxPert_official_cell_gat_k562_all_fixed2000,K562,SNRPB,120,2000,0.10507774763633015,0.12945887616711374,0.10507774763633015,0.4944651254948434,0.05726573665191249,0.11581349733506073
TxPert_official_cell_gat_k562_all_fixed2000,K562,SNRPC,28,2000,0.11229469157093716,0.14467942345482793,0.11279946243505584,0.4655423983331406,0.056356264649099076,0.12105506102200408
TxPert_official_cell_gat_k562_all_fixed2000,K562,SNRPD1,113,2000,0.1007297219336739,0.14239582272055037,0.1007597815343703,0.48907094642804455,0.05652602347509208,0.11557836901199954
TxPert_official_cell_gat_k562_all_fixed2000,K562,SNRPD3,120,2000,0.10049333473425222,0.127669073129522,0.10049333473425222,0.5035639284400889,0.05617844769797847,0.11156169735268336
TxPert_official_cell_gat_k562_all_fixed2000,K562,SNRPE,128,2000,0.10660669534010289,0.13929548791403215,0.10660669534010289,0.48597816517954434,0.05585462718586347,0.11493237770446792
TxPert_official_cell_gat_k562_all_fixed2000,K562,SNRPF,92,2000,0.0990200080265244,0.14277220819879996,0.0990200080265244,0.48371200858835395,0.055961500440095166,0.1156917717351969
TxPert_official_cell_gat_k562_all_fixed2000,K562,SNRPG,325,2000,0.10857767885058897,0.1407277685621229,0.10857767885058897,0.4800456543455262,0.055752165663097195,0.11613929632945924
TxPert_official_cell_gat_k562_all_fixed2000,K562,SNW1,115,2000,0.10654806076105719,0.12754062132625707,0.10654806076105719,0.47190393377406653,0.05529775319160863,0.11718010396218163
TxPert_official_cell_gat_k562_all_fixed2000,K562,SON,238,2000,0.09920185804935636,0.10808792270350037,0.09920185804935636,0.5111109261172058,0.05598548099747026,0.10953684815038257
TxPert_official_cell_gat_k562_all_fixed2000,K562,SPC24,95,2000,0.09609416907271091,0.09906053258124492,0.09609416907271091,0.5262558170467582,0.05344829205212435,0.10156332586769709
TxPert_official_cell_gat_k562_all_fixed2000,K562,SPC25,181,2000,0.09679393822453679,0.11340834155275042,0.09682282331502455,0.5494810053300744,0.05497333258782183,0.10004591797370695
TxPert_official_cell_gat_k562_all_fixed2000,K562,SPCS3,115,2000,0.11581558064712259,0.12157592976053605,0.11585014214537598,0.4419408106069506,0.05536778801668721,0.12528326290530586
TxPert_official_cell_gat_k562_all_fixed2000,K562,SRBD1,143,2000,0.11871040668094916,0.14667444370628344,0.11871040668094916,0.45666699110617,0.055780604695078874,0.12214722009683925
TxPert_official_cell_gat_k562_all_fixed2000,K562,SRFBP1,73,2000,0.11223220478561706,0.21015354469415778,0.11226569693864172,0.4597635206919794,0.05591787121348698,0.12162311162289513
TxPert_official_cell_gat_k562_all_fixed2000,K562,SRP54,75,2000,0.11070332544182378,0.1276361328848245,0.11070332544182378,0.45535733496507996,0.05499533703070032,0.12077401987425448
TxPert_official_cell_gat_k562_all_fixed2000,K562,SRP68,158,2000,0.11027452800786354,0.12918526267963532,0.11027452800786354,0.4660925865906841,0.055103591126211986,0.11822455780091091
