condition,n_test_cells,n_pred_cells,n_genes,mean_pearson,mean_spearman,perturbation_effect_pearson,perturbation_effect_spearman,r_squared,mse,wasserstein_1_pca50,mmd_pca50,energy_pca50,repeat
MRPS27+ctrl,76,2000,5000,0.9961656748547842,0.9693133854357986,0.5772212874497067,0.4385929471858229,0.9922055527567863,0.0010155513100071885,1.1210584008810336,0.4999661114438918,0.5076725358211516,0
MTPAP+ctrl,86,2000,5000,0.9763570760027555,0.970809549406981,0.40021059246755386,0.3745861402514059,0.9527044296264648,0.00612427711290651,1.238668683706548,0.5163676182406158,0.7227407557569384,0
MZT1+ctrl,381,2000,5000,0.99782721278586,0.9884439549209263,0.3156012137136804,0.21781214375216823,0.9954497651197016,0.0005822415631338181,0.6477784164140422,0.5079118076212465,0.29206782016303046,0
NAA15+ctrl,107,2000,5000,0.9968087340320139,0.9738829939953195,0.41139199101067864,0.2959347933698014,0.9935695263557136,0.0007967416391196268,1.0409148335992127,0.517608621225003,0.4943734214835672,0
NARS+ctrl,149,2000,5000,0.9923035052137112,0.9678280310140329,0.8889252718368208,0.7287079122712946,0.9845619415864348,0.0019476901361364252,0.9902209326424297,0.5053436426298681,0.48409736260281,0
NBAS+ctrl,94,2000,5000,0.9978336460751809,0.9740918838584315,0.627779532977195,0.43771498247910445,0.9955496531911194,0.0005763202090241271,1.093253118022808,0.5228704277859106,0.5380342688352616,0
NCAPH+ctrl,64,2000,5000,0.9956819420197773,0.9601649216705966,0.5359505821669938,0.3690607867250039,0.9913004618138075,0.0010994772658699677,1.147918451948287,0.45943380024376773,0.5006347363201725,0
NDC80+ctrl,171,2000,5000,0.9977599153491868,0.9807051876122072,0.8523938789783672,0.6842506932277159,0.994947331957519,0.000598666453700427,1.032924019480734,0.5130446491958098,0.4525883285087538,0
NDUFA8+ctrl,85,2000,5000,0.9970855446637009,0.9704150317766009,0.34094345241709134,0.17459763302504738,0.9939379207789898,0.0007882279815606406,1.072543916011436,0.5182248703823977,0.5130668637601238,0
NEDD1+ctrl,134,2000,5000,0.997659302079213,0.980551157142046,0.5191033961272271,0.37794000570695296,0.9952843030914664,0.0006050785913999669,0.8924494655314248,0.5037731627546367,0.4196424649699468,0
NELFA+ctrl,82,2000,5000,0.9916937592239263,0.9577361360674167,0.3718744160525203,0.2095409934056397,0.9834284950047731,0.0020455617027119615,1.2061051738395812,0.5244950177587673,0.6167188044285714,0
NFRKB+ctrl,223,2000,5000,0.9967979234252041,0.9811669192382249,0.3718002765356635,0.21927132063716542,0.9935344606637955,0.0008176242861394604,0.8007088872638009,0.5394837873152184,0.37486166111334995,0
NOL6+ctrl,107,2000,5000,0.9949214511590612,0.9752238866003609,0.9303457021998686,0.7838525934341036,0.9886827496811748,0.0012941908392734179,1.0656404079485717,0.51163607832745,0.5269462810194774,0
NOP10+ctrl,124,2000,5000,0.9970854329827887,0.9786178468567137,0.7184965109119725,0.4070112775959877,0.9941326091066003,0.0007207363483838992,0.985960945932257,0.5186329074314139,0.48295223099705864,0
NRBP1+ctrl,62,2000,5000,0.9929239685907222,0.9504382099167704,0.301769334707358,0.21051979294794915,0.984913844615221,0.0018229641044080725,1.2628950379846773,0.503668207891772,0.5778145600479359,0
NSA2+ctrl,71,2000,5000,0.9967398284662516,0.9718954923071451,0.7397881442204237,0.5214241303929652,0.9933107672259212,0.0008720448643764085,1.100972815028672,0.5137178937551239,0.5486466310976869,0
NUBP1+ctrl,144,2000,5000,0.9984453361968646,0.9826239423525407,0.6238417315715891,0.42575440177061225,0.9967080354690552,0.0004236569922806643,0.8994864455940487,0.5203703254677479,0.43280577709113816,0
NUDC+ctrl,106,2000,5000,0.9967916281654167,0.9714558480961787,0.3122067160614864,0.22846729957114165,0.9935674881562591,0.0008114996858084103,1.0588378371317868,0.5233155141842358,0.5179541336471524,0
NUP54+ctrl,266,2000,5000,0.9955493577405427,0.9791346755248862,0.7776537468761686,0.6345541408526243,0.9909643512219191,0.0011661427805415565,0.7639456211857372,0.5233925824844659,0.36825325086352495,0
NUTF2+ctrl,44,2000,5000,0.9888919732139804,0.9422730808816292,0.7408781685287544,0.5628469160178766,0.9778657462447882,0.002847743834694216,1.3910296385681953,0.5021732340798101,0.701629653703462,0
OGFOD1+ctrl,101,2000,5000,0.9922247675366079,0.9578078911033033,0.3211911697293276,0.204531398632891,0.984008064493537,0.001998856512415451,1.0505122383047554,0.5281567896814114,0.5375174055407025,0
OPA1+ctrl,53,2000,5000,0.9956318346957198,0.9606970546264496,0.41580691771333367,0.3145044102432727,0.9908007215708494,0.0012058381962372525,1.2419610477543683,0.514066727678983,0.5964952247703873,0
ORC5+ctrl,89,2000,5000,0.9965927069517496,0.968950927821292,0.43850750816115003,0.2105649481817586,0.9928171457722783,0.0009412198056129782,1.0823169676881874,0.519059078313058,0.5499543926007908,0
OXA1L+ctrl,305,2000,5000,0.996718446502969,0.9846089838963595,0.864540874576243,0.703255681094618,0.9933310365304351,0.0008790041594937802,0.7318361058042349,0.5425888708615237,0.35386133008147813,0
