condition,n_test_cells,n_pred_cells,n_genes,wasserstein_1_pca50,mmd_pca50,energy_pca50
EXOSC2,209,2000,5000,0.8424136891024665,0.2688131509012494,0.36321595643570637
ALG13,167,2000,5000,0.7030730335815969,0.24680588152095315,0.2397999487491867
CPSF3,575,2000,5000,0.500196843777554,0.177606988054899,0.2003247558486655
RBM42,68,2000,5000,1.055762473757091,0.3214820396508645,0.44045804198427596
CDC40,84,2000,5000,0.9944046771279169,0.2753443055766396,0.3614800128777224
PPP1R11,69,2000,5000,0.983571216453671,0.28809789349745973,0.39150079416636574
SF3B3,215,2000,5000,0.8529074555251124,0.23771810120101883,0.3339225374873685
MRPL54,112,2000,5000,0.8319941336293358,0.26490094150893045,0.2938704762089915
WDHD1,175,2000,5000,0.6608778358416898,0.24556481680301903,0.24088387377205966
FCF1,225,2000,5000,0.6799474287415279,0.2265320409973048,0.24551504110517874
LSM4,68,2000,5000,1.011556517493933,0.2873405180690688,0.4045232142266434
IGBP1,245,2000,5000,0.6949189096764181,0.20155862097534988,0.22912523910319485
SNRNP27,42,2000,5000,1.220462736821843,0.2714607860070562,0.4458783746662427
GFM1,230,2000,5000,0.6193329093452999,0.23244500392709866,0.23259550616494665
POLR2E,93,2000,5000,0.9817224402681132,0.28288327350567394,0.35687466337509804
SNRPD1,113,2000,5000,1.1004049249813983,0.3280829628269665,0.5413664949360586
RFC3,211,2000,5000,0.5926126753028089,0.19528084496172485,0.19348570384912128
MRPS26,111,2000,5000,0.8292513821772044,0.2739830013109048,0.3094011303307148
RCC1,162,2000,5000,0.7361595260631091,0.23753318439292548,0.25644838294053857
NEDD1,134,2000,5000,0.7392018519112176,0.2330440321594523,0.25390667178172416
DDX5,130,2000,5000,0.7711415293693084,0.2813249662428414,0.3017833504567431
EIF2S1,208,2000,5000,0.9539801689915888,0.30648902138118717,0.5147923691889894
CUL1,181,2000,5000,0.6933454482480559,0.2502096213236532,0.24632646770425373
KRI1,51,2000,5000,1.0345317514042383,0.2540049328255417,0.3618205222554647
ZNF335,140,2000,5000,0.7674437773983659,0.26612683135534143,0.2882270802631376
GPKOW,105,2000,5000,0.9130566229688216,0.2777697720023987,0.3610337959988588
POLR2F,209,2000,5000,0.8057904179844242,0.23996191154612365,0.28264126748237045
USP36,151,2000,5000,0.7484276124212457,0.2686227556118804,0.2865729500988886
NARS,149,2000,5000,0.8647385112452838,0.2747499635354312,0.33992875174462656
MRPL3,146,2000,5000,0.7561465241309234,0.2655032628715371,0.28613308541904936
RPL8,290,2000,5000,0.6360988051339802,0.1867471532654951,0.2196820763826814
FASTKD5,182,2000,5000,0.6817159461948366,0.25841044604564245,0.2524101350605326
RNGTT,110,2000,5000,0.8428997651478513,0.26855806602154114,0.30885601031259735
POLR3D,108,2000,5000,0.9074526715132578,0.283476484535527,0.3453505753276849
MED31,35,2000,5000,1.4029035634470952,0.31683514839656374,0.5643541011679502
CSTF1,129,2000,5000,0.8851010719182664,0.2535089531350155,0.3153219733223298
TSR1,109,2000,5000,0.9133340997268811,0.3047542950625385,0.35188042386890556
MRPL4,109,2000,5000,0.8430797254446025,0.28606097858750346,0.32823632703315936
