model,condition,n_test_cells,n_pred_cells,pra_all_genes,pra_top100_true_de,pra_nonzero_genes,true_range_mean,pred_range_mean,range_width_ratio
CellFlow_ESM2_1000k_fixed2000,RARS2,139,2000,0.7880952753428404,0.7384108793066523,0.788252925928026,0.3878871930593253,0.3519238470692493,0.907283984347956
CellFlow_ESM2_1000k_fixed2000,RPF1,108,2000,0.7985056023265061,0.6943413401347581,0.7985056023265061,0.3953925149862468,0.35255485500074685,0.8916578658461235
CellFlow_ESM2_1000k_fixed2000,ZBTB17,158,2000,0.7399016153467569,0.710618288560016,0.7400496252718114,0.40444411405295144,0.3456012355770983,0.8545092264261721
CellFlow_ESM2_1000k_fixed2000,DPH2,161,2000,0.7739991779320472,0.6737469979149592,0.7739991779320472,0.3851872683763504,0.34494421143261944,0.8955233747247199
CellFlow_ESM2_1000k_fixed2000,TAF10,38,2000,0.631117817070793,0.5340001123436119,0.63441678434941,0.43234997107416423,0.35457841622360364,0.8201189585868864
CellFlow_ESM2_1000k_fixed2000,XPO1,139,2000,0.6670747852237248,0.5332459119146118,0.6670747852237248,0.4357036053001881,0.34772908621633,0.7980862999650667
CellFlow_ESM2_1000k_fixed2000,NUP54,266,2000,0.767150768128087,0.6670680719852272,0.767150768128087,0.40148584032952783,0.35950159669805876,0.8954278124695811
CellFlow_ESM2_1000k_fixed2000,SSRP1,440,2000,0.6536298705584468,0.5547446081790861,0.6536298705584468,0.4384930168442429,0.34512206632340525,0.7870639786616175
CellFlow_ESM2_1000k_fixed2000,SON,238,2000,0.6755985117624901,0.44955857875153626,0.6755985117624901,0.45008554987072946,0.3473144430783729,0.7716631548413289
CellFlow_ESM2_1000k_fixed2000,BGLAP,236,2000,0.7509116584865926,0.6407897415589033,0.7509116584865926,0.42116946936249733,0.3440337721823627,0.8168535210649855
CellFlow_ESM2_1000k_fixed2000,PSMD7,175,2000,0.5871314263239873,0.3643194631296723,0.5871314263239873,0.4897535171383619,0.3425088113339146,0.6993493509586329
CellFlow_ESM2_1000k_fixed2000,SUGT1,94,2000,0.810736039839403,0.7219782459246906,0.810736039839403,0.378224865693152,0.3502665194314818,0.9260800701951916
CellFlow_ESM2_1000k_fixed2000,CENPE,171,2000,0.7806051839002818,0.6713277611762436,0.7807613361675152,0.4030740082383156,0.34635837093911787,0.8592922274001178
CellFlow_ESM2_1000k_fixed2000,MZT1,381,2000,0.8061884773391524,0.691567718291971,0.8061884773391524,0.3956963139593601,0.3454592415802701,0.8730413214951939
CellFlow_ESM2_1000k_fixed2000,NFRKB,223,2000,0.7268208260368197,0.6901424792978252,0.7268208260368197,0.4081166417750716,0.3404621556955443,0.8342275528693344
CellFlow_ESM2_1000k_fixed2000,RPS14,156,2000,0.7601192935878281,0.6280853713843907,0.7601192935878281,0.4271428500935435,0.34990784498593186,0.8191822401275832
CellFlow_ESM2_1000k_fixed2000,SNRPG,325,2000,0.747496592657216,0.6327491156182238,0.747496592657216,0.42952218293607247,0.3525261817252458,0.8207403191800003
CellFlow_ESM2_1000k_fixed2000,MRPL38,132,2000,0.7538584779958737,0.6974015790553291,0.7538584779958737,0.39006533675611027,0.34442253662030714,0.8829867597432554
CellFlow_ESM2_1000k_fixed2000,MAGOH,149,2000,0.7512225804376207,0.5701924326588066,0.7512225804376207,0.413182499676347,0.3422159288987495,0.8282439863362395
CellFlow_ESM2_1000k_fixed2000,DNTTIP2,235,2000,0.7252559665626254,0.6055217955510263,0.7252559665626254,0.43496005176007746,0.3452819895705381,0.7938245828211108
CellFlow_ESM2_1000k_fixed2000,U2AF1,141,2000,0.7177598252233638,0.569973451589188,0.7177598252233638,0.420098631221056,0.34631784132599214,0.8243726766632402
CellFlow_ESM2_1000k_fixed2000,NOL6,107,2000,0.7419456452533396,0.6286933800798526,0.7419456452533396,0.4252839975506068,0.3491700779383248,0.8210279994993115
CellFlow_ESM2_1000k_fixed2000,SF3A2,236,2000,0.744403252345735,0.591658863479888,0.744403252345735,0.42184059628397225,0.3494802582792042,0.8284651905794557
CellFlow_ESM2_1000k_fixed2000,TXN,81,2000,0.8141468598905646,0.6969546271918845,0.8141468598905646,0.3783483798742294,0.3484200012259963,0.9208972749740473
CellFlow_ESM2_1000k_fixed2000,ORC5,89,2000,0.7812087653467686,0.7096181001868112,0.7813650383544395,0.3805908186483384,0.3466829217564797,0.9109071886669419
CellFlow_ESM2_1000k_fixed2000,DDX49,41,2000,0.6856951748479687,0.7124428966600058,0.6877584501985644,0.38321426654458046,0.34148497579756015,0.8911071343080147
CellFlow_ESM2_1000k_fixed2000,ANKRD11,184,2000,0.8393080883495306,0.6815245720074432,0.8394759835462399,0.354242490489781,0.3447027256225586,0.9730699313209664
CellFlow_ESM2_1000k_fixed2000,CCDC86,235,2000,0.8125847938266332,0.6868729869504732,0.8127473432952922,0.3874881085300445,0.3463801939085965,0.8939117803730525
CellFlow_ESM2_1000k_fixed2000,RPS21,63,2000,0.7217109698623141,0.647281273172104,0.7219997697702222,0.4056592321473361,0.34614650816109976,0.8532937800918604
CellFlow_ESM2_1000k_fixed2000,POLE,154,2000,0.7907789556872785,0.6055557598579125,0.7907789556872785,0.4110071186682584,0.34370441781781935,0.8362492858250107
CellFlow_ESM2_1000k_fixed2000,TRMT10C,67,2000,0.7736208028526579,0.6566674850452108,0.7739303750026589,0.37729951485425234,0.33982442947143204,0.9006754768713355
CellFlow_ESM2_1000k_fixed2000,VPS29,146,2000,0.6794300907034464,0.6467798539140799,0.6795660039042273,0.3999026525333524,0.33828895006020676,0.8459282264268322
CellFlow_ESM2_1000k_fixed2000,CWC15,144,2000,0.7294438184562134,0.5693652454637226,0.7295897364034941,0.3813647463910284,0.3490383222649252,0.9152348674481141
CellFlow_ESM2_1000k_fixed2000,CHMP6,620,2000,0.7818485267373745,0.5832721831355694,0.7820049277229192,0.4110805049903692,0.3506166927864815,0.8529148913679252
CellFlow_ESM2_1000k_fixed2000,RBX1,41,2000,0.6991073115653519,0.6205199996826899,0.700929728860389,0.3988739547789097,0.3456230568006902,0.8664969070926057
CellFlow_ESM2_1000k_fixed2000,BRIX1,95,2000,0.656776089852773,0.5906236472513977,0.656776089852773,0.4378607983720304,0.34197949940704686,0.7810233135012221
