condition,n_test_cells,n_pred_cells,n_genes,wasserstein_1_pca50,mmd_pca50,energy_pca50
GNL3L,66,2000,5000,1.1047908719029491,0.4735382330554049,0.514320799301935
GPKOW,105,2000,5000,1.0332044955068478,0.4840207083065299,0.4830600221459347
GRPEL1,96,2000,5000,1.1214445851444823,0.4803223198716114,0.5306452103993502
GTF2E1,176,2000,5000,0.8536614230396328,0.4844389236941492,0.3878414640422924
GTF2E2,69,2000,5000,1.2074581095794883,0.4745085325443279,0.5592198274630921
HAUS5,153,2000,5000,0.8933613708638114,0.4536165300736621,0.3833369250074409
HEATR1,216,2000,5000,0.9545806965669984,0.5051346385186897,0.5223706088194571
HGS,96,2000,5000,1.1198886444444272,0.4821827601027751,0.5152201232701777
HIRA,228,2000,5000,0.7583043928033182,0.4861905584010697,0.3724357478007287
HNRNPH1,92,2000,5000,1.1128494777032345,0.4817578806400979,0.5307281374166939
HNRNPM,128,2000,5000,0.9439369415723486,0.4909094013796918,0.4844213290085517
HNRNPU,73,2000,5000,1.102878699474554,0.4726672997492055,0.528381922646767
HSCB,85,2000,5000,1.106996436504108,0.4966865150356286,0.5908259568254328
HSD17B12,135,2000,5000,0.9934592222528712,0.502898082030608,0.4939941408575969
HSPA8,146,2000,5000,1.0623110443548045,0.5026991487379081,0.5785277215485306
HSPE1,25,2000,5000,1.8880555069087228,0.4798797329264133,0.9400079444528228
IGBP1,245,2000,5000,0.8532740993556183,0.4670098593203037,0.4009448905635162
ISCU,32,2000,5000,1.5964439990478116,0.4617775802214403,0.7002141537221221
KRI1,51,2000,5000,1.2427028142515324,0.4904961591679764,0.6441153738557043
LSM4,68,2000,5000,1.1460608218363364,0.4816765238806852,0.5478884491375533
MAGOH,149,2000,5000,0.9654141501426936,0.498659409583396,0.5067333545944321
MCM10,190,2000,5000,0.8205157849658267,0.4560498592804241,0.3653226463815469
MCM3AP,100,2000,5000,1.0315738977561333,0.4835019985254241,0.4874140446130091
MDN1,68,2000,5000,1.111190135322386,0.4685274122138502,0.5254139528159937
MED20,78,2000,5000,1.3971137126555655,0.5019952298773013,0.6915320859219259
MED26,99,2000,5000,1.127928272999177,0.5137196103409658,0.6387228472305496
MED31,35,2000,5000,1.5437646637590674,0.4793590240230522,0.7318173211805226
MED8,94,2000,5000,1.2202544932727688,0.4840002690252196,0.5720594205205066
MFAP1,164,2000,5000,1.0318499756501205,0.469534705632173,0.474225564497271
MRPL18,128,2000,5000,0.9092228589094988,0.4719987456190485,0.4126599353983777
MRPL3,146,2000,5000,0.8807695074976324,0.4956193062009565,0.4066307629838522
MRPL32,62,2000,5000,1.1336046500072663,0.4819812152744468,0.5412386793426263
MRPL38,132,2000,5000,0.9116951909736096,0.4894765559916466,0.4147315961202142
MRPL4,109,2000,5000,0.9797823998547008,0.4906213575692089,0.4690028633838921
MRPL49,36,2000,5000,1.573464918746823,0.4823171495783815,0.7977518274677184
MRPL50,147,2000,5000,0.8634459348411498,0.4913053725897668,0.3998925936577517
MRPL54,112,2000,5000,0.975386154356634,0.4674779122593671,0.4360528918080424
MRPS11,90,2000,5000,1.0139836183007351,0.4810345816900991,0.4749602090984052
MRPS14,82,2000,5000,1.1512414930096673,0.4814957055510648,0.5582151245361682
MRPS18A,108,2000,5000,0.9529003952457548,0.4868126324826842,0.4505129173277023
MRPS24,132,2000,5000,0.906177027290942,0.4887553599177723,0.4112995431119297
MRPS26,111,2000,5000,0.9654156813344912,0.4777339400419082,0.4491449159814935
MRPS27,76,2000,5000,1.1241983895129843,0.4866507152923638,0.5061541097429957
MTPAP,86,2000,5000,1.2778755552208207,0.5119378567119341,0.7502815715185931
MZT1,381,2000,5000,0.6450116193646623,0.4625523540857331,0.2874131116107423
NAA15,107,2000,5000,1.0353903431245366,0.5019052038980568,0.4932835804290928
NARS,149,2000,5000,1.0215110773030238,0.5070880856783809,0.527411406686623
NBAS,94,2000,5000,1.100980881751178,0.4996314713018724,0.5557958319544593
NCAPH,64,2000,5000,1.2727597027159154,0.4848821797756548,0.7248827585427416
NDC80,171,2000,5000,1.0166711736426897,0.4643174362561696,0.4389180506183132
NDUFA8,85,2000,5000,1.0648836902730567,0.4847014290040527,0.5158956385818017
NEDD1,134,2000,5000,0.8975440709366507,0.467822283616928,0.4334850493696145
NELFA,82,2000,5000,1.2028126523383948,0.5110494176138524,0.6186954152677658
NFRKB,223,2000,5000,0.7911105826389287,0.4875886545817732,0.362860928956061
NOL6,107,2000,5000,1.0763405004627753,0.49813044303996,0.5231608489167674
NOP10,124,2000,5000,0.984189815586374,0.4894989893232928,0.4684863810457013
NRBP1,62,2000,5000,1.2637704022624126,0.4787672296842596,0.5775662143935641
NSA2,71,2000,5000,1.1155758092870458,0.5056079823374665,0.5613848054310567
NUBP1,144,2000,5000,0.89661074133597,0.48753092367401,0.4217770246519194
NUDC,106,2000,5000,1.0717070832500235,0.507057777453554,0.5524567783233907
NUP54,266,2000,5000,0.755167053048089,0.4960371310769494,0.3506221672577175
NUTF2,44,2000,5000,1.3850148961256348,0.4898645468994933,0.6885760591243961
OGFOD1,101,2000,5000,1.0542810937157563,0.5096880556780288,0.5525900797788581
OPA1,53,2000,5000,1.2325591552911637,0.4916029906564271,0.5811276767087202
ORC5,89,2000,5000,1.0718554296128608,0.494304036460421,0.5257536981220409
OXA1L,305,2000,5000,0.7176004705118149,0.5032190898418059,0.3289187108812034
PAM16,43,2000,5000,1.4683536226744582,0.4856318811363812,0.7181234404814459
PCF11,393,2000,5000,0.7651544615897595,0.4936932074895094,0.3588753117679817
PDCD2,59,2000,5000,1.274133015956768,0.4855875996866656,0.6325533537056013
PET117,80,2000,5000,1.1304127513676696,0.5017543584041126,0.5976520992556162
PGPEP1,51,2000,5000,1.254189684837408,0.4494929207736867,0.5461575021516196
PHF5A,197,2000,5000,0.8892808249573324,0.4840476515265106,0.4223534342856168
PIAS4,173,2000,5000,0.8986661076019561,0.4768943352098401,0.4425876395930493
POLA1,195,2000,5000,0.8279338185972365,0.4745395831699918,0.3934822821403382
POLD2,63,2000,5000,1.0181808557148562,0.45052833575928,0.4369103745075434
POLE,154,2000,5000,0.902442227277202,0.4596938729306531,0.4099551032290273
POLR1E,202,2000,5000,0.851575938220874,0.4933509142537252,0.4410059684948959
POLR2E,93,2000,5000,1.147500341950435,0.4805537313155545,0.5707701073806254
POLR2F,209,2000,5000,0.9417539435601774,0.4933027272093391,0.4113334661296466
POLR3B,109,2000,5000,1.0439900353033569,0.488684470331998,0.52032315507232
POLR3C,169,2000,5000,0.8753552379749523,0.4946324351185598,0.438098435697894
POLR3D,108,2000,5000,1.1041823233420445,0.4962138593026168,0.5793662716937859
POLR3F,156,2000,5000,0.9027144697843916,0.5047389793043494,0.4482389625865822
POP4,116,2000,5000,1.0112472367113012,0.496558657328522,0.4983336749898065
PPP1R11,69,2000,5000,1.1078926488211405,0.473795223395231,0.514799114469666
PPP4R2,162,2000,5000,0.8362052098831851,0.4909380371955137,0.4029176219066576
PRELID1,122,2000,5000,1.011816613955327,0.5050277322669248,0.5162218077919521
PRPF3,129,2000,5000,1.075460590118036,0.4791993851432574,0.517486874772635
PRPF31,23,2000,5000,1.9773633826043775,0.4582858019151397,0.9010764313533284
PRPF4B,160,2000,5000,0.8917517647054697,0.4891594241508545,0.4234426203737428
PRPF8,91,2000,5000,1.1549122058849182,0.4693800811964806,0.5002119926449979
PSMA2,38,2000,5000,1.4469451746373287,0.465867542360764,0.6929812507293239
PSMA3,194,2000,5000,0.8984530739557651,0.4699954696152991,0.4105043675025935
PSMA6,18,2000,5000,2.0420331473071496,0.4263198222035197,0.9559334101092632
PSMB1,106,2000,5000,1.0923336298738369,0.4847416694651942,0.5226353629822742
PSMD1,87,2000,5000,1.1637428468500786,0.4738039119217518,0.5431516144700685
PSMD4,285,2000,5000,0.7839551014905999,0.4964902069235679,0.3712774192045912
PSMD7,175,2000,5000,1.0893819817373742,0.491185507266182,0.4944578727350441
PTCD1,246,2000,5000,0.7769263162591767,0.5080858813552173,0.4113462352630407
PUF60,52,2000,5000,1.3255947993394606,0.4859593940962892,0.6312472615451944
PWP2,51,2000,5000,1.202200872791089,0.4582316766201755,0.5251301431326705
QARS,376,2000,5000,0.7414177622236585,0.5182800234151272,0.3483188522173639
RARS2,139,2000,5000,0.9052823035942544,0.4934454190332096,0.4371707840408793
RBM19,37,2000,5000,1.5581254385222083,0.4684297639730495,0.7513656264821452
RBM28,55,2000,5000,1.194999802183382,0.4930232272195766,0.582116616947455
RBM39,49,2000,5000,1.2056160595924414,0.4524607093365749,0.5385609667077945
RBM42,68,2000,5000,1.198994966401289,0.5023105653857882,0.6110618593051153
RBX1,41,2000,5000,1.378857636589155,0.4811894081272327,0.6452672886742216
RCC1,162,2000,5000,0.8984418086775409,0.4766597174770283,0.4432479450205385
RFC3,211,2000,5000,0.7253546753720542,0.4479456544929585,0.3149072970306876
RFC4,58,2000,5000,1.056085891374139,0.4546516140866939,0.4621100595300108
RIOK1,290,2000,5000,0.7318236894359083,0.4927438881743532,0.3303315258796228
RNF40,185,2000,5000,0.8671887705246101,0.4923585849609664,0.4582704482872827
RNGTT,110,2000,5000,0.9789265303519248,0.4832858111643652,0.4553237730840829
RNMT,106,2000,5000,1.061356186109918,0.4993860315306269,0.5236836053170769
RPF1,108,2000,5000,0.9657300127462972,0.4678730221932837,0.442021989953789
RPL10,215,2000,5000,0.8465862646447563,0.4871563446372335,0.4166979222737662
RPL10A,195,2000,5000,0.8823037347121678,0.4794685804028715,0.4015610509354507
RPL11,315,2000,5000,0.6999273825201554,0.4654790543586056,0.2998978919771404
RPL13,243,2000,5000,0.7988324871691045,0.477491726976934,0.3794983395876077
RPL18,229,2000,5000,0.8065754716702075,0.4742466272476899,0.3537877412164015
RPL35A,97,2000,5000,1.0473815893671667,0.4687839068667975,0.4771548350555011
RPL8,290,2000,5000,0.7573682659496188,0.469052380228148,0.3253685136228685
RPL9,180,2000,5000,0.8605864148644669,0.4759514863969084,0.3854064841924695
RPP14,53,2000,5000,1.246535065744344,0.4634774245890986,0.5524291487263427
RPS14,156,2000,5000,0.9050530690220684,0.4779500318489487,0.4087359294545806
RPS19,410,2000,5000,0.6861960405465852,0.479158098229498,0.2922631657679702
RPS21,63,2000,5000,1.2413688210384008,0.4907764541552781,0.5980333026681062
RPS23,98,2000,5000,1.0860494470176625,0.4807244985457429,0.5041724217354094
RPS26,73,2000,5000,1.1821425906753062,0.4662014634706538,0.5377443391810437
RPS5,127,2000,5000,0.9890630143849,0.4820901966089962,0.4536048821057318
RPS6,165,2000,5000,0.927881239634859,0.4774710502481527,0.4093669532344524
RRN3,38,2000,5000,1.4994269410375876,0.4619363926535851,0.6654722550864637
RRP7A,40,2000,5000,1.445205489059337,0.4562992122159958,0.6129967806158619
SAP18,40,2000,5000,1.437907699876107,0.4826883220203835,0.664279036076014
SART3,142,2000,5000,0.9197832661677336,0.4854380616799708,0.4430322566571557
SCAF1,158,2000,5000,0.9380775028903876,0.4821257414814676,0.4434030098952105
SCFD1,103,2000,5000,1.0648055627047686,0.4786864506716909,0.495892967070544
SDC1,170,2000,5000,0.8483470425985392,0.4868763494952341,0.4195857883168759
SEC13,43,2000,5000,1.449512279066218,0.4776573221476028,0.698790983116946
SF3A2,236,2000,5000,0.8460559671795214,0.4834436053600894,0.4048589790595771
SF3B2,197,2000,5000,1.0256258628547612,0.4904527330070983,0.4990923007623745
SF3B3,215,2000,5000,0.9677369100400884,0.4766018313207963,0.4436749354683947
SFPQ,185,2000,5000,1.0963953072484458,0.5043478775892547,0.6186154277052796
SFSWAP,145,2000,5000,0.9522221465590788,0.5002698232601157,0.4725802943267047
SIN3A,217,2000,5000,0.7915649806238266,0.4891293872182977,0.3730354601687659
SLU7,195,2000,5000,1.0495222904099268,0.4809495475607487,0.5156492510973881
SMC4,169,2000,5000,0.8217945982539474,0.448159848647356,0.3473190161568298
SMG5,82,2000,5000,1.0777651515963709,0.4786260032809224,0.5761803396993878
SNAPC3,201,2000,5000,0.8033243900264744,0.4775177436489576,0.3610221614731425
SNRNP200,92,2000,5000,1.240776448817985,0.4690891222799968,0.567528524362256
SNRNP27,42,2000,5000,1.3519872493426337,0.4597320956808613,0.5961788261657798
SNRNP48,179,2000,5000,0.918139735443646,0.4697868883494353,0.4198164523529711
SNRPD1,113,2000,5000,1.1643418066749809,0.4988715539829498,0.5755170634494623
SNRPE,128,2000,5000,1.0856340844634442,0.4810858392477783,0.5114952579274772
SNRPG,325,2000,5000,0.7775518180407147,0.4910289982790918,0.3663601748280365
SON,238,2000,5000,0.980296929951364,0.4778341055709638,0.5315454554217287
SPC25,181,2000,5000,1.241467183895851,0.4851492158156446,0.6064940292210231
SPCS3,115,2000,5000,1.015421578339717,0.5033437713579869,0.5554799855029249
SRBD1,143,2000,5000,0.9568131080424098,0.4559251697563205,0.4242070621226899
SRFBP1,73,2000,5000,1.1832876454658825,0.4977011716311956,0.5716987073265605
SRP68,158,2000,5000,0.9255645312616128,0.494138363124946,0.4346017166171806
SRRM1,136,2000,5000,0.8657838201922168,0.4748317050249221,0.4042346750594485
SSRP1,440,2000,5000,0.7639109508752975,0.5156150912596259,0.3969204223933213
SUGT1,94,2000,5000,1.0472434498754308,0.4888401906275096,0.5694251565613445
SURF6,113,2000,5000,0.960115587384052,0.4782278026465938,0.4623728633855199
TAF10,38,2000,5000,1.606528405606803,0.491407081187471,0.7274022639521366
TAF6,111,2000,5000,1.0769437372324306,0.4913788613668509,0.510268079399643
TBL3,70,2000,5000,1.222672629969535,0.4858362752019606,0.5770080914573535
TCP1,63,2000,5000,1.2024311795048668,0.478451649996819,0.5599103544432729
TEX10,153,2000,5000,0.8800501194252535,0.4910949838835524,0.4336809581390198
THOC7,104,2000,5000,1.0152131586040545,0.4771665373061677,0.4825202071900491
TRMT10C,67,2000,5000,1.1292581003727395,0.4929668606339608,0.5411974989609285
TRMT5,93,2000,5000,1.031816568387686,0.4919237341266522,0.5036567563717892
TSEN2,168,2000,5000,0.8746665979865308,0.4954169020083225,0.4514805874652674
TSR1,109,2000,5000,1.0536465532921453,0.5038142799219649,0.5090724260234688
TSR2,486,2000,5000,0.7557648518843372,0.5256748492628944,0.4721227437258489
TTC27,87,2000,5000,1.0570491859486628,0.4910114394598914,0.5253295924436368
TXN,81,2000,5000,1.0340978680607094,0.4850261769520037,0.4884204065523905
U2AF1,141,2000,5000,1.0309821567753903,0.4855237223250485,0.5136936289236588
UQCRB,93,2000,5000,1.0086809888155504,0.4850938905181325,0.4805084767684627
USP36,151,2000,5000,0.8871947791253736,0.4970664621183242,0.4278373780282827
UTP3,27,2000,5000,1.7344746175204404,0.4614271032268751,0.7962659315762083
VPS29,146,2000,5000,0.9487588253897004,0.4946660905465103,0.471281142484412
VPS54,306,2000,5000,0.7019425394672225,0.482101585767032,0.3199112003011339
VPS72,95,2000,5000,1.048643815015997,0.5008166274596912,0.5599348175800746
WBP11,205,2000,5000,0.8965548157664319,0.4703557870158799,0.4304168383749402
WDHD1,175,2000,5000,0.793127487737205,0.4830023043273135,0.3748040947438062
WDR12,174,2000,5000,0.866493774329318,0.4809756428079503,0.451371641425801
WDR3,329,2000,5000,0.7537998948564238,0.5020058548771481,0.3796641289314775
