condition,n_test_cells,n_pred_cells,mse,mae,pcc_delta,pearson_delta,spearman_delta,topk_de_overlap,auprc,wasserstein,e_distance,kl_divergence,distribution_n_components
DPH2,161,2000,0.0031847895588725805,0.03435541316866875,0.024959341030692205,0.024959341030692205,-0.0059639667345586685,0.23,0.15059371319981502,0.8875510676038071,0.6503209085217372,9.972719415439576,50
TAF10,38,2000,0.0029406321700662374,0.035928305238485336,0.8033146804411968,0.8033146804411968,0.5230654481831715,0.68,0.7653738972000204,1.4349374872881537,0.8045759339413097,9.915992778585565,50
XPO1,139,2000,0.006622178480029106,0.04663178324699402,0.37373655735321754,0.37373655735321754,0.2710959728598389,0.27,0.19120679629402113,1.0585795595079197,0.6786147444060217,9.63490899461878,50
NUP54,266,2000,0.0011315492447465658,0.02109067142009735,0.7614508846411877,0.7614508846411877,0.5745869349652675,0.57,0.6236851597373312,0.7541771949367072,0.5843460443609925,8.982378478869292,50
SSRP1,440,2000,0.0050605470314621925,0.04181904345750809,0.20821562169510205,0.20821562169510205,0.19646847819473912,0.2,0.15365129419967058,0.7730164365368022,0.5845615902299823,8.677742033179989,50
SON,238,2000,0.011248704046010971,0.06096700578927994,-0.22339316050445238,-0.22339316050445238,-0.20198824023952958,0.22,0.13326409503367662,0.9645666966712042,0.6257407397057727,8.13901044173207,50
BGLAP,236,2000,0.0032757737208157778,0.03453588858246803,-0.17427565707107287,-0.17427565707107287,-0.09792400424166049,0.17,0.11191901031557726,0.9376159585027446,0.6614320334055573,9.415710289623597,50
PSMD7,175,2000,0.002749120816588402,0.030680151656270027,0.8833465678874711,0.8833465678874711,0.7611222487808899,0.7,0.7668023189100001,1.0595760083090768,0.6739392914164936,8.891579055698735,50
SUGT1,94,2000,0.005539350677281618,0.043597135692834854,0.012045675481379395,0.012045675481379395,0.009882760379784786,0.16,0.08823160141819474,1.0166380219788467,0.6946538911143861,9.955855783821077,50
CENPE,171,2000,0.0016516378382220864,0.02595869079232216,0.3046881807740891,0.3046881807740891,0.20115639224791124,0.25,0.18121027737365375,0.8838229858279769,0.6137905672949509,8.489793416464583,50
MZT1,381,2000,0.0017456901259720325,0.023681573569774628,0.24248024954128905,0.24248024954128905,0.10459013799913601,0.3,0.22694393195426116,0.6564220917657384,0.5220169266168578,7.256955013986064,50
