position_0based	gene
1122	RPL22L1
1123	EIF5A2
1124	TNIK
1125	FNDC3B
1126	TNFSF10
1127	ECT2
1128	TBL1XR1
1129	ZMAT3
1130	PIK3CA
1131	GNB4
1132	MRPL47
1133	NDUFB5
1134	TTC14
1135	FXR1
1136	ATP11B
1137	DCUN1D1
1138	B3GNT5
1139	KLHL24
1140	ABCC5
1141	ALG3
1142	EIF4G1
1143	MAGEF1
1144	VPS8
1145	TMEM41A
1146	LIPH
1147	IGF2BP2
1148	ETV5
1149	DNAJB11
1150	EIF4A2
1151	RFC4
1152	ST6GAL1
1153	RPL39L
1154	CCDC50
1155	OPA1
1156	HES1
1157	ATP13A3
1158	TMEM44-AS1
1159	ACAP2
1160	PPP1R2
1161	TFRC
1162	TCTEX1D2
1163	UBXN7
1164	RNF168
1165	WDR53
1166	FBXO45
1167	CEP19
1168	PAK2
1169	NCBP2AS2
1170	DLG1
1171	AC024560.4
1172	RUBCN
1173	FYTTD1
1174	LRCH3
1175	RPL35A
1176	LMLN
1177	ZNF595
1178	ZNF721
1179	PIGG
1180	ATP5ME
1181	AC139887.2
1182	GAK
1183	TMEM175
1184	FGFRL1
1185	CTBP1-DT
1186	SLBP
1187	TACC3
1188	NSD2
1189	NELFA
1190	C4orf48
1191	MXD4
1192	RNF4
1193	FAM193A
1194	TNIP2
1195	SH3BP2
1196	ADD1
1197	MFSD10
1198	NOP14
1199	HTT
1200	LYAR
1201	STX18-AS1
1202	MSX1
1203	AC093323.1
1204	KIAA0232
1205	TADA2B
1206	WDR1
1207	ZNF518B
1208	BOD1L1
1209	FBXL5
1210	FAM200B
1211	TAPT1
1212	NCAPG
1213	LCORL
1214	PACRGL
1215	SEPSECS
1216	SMIM20
1217	STIM2
1218	LINC02506
1219	LINC02616
1220	RELL1
1221	KLF3
1222	KLHL5
1223	UGDH
1224	SMIM14
1225	N4BP2
1226	RHOH
1227	TMEM33
1228	GUF1
1229	GNPDA2
1230	COMMD8
1231	TEC
1232	SLAIN2
1233	FRYL
1234	OCIAD1
1235	DANCR
1236	CHIC2
1237	KIT
1238	SRD5A3
1239	CLOCK
1240	EXOC1
1241	AASDH
1242	SRP72
1243	REST
1244	NOA1
1245	CENPC
1246	UBA6-AS1
1247	YTHDC1
1248	UTP3
1249	RUFY3
1250	MOB1B
1251	COX18
1252	ANKRD17
1253	MTHFD2L
1254	AREG
1255	RCHY1
1256	THAP6
1257	G3BP2
1258	USO1
1259	SCARB2
1260	CCNI
1261	CNOT6L
1262	MRPL1
1263	ANXA3
1264	AC112253.1
1265	BMP2K
1266	ANTXR2
1267	HNRNPDL
1268	SEC31A
1269	THAP9-AS1
1270	LIN54
1271	HELQ
1272	MRPS18C
1273	ABRAXAS1
1274	ARHGAP24
1275	AC093827.4
1276	AFF1
1277	HSD17B11
1278	PPM1K
1279	PYURF
1280	FAM13A
1281	SMARCAD1
1282	PDLIM5
1283	LAMTOR3
1284	DNAJB14
1285	H2AFZ
1286	PPP3CA
1287	SLC39A8
1288	NFKB1
1289	MANBA
1290	UBE2D3-AS1
1291	CISD2
1292	CENPE
1293	TET2
1294	TBCK
1295	PAPSS1
1296	HADH
1297	LEF1
1298	RPL34
1299	OSTC
1300	MCUB
1301	PLA2G12A
1302	GAR1
1303	ELOVL6
1304	ZGRF1
1305	UGT8
1306	SNHG8
1307	METTL14
1308	USP53
1309	C4orf3
1310	MAD2L1
1311	ANXA5
1312	EXOSC9
1313	CCNA2
1314	KIAA1109
1315	FGF2
1316	NUDT6
1317	SPATA5
1318	SPRY1
1319	ANKRD50
1320	INTU
1321	HSPA4L
1322	LARP1B
1323	PGRMC2
1324	SCLT1
1325	C4orf33
1326	SLC7A11
1327	ELF2
1328	NDUFC1
1329	AC097376.3
1330	SETD7
1331	MGST2
1332	ELMOD2
1333	ZNF330
1334	USP38
1335	SMARCA5
1336	GYPE
1337	GYPB
1338	GYPA
1339	ABCE1
1340	ZNF827
1341	LSM6
1342	SLC10A7
1343	TMEM184C
1344	PRMT9
1345	LRBA
1346	RPS3A
1347	FBXW7
1348	ARFIP1
1349	MND1
1350	TMEM131L
1351	PLRG1
1352	ETFDH
1353	PPID
1354	FNIP2
1355	RAPGEF2
1356	NAF1
1357	MSMO1
1358	NEK1
1359	CLCN3
1360	GALNT7
1361	HMGB2
1362	SAP30
1363	FBXO8
1364	CEP44
1365	SPCS3
1366	CDKN2AIP
1367	ING2
1368	TRAPPC11
1369	IRF2
1370	CASP3
1371	PRIMPOL
1372	CENPU
1373	SLC25A4
1374	CFAP97
1375	UFSP2
1376	FRG1
1377	CCDC127
1378	EXOC3-AS1
1379	EXOC3
1380	SLC12A7
1381	MED10
1382	MIR4458HG
1383	CMBL
1384	MARCH6
1385	ANKRD33B
1386	DAP
1387	TRIO
1388	ANKH
1389	ZNF622
1390	C5orf22
1391	GOLPH3
1392	AC025181.2
1393	RAI14
1394	BRIX1
1395	DNAJC21
1396	LMBRD2
1397	NIPBL-DT
1398	NIPBL
1399	RICTOR
1400	DAB2
1401	TTC33
1402	PRKAA1
1403	RPL37
1404	C5orf51
1405	FBXO4
1406	SELENOP
1407	AC008875.3
1408	AC025171.1
1409	ANXA2R
1410	AC025171.2
1411	HMGCS1
1412	TMEM267
1413	C5orf34
1414	NNT-AS1
1415	PELO
1416	NDUFS4
1417	ARL15
1418	IL6ST
1419	MAP3K1
1420	MIER3
1421	GPBP1
1422	ZSWIM6
1423	KIF2A
1424	SREK1IP1
1425	PPWD1
1426	TRIM23
1427	TRAPPC13
1428	SGTB
1429	ERBIN
1430	SREK1
1431	MAST4
1432	PIK3R1
1433	CCNB1
1434	CCDC125
1435	TAF9
1436	SMN1
1437	NAIP
1438	BDP1
1439	MAP1B
1440	TNPO1
1441	FCHO2
1442	HEXB
1443	GFM2
1444	HMGCR
1445	CERT1
1446	POLK
1447	IQGAP2
1448	F2R
1449	TBCA
1450	AP3B1
1451	SCAMP1-AS1
1452	SCAMP1
1453	JMY
1454	TENT2
1455	ZFYVE16
1456	DHFR
1457	CKMT2-AS1
1458	SSBP2
1459	RPS23
1460	RASA1
1461	TMEM161B
1462	TMEM161B-AS1
1463	MEF2C
1464	LYSMD3
1465	ARRDC3
1466	TTC37
1467	RFESD
1468	RHOBTB3
1469	GLRX
1470	ELL2
1471	CAST
1472	LNPEP
1473	PAM
1474	GIN1
1475	PPIP5K2
1476	FER
1477	PJA2
1478	MAN2A1
1479	SLC25A46
1480	STARD4
1481	EPB41L4A-AS1
1482	APC
1483	DCP2
1484	YTHDC2
1485	PGGT1B
1486	TMED7
1487	ATG12
1488	COMMD10
1489	DMXL1
1490	TNFAIP8
1491	HSD17B4
1492	SRFBP1
1493	SNX2
1494	PPIC
1495	CEP120
1496	CSNK1G3
1497	PHAX
