condition,n_test_cells,n_pred_cells,n_genes,mean_pearson,mean_spearman,perturbation_effect_pearson,perturbation_effect_spearman,r_squared,mse,wasserstein_1_pca50,mmd_pca50,energy_pca50,repeat
PEF1,44,2000,2000,0.9949130890325689,0.9531506457876611,0.17163664654441468,0.10335483183870796,0.9897121777758002,0.003783487594417384,1.3156852128788727,0.21496123054807462,0.44357556067163423,0
PET117,80,2000,2000,0.9960698598887758,0.9730890122722529,0.03528288318813474,0.021002257508440227,0.9921166701242328,0.002845611789031951,0.9988082771360501,0.1926874998303495,0.3160418730951403,0
PFN1,232,2000,2000,0.9952871515955439,0.9831625554093253,0.24074244397159847,0.24588550824799824,0.9905818328261375,0.0034005794320384596,0.5771106120987204,0.11157506441420116,0.13476674811893533,0
PHB2,327,2000,2000,0.9585665533254167,0.8749918557479641,0.4953701856564709,0.38781577009937346,0.9163123816251755,0.028867956072276324,0.8711202280260447,0.1537768611510201,0.35814902846336893,0
PMPCB,471,2000,2000,0.9931437825440794,0.9770890167722541,0.8202569996009417,0.6824248736062184,0.98586112447083,0.0050678535387541175,0.5210491713938459,0.09106419164064702,0.1324173831624975,0
PNPT1,112,2000,2000,0.9862237283121824,0.9618068824517204,0.11840684159892467,0.14192285648071412,0.9722783602774143,0.010249329527226132,0.9639322896938052,0.189786292312191,0.32569278596156465,0
POLD1,197,2000,2000,0.9944351608698626,0.9706551056637766,0.6272441461316531,0.49903064613193454,0.9888361608609557,0.0039672402258134586,0.5674676336230816,0.09555262296866932,0.13560237922501905,0
POP4,116,2000,2000,0.9975566411553112,0.9775155279954503,0.7645070067887505,0.5226815778664001,0.9950724956579506,0.0017195196231969236,0.8981298413669669,0.18419572193382053,0.2793196003271916,0
PRELID1,126,2000,2000,0.9958990381651985,0.9685407186351792,0.38918074915946205,0.3052358278089569,0.991494482383132,0.0031122983836218703,0.8435024193158847,0.1697442101439541,0.25184386160355915,0
PSMD9,85,2000,2000,0.9924274493285576,0.9555911302561294,-0.08983218772500004,-0.08841829610457401,0.9838933292776346,0.005980500160452657,0.958196721956887,0.19059264179913257,0.316705324569309,0
PSTK,355,2000,2000,0.9983536015094184,0.9858403264600816,-0.005511833956605747,-0.018195655548913885,0.9966064766049385,0.0012532349310605696,0.4637741960070552,0.08446284689280427,0.10228598206166424,0
RAD51C,59,2000,2000,0.9964838511899212,0.969250836812709,0.5393948785218088,0.36603246028263947,0.9929548697546124,0.0025774831973322428,1.0428713109901455,0.20107528808430672,0.3412733761000697,0
RARS,334,2000,2000,0.991139040625798,0.9658634984658749,0.6905987042935426,0.5310935694725525,0.9819273818284273,0.006532164960465389,0.648193352399425,0.12225120372015486,0.18904543221834036,0
REXO2,65,2000,2000,0.9927858055913817,0.9561870065467519,0.09163594639912404,0.044567820641955164,0.985482950694859,0.005351623967219165,1.2112234404500313,0.23309693502417533,0.4300627445751784,0
RFC5,101,2000,2000,0.9973548295923317,0.9767032931758233,0.4149720656138806,0.29614269889672823,0.994565645698458,0.001967228320025638,0.8573841007290248,0.17056823152023295,0.2523253995836892,0
RPL24,414,2000,2000,0.9983513266587156,0.9907229446807357,0.9574376802846264,0.913947571986893,0.9965536596719176,0.0011564672938407252,0.4203373486342416,0.06389717972883789,0.07788369880799151,0
RPL39,31,2000,2000,0.9870434423683112,0.9420750292253142,0.6631861165985906,0.5655805053951263,0.9739401396363974,0.008929922410988674,1.4425275277769891,0.15628697484614504,0.4497550171937585,0
RPL41,46,2000,2000,0.9748260365921353,0.9049924827481207,-0.1188313586053916,-0.10618408762565999,0.9480034671723843,0.019291671593263067,1.3381809101944724,0.239738421169063,0.514057903746549,0
RPLP2,188,2000,2000,0.9891544524797404,0.9608510117127532,0.615778667086192,0.5028178243930127,0.9771551825106144,0.00810372322240157,0.6922798373437886,0.12836803799332613,0.1882645776471884,0
RPP14,53,2000,2000,0.9951620279216761,0.956449323612331,0.7391908917238516,0.5028692631558918,0.9900745870545506,0.003362299473840425,1.2382841734471244,0.18431891167478537,0.39162939233513394,0
RPS3,243,2000,2000,0.9801599804193334,0.9360504420126108,0.1719424192449962,0.13174348193587046,0.9497622065246105,0.016135711719926234,0.7681157195516738,0.14714750988259584,0.2858903397893227,0
RPS5,126,2000,2000,0.9971070046315448,0.9813972514673369,0.9317902873978492,0.8450764212691054,0.9941013534553349,0.0018889483175378223,0.8443237085952439,0.1460045298931224,0.22650954348274857,0
RPUSD3,158,2000,2000,0.9910958401090856,0.9655158313789579,-0.1014363393939847,0.0011873342968335742,0.9794138427823782,0.007645345667427698,0.7066263910194698,0.12443059759671345,0.19170869204215138,0
RRS1,64,2000,2000,0.990069698290391,0.9479793239948311,0.5098931868952613,0.3938310489577622,0.9800778850913048,0.006897683655244452,1.0831779684775742,0.1872023828931363,0.3616083429501655,0
