condition,n_test_cells,n_pred_cells,n_genes,mean_pearson,mean_spearman,perturbation_effect_pearson,perturbation_effect_spearman,r_squared,mse,wasserstein_1_pca50,mmd_pca50,energy_pca50,chunk
C12orf45,94.0,2000.0,2000.0,0.9936676261485906,0.9642886030721504,0.3183619969442502,0.2275473658868414,0.9871808188036084,0.0044875154750385,0.9622437024043128,0.1867304955559807,0.3064814399636699,0
C17orf58,52.0,2000.0,2000.0,0.9929656194061848,0.9500078375019592,-0.0089515804917006,-0.007014528253632,0.9853815510869026,0.0054137372034357,1.1683518020192734,0.186655100212026,0.3770399530249845,0
CCDC174,97.0,2000.0,2000.0,0.9907999696754004,0.9534186118546532,0.0678468852560426,0.0622211765552941,0.9813385661691428,0.0066798331728952,1.0087308878344046,0.1944371585556082,0.3269719015743018,0
CCT5,63.0,2000.0,2000.0,0.9963794704686728,0.967559725889931,0.8132788733420959,0.6821559365447927,0.9927228563465178,0.002634791775981,1.135295686658972,0.2132836362794536,0.3759855163429587,0
CD3EAP,85.0,2000.0,2000.0,0.9937077676106996,0.9621422675355672,0.3682921040846121,0.2519705309926328,0.986777514219284,0.0045920827113332,1.0558321073039303,0.2041948804664293,0.3533183380029137,0
CDC45,79.0,2000.0,2000.0,0.995258647982702,0.9625664676416168,0.0885967477196644,0.0492687153171788,0.9904729323461652,0.0034577767081309,1.0190022809944943,0.1843881861217457,0.3239685327480171,0
CDC5L,77.0,2000.0,2000.0,0.9781451192139198,0.9045113561278392,0.2924186518768784,0.2312620929022465,0.9553658328950404,0.0152391133843339,1.2160344493340831,0.1993783520218628,0.4210092077527176,0
CDK9,134.0,2000.0,2000.0,0.9952990276526438,0.9705740321435082,0.0389276117597796,0.0135631886509695,0.9901063581928612,0.0036248542449074,0.783563817032886,0.1622058197491456,0.2321357538488767,0
CIAO1,216.0,2000.0,2000.0,0.9937951167932813,0.9667016371754096,0.1524894978770226,0.1388013100544285,0.9863422000780702,0.0049962059897473,0.616240728104625,0.1083693963969496,0.1611904040712902,0
CNOT3,303.0,2000.0,2000.0,0.9875395713283088,0.9382056335514084,0.5117549306750384,0.4037126344281586,0.9746395107358694,0.0084089207456001,0.6068829972654393,0.0938871329616453,0.1604960677943706,0
COX7C,154.0,2000.0,2000.0,0.9977056349451234,0.977191779914392,0.4588327749449101,0.3521507290376822,0.995412420015782,0.0016636825055181,0.7452993199601796,0.1432632780458828,0.2025478375121504,0
CPSF3,575.0,2000.0,2000.0,0.9876650206062844,0.9497294374323596,0.3847201372313849,0.2514983729689051,0.9753146823495626,0.0089318825276796,0.4598048566284221,0.069988895886239,0.108825689065364,0
CRLS1,98.0,2000.0,2000.0,0.9975676608553418,0.9741053810263448,0.0588865679233758,0.0669711857427964,0.9951330134645104,0.0018128798205352,0.9130538654702552,0.2000316179960846,0.2906989395146301,0
CUL3,84.0,2000.0,2000.0,0.9947900104061076,0.9654260113565024,-0.0048584665522235,0.008382644095661,0.989060441032052,0.0040374570136702,0.9641462174169604,0.1829206385268642,0.3026684520675219,0
CYCS,161.0,2000.0,2000.0,0.9952618659108696,0.9775730788932702,0.3894958120843874,0.3186562336640584,0.9904959294945002,0.0034679588143718,0.6982455521791868,0.1338444702470201,0.1823912272682285,0
DDX27,40.0,2000.0,2000.0,0.9928633636599478,0.9501121291343247,0.5516613605642893,0.4277352094338023,0.984922407194972,0.005366099691512,1.319983466211038,0.1869119325651379,0.4312521419515164,0
DDX55,150.0,2000.0,2000.0,0.9963319276335558,0.977860057465014,0.5057589127508131,0.4009327947331986,0.9915226465091108,0.0030667055396,0.7110289613289573,0.1326555972330649,0.1857528019521588,0
DENR,228.0,2000.0,2000.0,0.9944713802447144,0.9746839086709772,0.3097677555765875,0.2262682564867653,0.9887553313747048,0.0040963109357334,0.606165978932165,0.114763085202079,0.1507987286135782,0
DERL2,122.0,2000.0,2000.0,0.9942075517303836,0.9618294574573644,0.4532465465348725,0.3910828787707197,0.9884187122806908,0.0041016156140338,0.9043434176140738,0.1533459153744354,0.2591660741046937,0
DICER1,153.0,2000.0,2000.0,0.9959989716182384,0.9730524752631188,-0.0412814013288543,-0.0158173052102577,0.9917882066220044,0.002967036943185,0.7733701485041283,0.1517234147998981,0.2241527989077737,0
DNM1L,144.0,2000.0,2000.0,0.9956770271467512,0.9702167545541888,0.2359902724422117,0.1680353408218484,0.9912503520026804,0.0031916015525018,0.7757803423208246,0.1473611436821469,0.214511461270127,0
DPAGT1,132.0,2000.0,2000.0,0.998243972014052,0.9819543189885797,0.0824564107072574,0.0692203980810571,0.99646004056558,0.0013048890569012,0.7884243744033761,0.1720545176314277,0.233342618766697,0
EIF3J,77.0,2000.0,2000.0,0.9941882361440566,0.9628994137248535,0.3946057750461859,0.2877292349323087,0.9881751919165254,0.0043503186745719,1.022539699476566,0.1882284265892342,0.3278152531119911,0
EIF4A1,34.0,2000.0,2000.0,0.9868518918641356,0.9204821810609064,0.1787192419969367,0.1434643041698751,0.9738640449941158,0.0095045093991073,1.4926074751903753,0.2083804781198478,0.5084738386026175,0
ELP2,171.0,2000.0,2000.0,0.994108867784458,0.9634145858536466,-0.0397274411941962,-0.0231153867875149,0.9880667319521308,0.0044072866219241,0.7070716009060919,0.1387944341795358,0.1864659330771364,1
ELP3,117.0,2000.0,2000.0,0.991655541557442,0.9630891063834354,-0.0511990450751326,0.012595237662979,0.9826370738446712,0.0064744512879011,0.8109669310197656,0.1440764881015386,0.2398652989023738,1
EXOSC1,69.0,2000.0,2000.0,0.9943697541408132,0.9620736035184012,0.1663145264995255,0.0856399999099999,0.988300696015358,0.0042700234930317,1.0527704900339223,0.2021147681090726,0.344732320475103,1
FASTKD5,182.0,2000.0,2000.0,0.9907274878217596,0.9671835887958972,0.0279372044954525,0.0507275722009158,0.9813608918339014,0.006843772199517,0.6805791121568024,0.1306859369151033,0.1868808542024999,1
FGFR1OP,115.0,2000.0,2000.0,0.9960966267883572,0.9704533241133309,0.0199944384927678,0.0266050656712202,0.9918742356821896,0.0030124566120605,0.8690307621030038,0.1721212904784602,0.258468499054678,1
FNBP4,141.0,2000.0,2000.0,0.996748519973876,0.9777204269301067,0.0588427381867124,0.0378740809685202,0.9932365724816918,0.0025048077423269,0.7650724855565291,0.1535586722228775,0.2198387987349355,1
