model,condition,n_test_cells,n_pred_cells,pra_all_genes,pra_top100_true_de,pra_nonzero_genes,true_range_mean,pred_range_mean,range_width_ratio,csa_pearson,csa_spearman,n_corr_pairs
CellFlow_ESM2_1000k_fixed2000,MRPS27,76,2000,0.6454968816198366,0.6030427051628918,0.7146776811557093,0.39133041709288957,0.3354881087353454,0.857301385431818,0.47934637566839167,0.4413093860962978,4950
CellFlow_ESM2_1000k_fixed2000,MTPAP,86,2000,0.6311883136200872,0.4617677669673032,0.6886191507965167,0.4170555804152042,0.339919267711267,0.8150454847597453,0.6778781080754622,0.6023577669783927,4950
CellFlow_ESM2_1000k_fixed2000,MZT1,381,2000,0.7466431423341372,0.6722246086191964,0.7694179125454834,0.3956963139783591,0.34545924158297486,0.8730413435235292,0.7151316585871202,0.5410710946320827,4950
CellFlow_ESM2_1000k_fixed2000,NAA15,107,2000,0.6723660943727484,0.6793249322964569,0.7217326045220571,0.40907868044003853,0.3460031567928941,0.8458107775763449,0.6689639678507149,0.5047168801892905,4950
CellFlow_ESM2_1000k_fixed2000,NARS,149,2000,0.6307259762360036,0.5349668885145801,0.6828994978735421,0.4306639727738502,0.34709630179803824,0.8059562065580653,0.8149618630593809,0.8339410307297697,4950
CellFlow_ESM2_1000k_fixed2000,NBAS,94,2000,0.6816288476277075,0.6354495940968835,0.737055414822348,0.39591013113602996,0.34606324132181715,0.8740954426420424,,,0
CellFlow_ESM2_1000k_fixed2000,NCAPH,64,2000,0.7122623283306352,0.5614243410301126,0.7478604875374162,0.39462451408371335,0.3459881000172348,0.8767526792414089,0.5008691125477475,0.5138084378967865,4950
CellFlow_ESM2_1000k_fixed2000,NDC80,171,2000,0.6384943100027002,0.5252628975471181,0.6785274282706697,0.44216696392036975,0.3391780959552527,0.7670814955237941,,,0
CellFlow_ESM2_1000k_fixed2000,NDUFA8,85,2000,0.7053327098758837,0.6366140001799636,0.7559836118712578,0.3831469329230489,0.3464683277869598,0.9042701324625881,0.41132736278046633,0.30910582002515763,4950
CellFlow_ESM2_1000k_fixed2000,NEDD1,134,2000,0.7679146857143236,0.7026238614172042,0.7879280583976234,0.38031154771707953,0.3439075380229951,0.9042784529877962,0.501557758588021,0.4263532989517567,4950
CellFlow_ESM2_1000k_fixed2000,NELFA,82,2000,0.6525828715676755,0.5723365293843502,0.726868870090973,0.40472407268434774,0.3504245633912087,0.865835731161244,0.5672222733880683,0.4124698763719297,4950
CellFlow_ESM2_1000k_fixed2000,NFRKB,223,2000,0.6748298930186188,0.6485213793369745,0.7189749552723406,0.4081166417744757,0.3404621557779238,0.8342275735133153,0.5607769430343373,0.38004873053968896,4950
CellFlow_ESM2_1000k_fixed2000,NOL6,107,2000,0.6887412706279633,0.5774060437963425,0.7125401103123975,0.42528399760447455,0.34917007790584126,0.8210280186243423,0.5971317681471554,0.5152359876237582,4950
CellFlow_ESM2_1000k_fixed2000,NOP10,124,2000,0.6965296564490536,0.6834917206800928,0.74815215515473,0.4051139473114163,0.3437173172138632,0.8484460223968623,0.7813844681951048,0.6627512079853196,4950
CellFlow_ESM2_1000k_fixed2000,NRBP1,62,2000,0.6232614078204353,0.6296390916078392,0.6918976552180676,0.41953401355080294,0.3469223615626992,0.8269230869422439,0.6008749002741092,0.4708442414940466,4950
CellFlow_ESM2_1000k_fixed2000,NSA2,71,2000,0.721879283440203,0.6681697900494024,0.7800727074132301,0.37004645415171983,0.34482932017188533,0.9318541396710819,0.5621645982367683,0.4852325185527427,4950
CellFlow_ESM2_1000k_fixed2000,NUBP1,144,2000,0.7159018604579199,0.6987159403530153,0.7507360113862416,0.39336254214942473,0.3504625946598873,0.8909404356217496,0.608968349170831,0.5946626773444494,4950
CellFlow_ESM2_1000k_fixed2000,NUDC,106,2000,0.6668186716993507,0.6880824674182605,0.7243305145550192,0.40351078703552484,0.34633261534076193,0.8582982821479591,0.44948716546427125,0.35396449431051036,4950
CellFlow_ESM2_1000k_fixed2000,NUP54,266,2000,0.7088917197349223,0.6251191705423119,0.7589847106369618,0.401485840408504,0.3595015967085586,0.8954278346224434,0.6733151463150334,0.5603912608706119,4950
CellFlow_ESM2_1000k_fixed2000,NUTF2,44,2000,0.6673785565872177,0.4863560114129891,0.7185384976175899,0.38094905915625404,0.3411639968335257,0.8955633007446026,0.49018481736921354,0.47163937948706464,4950
CellFlow_ESM2_1000k_fixed2000,OGFOD1,101,2000,0.6810415345297297,0.5490892044245649,0.7260570730594134,0.39479487024992704,0.3409209523797409,0.8635394683925833,0.41215141891442764,0.3609104736622986,4950
CellFlow_ESM2_1000k_fixed2000,OPA1,53,2000,0.6572558913281822,0.6531473329923416,0.7202015026607299,0.3882281385410578,0.3411443537910283,0.878721349444252,,,0
CellFlow_ESM2_1000k_fixed2000,ORC5,89,2000,0.7025445529131353,0.6733095609324811,0.7497807395017452,0.3805908187282831,0.3466829218544812,0.9109072126671297,0.4021984079560438,0.3191633012245366,4950
CellFlow_ESM2_1000k_fixed2000,OXA1L,305,2000,0.6687428781458359,0.5380258223666743,0.7150800664519202,0.4032342742046715,0.3393923842900992,0.8416754378320337,0.8079659113677963,0.7669942912576162,4950
CellFlow_ESM2_1000k_fixed2000,PAM16,43,2000,0.6169341405612526,0.5362006955812011,0.7100991488964693,0.4045413926061245,0.34760461123393854,0.8592559811855358,,,0
CellFlow_ESM2_1000k_fixed2000,PCF11,393,2000,0.6171930632875566,0.5319633058472292,0.6958208154312928,0.42466914377033715,0.34122675376173117,0.803512001677871,0.3916414914645719,0.412080931702913,4950
CellFlow_ESM2_1000k_fixed2000,PDCD2,59,2000,0.6566351757794175,0.6583551949682755,0.7036382080791016,0.3963635426533223,0.3396960361515731,0.8570314864924063,0.6578567212347406,0.6112187354663479,4950
CellFlow_ESM2_1000k_fixed2000,PET117,80,2000,0.7122315221635196,0.6363282714750774,0.7516162116541998,0.3830434031523021,0.34911911404851836,0.911434869196024,0.6420088793260084,0.44429129947978446,4950
CellFlow_ESM2_1000k_fixed2000,PGPEP1,51,2000,0.636176175692465,0.5819012233067109,0.715286907682106,0.4043410049907863,0.3469394024163113,0.8580366525631429,0.5429262236289353,0.5407245359427264,4950
CellFlow_ESM2_1000k_fixed2000,PHF5A,197,2000,0.6537379702078612,0.5185665796571644,0.7035492576494415,0.41561250138290234,0.3436504640514404,0.82685304919362,0.6139145696998491,0.6089717915686638,4950
CellFlow_ESM2_1000k_fixed2000,PIAS4,173,2000,0.6757250157162449,0.5640355596743103,0.714448102893048,0.4066700214952977,0.34083428429871804,0.8381101784820376,0.5544197485024802,0.5226749742521933,4950
CellFlow_ESM2_1000k_fixed2000,POLA1,195,2000,0.7688451790670431,0.6536962303504354,0.7792876333539865,0.4022791584620624,0.3495154795528204,0.868838149331522,0.7272872570242707,0.732131368908349,4950
CellFlow_ESM2_1000k_fixed2000,POLD2,63,2000,0.7473660942591194,0.6673374024175384,0.7673163185411903,0.3722164729118348,0.3457344405109436,0.9288531423831855,0.4858431718201043,0.45400072683000675,4950
CellFlow_ESM2_1000k_fixed2000,POLE,154,2000,0.7340696706344129,0.5963467140912762,0.7464609219385936,0.41100711863659345,0.34370441798605034,0.8362493066450969,0.7463417547790101,0.7875434191921452,4950
CellFlow_ESM2_1000k_fixed2000,POLR1E,202,2000,0.7041998673850738,0.6912570629143047,0.737073338272005,0.40555735250845554,0.3425716691814364,0.8446935237705845,0.6915537181343393,0.5933376039428764,4950
CellFlow_ESM2_1000k_fixed2000,POLR2E,93,2000,0.6627167741474532,0.6771310799120849,0.7319602100148588,0.4206553951109945,0.35643562696151443,0.8473340199701113,0.7335845185441203,0.7034148562610373,4950
CellFlow_ESM2_1000k_fixed2000,POLR2F,209,2000,0.6048700419030443,0.6000586173958115,0.6604826838862681,0.46118562155038134,0.3570774396024272,0.7742596970001567,0.6301650863732037,0.6138132805691914,4950
CellFlow_ESM2_1000k_fixed2000,POLR3B,109,2000,0.6730319997357017,0.7009044048741346,0.7349115524521749,0.39760636058948934,0.3493994605060295,0.8787572210565532,0.5352594896109862,0.3941485516776608,4950
CellFlow_ESM2_1000k_fixed2000,POLR3C,169,2000,0.6944026224962693,0.7178401571545407,0.742994460192884,0.3900292707596721,0.3428716802785919,0.8790921758532894,,,0
CellFlow_ESM2_1000k_fixed2000,POLR3D,108,2000,0.6595848815172011,0.6946487333948201,0.7197565271903112,0.4054206292030215,0.3481713423827664,0.8587903952179342,0.44294930262464866,0.34111653440044226,4950
CellFlow_ESM2_1000k_fixed2000,POLR3F,156,2000,0.6843881058882197,0.7239512116111179,0.7374871830692024,0.3943236962128431,0.34110195730187004,0.8650303306087755,0.572940423448583,0.39220099888710536,4950
CellFlow_ESM2_1000k_fixed2000,POP4,116,2000,0.6888711498490402,0.6341202746564141,0.7297363875519494,0.4057025205191225,0.3422238778232039,0.8435340194221776,0.7451256208094199,0.673002769277212,4950
CellFlow_ESM2_1000k_fixed2000,PPP1R11,69,2000,0.6787452206745004,0.678151695707294,0.7470231352349772,0.3745666003965587,0.3492204182315246,0.9323319747724443,0.2798705769449703,0.23120285040758864,4950
CellFlow_ESM2_1000k_fixed2000,PPP4R2,162,2000,0.7285353755524437,0.6912666681645494,0.7694712458306335,0.38521898095645013,0.34476646091267477,0.8949882481300977,,,0
CellFlow_ESM2_1000k_fixed2000,PRELID1,122,2000,0.6855064220898552,0.6526764299584833,0.7465763690806526,0.39780883263021716,0.34439474928602587,0.8657292675202054,0.6217175346747739,0.5546439117137075,4950
CellFlow_ESM2_1000k_fixed2000,PRPF3,129,2000,0.6420647870279214,0.5291212420233994,0.6884674962769904,0.42344210359379647,0.34420991856954997,0.8128854349820321,0.7098722601469335,0.7413681004784882,4950
CellFlow_ESM2_1000k_fixed2000,PRPF31,23,2000,0.5193675058307325,0.36786855089330595,0.6651735474266555,0.376558799616918,0.3421819618338347,0.9087079154223572,0.25728349681057044,0.22866301388649818,4950
CellFlow_ESM2_1000k_fixed2000,PRPF4B,160,2000,0.6743667391986613,0.6169246257099856,0.7200157369193481,0.40052535557247687,0.34201786422427755,0.8539231273771077,,,0
CellFlow_ESM2_1000k_fixed2000,PRPF8,91,2000,0.649566286650592,0.5691976345634094,0.7283766389892262,0.41623979586288334,0.35491223254844556,0.8526629026729579,0.5837388674764218,0.6014675588062187,4950
CellFlow_ESM2_1000k_fixed2000,PSMA2,38,2000,0.6720327493192156,0.6824323539654295,0.7299942964579793,0.37912261921785795,0.35436851050727075,0.9347068535196984,0.360858038500542,0.31183491100852667,4950
CellFlow_ESM2_1000k_fixed2000,PSMA3,194,2000,0.6586167440708559,0.5168120402244326,0.7075813752372754,0.4287904137779774,0.3512917668917776,0.8192621747221996,0.813908913667482,0.8235561953138416,4950
CellFlow_ESM2_1000k_fixed2000,PSMA6,18,2000,0.6386079166354101,0.5887995660209888,0.6938373713987506,0.36051930561214685,0.3496886980040559,0.9699583144661253,0.46973380666629116,0.4670544917467273,4950
CellFlow_ESM2_1000k_fixed2000,PSMB1,106,2000,0.658438945829313,0.62534905425903,0.7105967470637956,0.41836667080447076,0.3484035679395498,0.8327708497180476,0.7419912493958293,0.7652256472189867,4950
CellFlow_ESM2_1000k_fixed2000,PSMD1,87,2000,0.6522476166226449,0.5817887938475443,0.7058956889855463,0.4261523886716367,0.3510116568866373,0.8236763801342961,0.7803865069106641,0.8023272289429939,4950
CellFlow_ESM2_1000k_fixed2000,PSMD4,285,2000,0.6540088150656135,0.5862724774994463,0.7067309434467404,0.4279154501188546,0.34899428343869754,0.8155683169228021,0.7286561973833416,0.6008998358852615,4950
CellFlow_ESM2_1000k_fixed2000,PSMD7,175,2000,0.5524014825023054,0.3430839024701074,0.6133705113283426,0.489753517230749,0.3425088113496453,0.699349365138446,0.6279524712727832,0.6606769281332933,4950
CellFlow_ESM2_1000k_fixed2000,PTCD1,246,2000,0.7265625391433121,0.6561556485816707,0.7667396993914226,0.38484603819437324,0.33991766736350965,0.8832562469873427,0.6919721353758878,0.6204156403999791,4950
CellFlow_ESM2_1000k_fixed2000,PUF60,52,2000,0.6217110698568096,0.670549624883332,0.6983948212276,0.4044313874667883,0.3475435966450722,0.8593388332739438,0.38187781558253203,0.3201740175748826,4950
CellFlow_ESM2_1000k_fixed2000,PWP2,51,2000,0.6579835318413753,0.6462039232836596,0.7294717647908816,0.4099537278391421,0.34710600119004037,0.8466955600565683,0.725699544705403,0.6777164955272273,4950
CellFlow_ESM2_1000k_fixed2000,QARS,376,2000,0.6214179459370418,0.4872515364745833,0.6809313455369733,0.4322734923988581,0.34507086033463485,0.7982697676410806,0.7485353561539876,0.7619139305923138,4950
CellFlow_ESM2_1000k_fixed2000,RARS2,139,2000,0.7208370772858886,0.7158654614615486,0.7660330258085958,0.3878871931622923,0.3519238470908628,0.9072840075532412,,,0
CellFlow_ESM2_1000k_fixed2000,RBM19,37,2000,0.6349008206803511,0.5947517673384023,0.6929718627814354,0.40035696315221486,0.34291765516404066,0.8565297639987944,0.6441800313959896,0.5393606173753455,4950
CellFlow_ESM2_1000k_fixed2000,RBM28,55,2000,0.7036150792503054,0.6727371408530939,0.7474135109945883,0.375785303183496,0.3393020894366504,0.9029147403110896,0.40743292775160805,0.379062689075102,4950
CellFlow_ESM2_1000k_fixed2000,RBM39,49,2000,0.6601031061505928,0.6197396093448881,0.7058416447290341,0.382308989750743,0.3454484441261739,0.9035844130984172,0.5083293096772501,0.4839726297453837,4950
CellFlow_ESM2_1000k_fixed2000,RBM42,68,2000,0.671927712929502,0.6121104183123885,0.7372478746209151,0.3817841497271509,0.34989746810361755,0.9164798181215177,,,0
CellFlow_ESM2_1000k_fixed2000,RBX1,41,2000,0.6416751522410201,0.5572905791812225,0.7140831874482754,0.39887395492866634,0.34562305682234473,0.8664969285451468,0.4322060347615912,0.3849491693220204,4950
CellFlow_ESM2_1000k_fixed2000,RCC1,162,2000,0.6786041092037388,0.6671573869689541,0.733467476441568,0.3908314471117408,0.3358736353785545,0.8593823190551155,0.558974788496948,0.45039373790923404,4950
CellFlow_ESM2_1000k_fixed2000,RFC3,211,2000,0.7859256969167013,0.7186917927791812,0.7930632663135231,0.3805678303383291,0.3469060343734176,0.9115484986343019,0.6676473373150004,0.6512070156475455,4950
CellFlow_ESM2_1000k_fixed2000,RFC4,58,2000,0.74042406545775,0.6793499752193871,0.75832042754788,0.36678910526767383,0.34022175487518314,0.9275677766570998,,,0
