metric,n_high,n_low,gain_high,gain_low,interaction,ci_low,ci_high,permutation_p,contrast,stratifier,fdr_bh_within_contrast_stratifier
csa_spearman,196,76,-0.0007778643143891834,0.011961524321722634,-0.012739388636111817,-0.023021326363187197,-0.0027927553587873966,0.017998200179982,network,complex_has_any,0.0647935206479352
e_distance,196,76,0.0033564616721824224,0.011475906374641381,-0.008119444702458959,-0.015642176998949358,-0.001042081672262063,0.028097190280971903,network,complex_has_any,0.0842915708429157
energy_pca50,196,76,0.0009519646917425647,0.0054880345522438706,-0.004536069860501306,-0.009666172175665648,0.0005358520346678148,0.08589141085891411,network,complex_has_any,0.18418158184181582
kl_divergence,196,76,0.01248194139022054,0.030351500199999146,-0.017869558809778606,-0.05703262507296381,0.02004151704719798,0.38176182381761825,network,complex_has_any,0.40421840168924283
mae,196,76,0.00033318873836982063,0.000888652519502663,-0.0005554637811328424,-0.001494690110042746,0.000411052693246664,0.27957204279572045,network,complex_has_any,0.3432031796820318
mean_pcc,196,76,0.00025108551099555887,0.0007492031314727168,-0.0004981176204771579,-0.0012077162628163125,0.0002489414589079829,0.20107989201079893,network,complex_has_any,0.3016198380161984
mean_spearman,196,76,0.0007329696875217604,0.0016376828852248456,-0.0009047131977030852,-0.0023453443641089327,0.0005744522051057284,0.3050694930506949,network,complex_has_any,0.3432031796820318
mmd_pca50,196,76,0.0005741817944298379,0.0023763725819051147,-0.0018021907874752768,-0.005383629640614388,0.001647186486760824,0.2930706929307069,network,complex_has_any,0.3432031796820318
mse,196,76,6.352041761484216e-05,0.00018168051291580576,-0.00011816009530096359,-0.0003046240246823569,7.119614673120478e-05,0.24687531246875313,network,complex_has_any,0.34182735572596584
pcc_delta,196,76,-0.0025758113330986874,0.07012879501510423,-0.07270460634820292,-0.10987762136135529,-0.03721706327771574,0.00019998000199980003,network,complex_has_any,0.0035996400359964006
pra_all_genes,196,76,0.0028384971263477206,0.005094928441468891,-0.0022564313151211706,-0.008543207999122003,0.004278123913296397,0.47085291470852914,network,complex_has_any,0.4708529147085291
pra_top100_true_de,196,76,0.005346848287899117,0.018139033264999837,-0.01279218497710072,-0.028127658956370837,0.0020294225195675755,0.09209079092090791,network,complex_has_any,0.18418158184181582
spearman_delta,196,76,0.000911490291306701,0.048568187960446305,-0.0476566976691396,-0.07535171572619147,-0.021430294264062455,0.0017998200179982,network,complex_has_any,0.0080991900809919
topk_de_overlap,196,76,-0.000850340136054423,0.04355263157894737,-0.04440297171500179,-0.06918047350519155,-0.020098259040458297,0.0010998900109989002,network,complex_has_any,0.0071992800719928
wasserstein,196,76,0.005073655491940797,0.01341948721806382,-0.008345831726123023,-0.018901764995598213,0.0016855563498198755,0.14508549145085492,network,complex_has_any,0.23741262237412625
wasserstein_1_pca50,196,76,0.0005214052734541997,0.004817165914214439,-0.00429576064076024,-0.010037165373837705,0.0012729164873684173,0.13588641135886412,network,complex_has_any,0.23741262237412625
auprc,75,197,0.020632363036187932,0.012119573146040985,0.008512789890146947,-0.028709473954509034,0.045144311838009286,0.6203379662033797,network,grn_has_any,0.9669033096690333
csa_pearson,75,197,0.0040838767728239465,0.003588709425525203,0.0004951673472987435,-0.013134007300495076,0.013066834812669183,0.9307069293070693,network,grn_has_any,0.9669033096690333
csa_spearman,75,197,0.0019066986872519121,0.00311478193546572,-0.001208083248213808,-0.014788580423586153,0.010797343385286009,0.8247175282471753,network,grn_has_any,0.9669033096690333
e_distance,75,197,0.006688651256056787,0.005220236182823557,0.00146841507323323,-0.006734450024889701,0.009881113498192443,0.7068293170682932,network,grn_has_any,0.9669033096690333
energy_pca50,75,197,0.0028933412069365536,0.0019628178428011942,0.0009305233641353594,-0.005409339828749552,0.007282706029931261,0.7310268973102689,network,grn_has_any,0.9669033096690333
kl_divergence,75,197,0.015864067373000605,0.01808816992237622,-0.0022241025493756165,-0.048459812748577,0.04497480980593196,0.9158084191580842,network,grn_has_any,0.9669033096690333
mae,75,197,0.0004740970912906909,0.0004938340221110933,-1.973693082040238e-05,-0.0012553060776971591,0.0011134268309174156,0.9669033096690332,network,grn_has_any,0.9669033096690333
mean_pcc,75,197,0.00031131493736341403,0.00042032273017664966,-0.00010900779281323563,-0.0010497580342358358,0.0007599401157280484,0.7868213178682132,network,grn_has_any,0.9669033096690333
mean_spearman,75,197,0.0005616665107767377,0.0011472130442796852,-0.0005855465335029475,-0.0024787818069087293,0.001180821523168439,0.5151484851514848,network,grn_has_any,0.9669033096690333
mmd_pca50,75,197,0.0017588537511693358,0.0008184259725651613,0.0009404277786041745,-0.0028649706563566007,0.004702086396550525,0.585041495850415,network,grn_has_any,0.9669033096690333
mse,75,197,8.5506169901544e-05,0.00010073481264718018,-1.5228642745636185e-05,-0.0002608675603140559,0.00021316587247729272,0.8848115188481152,network,grn_has_any,0.9669033096690333
pcc_delta,75,197,0.016003727313405623,0.01839923782413785,-0.0023955105107322273,-0.045589557998038106,0.041077526227336736,0.9027097290270973,network,grn_has_any,0.9669033096690333
pra_all_genes,75,197,0.004920467212919689,0.0029163703418619916,0.0020040968710576977,-0.005535336884462898,0.00936535412524414,0.5261473852614739,network,grn_has_any,0.9669033096690333
pra_top100_true_de,75,197,0.01250922785330732,0.00755511017040693,0.00495411768290039,-0.012395174119190994,0.022105342895642636,0.5255474452554745,network,grn_has_any,0.9669033096690333
spearman_delta,75,197,0.010114119900753974,0.015793276089002457,-0.005679156188248482,-0.03955356258252885,0.026133519987490698,0.706029397060294,network,grn_has_any,0.9669033096690333
topk_de_overlap,75,197,0.01724444444444444,0.009390862944162439,0.007853581500282002,-0.02174693739424704,0.03699057529610828,0.5620437956204379,network,grn_has_any,0.9669033096690333
wasserstein,75,197,0.008875800100045073,0.00684585024106531,0.002029949858979763,-0.010904595649691125,0.0146887369571487,0.7218278172182782,network,grn_has_any,0.9669033096690333
wasserstein_1_pca50,75,197,0.002899933855245852,0.0012731218473801108,0.001626812007865741,-0.005293414659824964,0.00831191176539485,0.5776422357764224,network,grn_has_any,0.9669033096690333
auprc,138,134,0.00229617506046152,0.02700082820254088,-0.024704653142079362,-0.05332081068923873,0.0049554023701805965,0.10378962103789621,network,network_rich,0.3938606139386061
csa_pearson,138,134,0.0007947126357777937,0.006743255007857653,-0.005948542372079859,-0.016149847361588546,0.0036747082206655826,0.24327567243275672,network,network_rich,0.4922507749225078
csa_spearman,138,134,-0.0009836153662319764,0.006659353457989947,-0.007642968824221923,-0.017747143496037735,0.0018937092274448843,0.11408859114088592,network,network_rich,0.3938606139386061
e_distance,138,134,0.0031464598137983272,0.008177790432211422,-0.005031330618413095,-0.011274377346341775,0.0013658642037036172,0.1312868713128687,network,network_rich,0.3938606139386061
energy_pca50,138,134,0.0008541736399654283,0.0036253712181854307,-0.0027711975782200027,-0.007513661613134494,0.0016814514537590807,0.24467553244675533,network,network_rich,0.4922507749225078
kl_divergence,138,134,0.012353207902716051,0.022749491321704077,-0.010396283418988026,-0.046140786439032876,0.025053385135215062,0.5846415358464153,network,network_rich,0.6190322144256163
mae,138,134,0.0003510240559884633,0.0006298601826588003,-0.000278836126670337,-0.001191989781279059,0.0006056311170821902,0.5528447155284472,network,network_rich,0.6190322144256163
mean_pcc,138,134,0.000249633396738067,0.0005350954432627071,-0.0002854620465246401,-0.0009596885464099438,0.0003851038080778511,0.42575742425757424,network,network_rich,0.6190322144256163
mean_spearman,138,134,0.0007509340573543216,0.0012275899859437085,-0.0004766559285893869,-0.0019992030460359743,0.001140077696413828,0.547945205479452,network,network_rich,0.6190322144256163
mmd_pca50,138,134,0.0005147412966578917,0.0016575346939869241,-0.0011427933973290325,-0.004151227910890512,0.0018141164356724466,0.46265373462653736,network,network_rich,0.6190322144256163
mse,138,134,6.507106610699901e-05,0.0001289396545622719,-6.386858845527289e-05,-0.00023799337691994733,0.00011339119296046079,0.48325167483251674,network,network_rich,0.6190322144256163
pcc_delta,138,134,-0.004573260492199882,0.04071671155062807,-0.04528997204282795,-0.08040754045533256,-0.01053109116346104,0.011998800119988001,network,network_rich,0.16918308169183083
pra_all_genes,138,134,0.0030481011509147756,0.0039024032797727627,-0.0008543021288579871,-0.006477459255945804,0.00467295990280039,0.7647235276472353,network,network_rich,0.7647235276472353
pra_top100_true_de,138,134,0.00526139063351071,0.012690126008535344,-0.007428735375024633,-0.020728998684122063,0.0059371305432872855,0.27347265273472654,network,network_rich,0.4922507749225078
spearman_delta,138,134,-0.0015575499481035107,0.03048340503677848,-0.03204095498488199,-0.05808619277996866,-0.006272617445016947,0.0187981201879812,network,network_rich,0.16918308169183083
topk_de_overlap,138,134,0.00024154589371980752,0.023208955223880598,-0.02296740933016079,-0.04599395233975053,0.0006583747927031412,0.05399460053994601,network,network_rich,0.32396760323967605
wasserstein,138,134,0.004596854321001509,0.01029814633354506,-0.005701292012543551,-0.015579276071228965,0.004245796312229485,0.2673732626737326,network,network_rich,0.4922507749225078
wasserstein_1_pca50,138,134,0.00042858242979010167,0.0030534005057185573,-0.0026248180759284555,-0.007682396360179012,0.0023102835620561523,0.3120687931206879,network,network_rich,0.5106580251065802
auprc,136,136,0.0044985040231738365,0.024435195517150936,-0.0199366914939771,-0.049857641220704074,0.009096297458807122,0.18798120187981202,network,omnipath_has_any,0.6767323267673232
csa_pearson,136,136,0.0009494335866330562,0.006501055492707097,-0.005551621906074041,-0.015739669852640237,0.00418415928065712,0.27957204279572045,network,omnipath_has_any,0.8387161283871615
csa_spearman,136,136,-0.0006653903587749581,0.006228731850176724,-0.006894122208951681,-0.016497994657108772,0.002722653704794809,0.16348365163483652,network,omnipath_has_any,0.6767323267673232
