condition,n_true_cells,n_pred_cells,mean_pcc,mean_spearman,delta_pcc,delta_spearman
CCDC86,235,2000,0.994650623831673,0.9655641449089131,0.5883728560943821,0.3977080085098653
RPS21,63,2000,0.9911522849174098,0.9558380345514014,0.7054845999942294,0.5073068278442731
POLE,154,2000,0.9931122908450987,0.9472285585358758,0.5677459061636357,0.3925025277829413
TRMT10C,67,2000,0.9924933368159439,0.953787161100159,0.14193305556885627,0.12134322913155363
VPS29,146,2000,0.9895129617462016,0.9312746218333355,0.3233942166751878,0.22891099904443993
CWC15,144,2000,0.9841276092080841,0.9400239686089585,0.43190347549829083,0.4800469026719606
CHMP6,620,2000,0.9945346160573407,0.9703513211093413,0.7877434557597388,0.6570095291441495
RBX1,41,2000,0.9784667664098371,0.8895636380581622,0.0543985094645019,0.048459223843531976
BRIX1,95,2000,0.9829326231209974,0.9189700965248591,0.1407737153656302,0.03535655248711066
PTCD1,246,2000,0.9877954600986588,0.9527779417179844,0.3788786448578384,0.2714804057937318
HIRA,228,2000,0.9903463800243215,0.9463525718701028,0.2740100114680215,0.17107176747097644
POP4,116,2000,0.9948736203217493,0.9638323707452947,0.5808690554459308,0.3244684408585249
DYNC1H1,217,2000,0.993697300036726,0.9586434394017375,0.6022836490404158,0.36822969738518785
POLR3B,109,2000,0.9916256471578228,0.9504498019219919,0.5223862162030062,0.32873513124496384
DNAJC8,260,2000,0.9701373196526405,0.9180254445610176,0.2570702353291414,0.22199936305063045
QARS,376,2000,0.9937422044395022,0.9597493666459745,0.8308802331795786,0.6158774811766613
WBP11,205,2000,0.9853458543094443,0.9317776974951077,-0.19916385923503002,-0.06195380792112609
MCM10,190,2000,0.9911030194001124,0.9560464204178566,0.4235648956988647,0.18617297050738696
PSMD1,87,2000,0.9920237124602871,0.9556573099132282,0.8462962865521425,0.621924866826847
MED20,78,2000,0.9868068851463853,0.9388060782373057,0.8428480941759989,0.6463161090526444
DERL2,122,2000,0.9891387153748062,0.9278678175947125,0.03327435720088551,0.08646060149249911
VPS54,306,2000,0.9943669407772242,0.9546163116246522,0.4240707297361688,0.2872369467741589
WDR12,174,2000,0.9867519198846635,0.9375363251879538,0.20648909529368933,0.0626140636900653
OXA1L,305,2000,0.9943512178720826,0.9537008176909215,0.732726779147116,0.4692112735909732
SART3,142,2000,0.9919236967057623,0.9419730552695295,0.21062774389741,0.17047621656714007
TEX10,153,2000,0.990736309652664,0.9465005903400235,0.2708554478961057,0.12589454236680317
GTF2E1,176,2000,0.9960922962594452,0.9658317111772683,0.5855771364552678,0.3671856684082392
DDX54,68,2000,0.9961558935170304,0.9585906550206447,0.6016265951530901,0.3930683893227356
E4F1,130,2000,0.9793976849952828,0.9191100830325204,-0.36612268978726137,-0.17135462188640987
RIOK1,290,2000,0.9958195464842873,0.970187938462802,0.804825082735952,0.518222150968886
EBNA1BP2,68,2000,0.9921215694921736,0.9427078743163149,0.5807198613244886,0.3865672694559683
