batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,cumulative_flops,cumulative_flops_val_sync,epoch,step,train/gradient_norm,train_loss,val_loss
0.8556315898895264,198.6101531982422,9.93124008178711,59.818538665771484,0.16602277755737305,1.1687272787094116,2412490109485056.0,,5,1049,1.9171291589736938,0.32259559631347656,
0.8475679755210876,185.79879760742188,8.41224193572998,42.59722900390625,0.19748330116271973,1.1798464059829712,2527370820976640.0,,5,1099,1.7707654237747192,0.6109592914581299,
0.5473966002464294,131.62615966796875,5.168346405029297,25.276628494262695,0.20447134971618652,1.826828956604004,2642251264032768.0,,5,1149,1.7905900478363037,0.49190664291381836,
,,,,,,2757131707088896.0,,6,1199,2.3553667068481445,0.4218670129776001,
0.7866254448890686,194.94105529785156,9.902830123901367,68.10111236572266,0.14541363716125488,1.271252989768982,2872012150145024.0,,6,1249,1.9347676038742065,0.6883549690246582,
0.7919716238975525,164.17018127441406,7.055083274841309,34.358951568603516,0.20533466339111328,1.2626714706420898,2986892593201152.0,,6,1299,1.9208660125732422,0.35190916061401367,
0.518694281578064,94.3622817993164,3.2689921855926514,15.780471801757812,0.2071542739868164,1.9279178380966187,3101773036257280.0,,6,1349,1.7801679372787476,0.7625863552093506,
,,,,,,3216653479313408.0,,7,1399,1.543334722518921,0.6205055713653564,
0.9708678126335144,194.80377197265625,10.773571014404297,54.963226318359375,0.1960141658782959,1.0300064086914062,3331534190804992.0,,7,1449,1.5822252035140991,0.5229347944259644,
1.0143687725067139,171.95013427734375,8.545729637145996,40.1504020690918,0.2128429412841797,0.9858347177505493,3446414633861120.0,,7,1499,1.9637826681137085,0.4305962324142456,
0.5612931251525879,129.19410705566406,5.2179718017578125,25.6562557220459,0.20338010787963867,1.7816003561019897,3561295076917248.0,,7,1549,1.712848424911499,0.2774231433868408,
,,,,,,3676175519973376.0,,8,1599,1.5976358652114868,0.5104824304580688,
0.752232551574707,166.97256469726562,7.156093120574951,38.75336456298828,0.18465733528137207,1.3293761014938354,3791055963029504.0,,8,1649,1.112828016281128,0.5046522617340088,
0.6876605749130249,137.83706665039062,5.792040824890137,29.087732315063477,0.19912314414978027,1.454205870628357,3905936406085632.0,,8,1699,1.9827289581298828,0.365939736366272,
0.5356523990631104,126.16548919677734,4.845861434936523,23.529499053955078,0.2059483528137207,1.86688232421875,4020817117577216.0,,8,1749,1.4070556163787842,0.399702787399292,
,,,,,,4135697560633344.0,,9,1799,2.0695888996124268,0.5557979345321655,
0.7286843061447144,188.46450805664062,9.929879188537598,59.876895904541016,0.16583824157714844,1.3723363876342773,4250578003689472.0,,9,1849,1.5541373491287231,0.5302181243896484,
0.626808762550354,128.55738830566406,3.7719388008117676,17.83572006225586,0.21148228645324707,1.5953830480575562,4365458446745600.0,,9,1899,1.6851706504821777,0.41245222091674805,
0.5849742293357849,181.72828674316406,7.646640300750732,38.315086364746094,0.19957256317138672,1.7094770669937134,4480338889801728.0,,9,1949,1.625766634941101,0.4839458465576172,
,,,,,,4595219332857856.0,,10,1999,4.171476364135742,0.5995628833770752,
0.7770015597343445,185.7056427001953,8.556485176086426,54.10411071777344,0.15814852714538574,1.2869987487792969,4710100044349440.0,,10,2049,1.7547402381896973,0.4410395622253418,
0.7102907299995422,162.0416717529297,6.7405900955200195,34.06578826904297,0.19786977767944336,1.4078742265701294,4824980218970112.0,,10,2099,2.475022315979004,0.4814023971557617,
,,,,,,4939860930461696.0,,11,2149,7.25778865814209,0.6546227931976318,
