position_0based	gene
669	SQLE
670	IDI1
671	ACAT2
672	FDFT1
673	INSIG1
674	CYP51A1
675	SCD
676	FDPS
677	MVD
678	DHCR7
679	DHCR24
680	CDKN1B
681	PRC1
682	POLE3
683	HSPB1
684	ANAPC11
685	MYBL2
686	TK1
687	POLE4
688	ANAPC16
689	STK11
690	CDKN2C
691	TERF2
692	TERF2IP
693	ASF1A
694	BMI1
695	PPP1R12A
696	ESCO1
697	MDM4
698	PPP2R2A
699	CBX2
700	RPS27L
701	RPLP1
702	RPL18A
703	RPL28
704	RPL37
705	RPL34
706	RPL37A
707	RPL32
708	RPL14
709	RPL15
710	RPL35A
711	RPL24
712	RPL23
713	RPL13
714	RPL39
715	RPL36A
716	RPL10
717	RPL27A
718	EEF1B2
719	RPL38
720	STAT5A
721	SH2B1
722	PSEN1
723	PSENEN
724	NCSTN
725	APH1B
726	PTPN1
727	MAPK9
728	SOS2
729	BCL2L11
730	GOLGB1
731	GCC2
732	PTPN12
733	TRIP11
734	BRWD1
735	ZMYM2
736	STRN
737	PPFIBP1
738	RRBP1
739	FER
740	ARRB2
741	PYGO2
742	RAF1
743	TADA3
744	MDK
745	RAC3
746	DUSP10
747	AAK1
748	KDM7A
749	ANXA5
750	USP12
751	ACVR1B
752	CD9
753	PEA15
754	AKAP13
755	SYNJ2
756	SHOC2
757	AKAP9
758	TGIF1
759	STON2
760	BTK
761	ARPC1B
762	VAMP8
763	COMT
764	SEC61G
765	CALR
766	PDIA3
767	PLD3
768	CCR10
769	PSME1
770	SNAP23
771	MYO9B
772	PSME2
773	WAS
774	NCKAP1
775	PLPPR3
776	PIK3C3
777	PLPPR2
778	CTSV
779	PIK3R3
780	MAP2K4
781	PPP3CB
782	TNIP2
783	LRRC14
784	VRK3
785	DUSP7
786	SIGIRR
787	SLC15A4
788	CNPY3
789	CTSB
790	HGS
791	TANK
792	LAMB1
793	TBK1
794	BIRC2
795	PLCG2
796	ANTXR2
797	SH3GL1
798	CBLL1
799	ETS2
800	LEF1
801	TCF7
802	TCF7L2
803	TNKS
804	SEL1L
805	USP8
806	SIRT1
807	OS9
808	SRF
809	TNKS2
810	XIAP
811	RYK
812	SOX4
813	SMARCC2
814	VPS29
815	TLE4
816	ATP6V1H
817	ZEB1
818	PRKAB1
819	RAB27A
820	HSPG2
821	GALM
822	TALDO1
823	FDXR
824	ALYREF
825	SRSF2
826	SRSF7
827	SRSF3
828	MAP1B
829	PCK2
830	MTHFD2
831	SHMT2
832	COLGALT2
833	GFPT1
834	IDH1
835	HK1
836	APRT
837	FASN
838	SF3B5
839	TXNL4A
840	SIN3A
841	PIAS1
842	KIFC1
843	KIF23
844	KIF11
845	KIF20A
846	KIF20B
847	KIF22
848	KIF15
849	HMG20B
850	PBRM1
851	SAP30
852	CASP8AP2
853	UBTF
854	TOP2B
855	KMT2D
856	MITF
857	DNMT1
858	TXN2
859	GCLM
860	PIK3R4
861	DDHD2
862	G3BP2
863	PLEKHA8
864	FUS
865	UBR4
866	PCNT
867	TOMM7
868	PCF11
869	TAOK1
870	ETNK1
871	RBM5
872	LPGAT1
873	PARP4
874	LPIN2
875	IFNAR1
876	SEC24A
877	RAB14
878	EXOC1
879	CHMP4B
880	CDK5
881	ARNT
882	ZFPM1
883	DOCK11
884	LPIN1
885	ZNF385A
886	TAC3
887	NFE2
888	PIP5K1C
889	HBD
890	KAT6A
891	PLCB4
892	GATA2
893	JMY
894	KLC1
895	TCF12
896	GOLGA2
897	PLXNA1
898	RAP1A
899	MFN2
900	DYNLL2
901	HSPA1A
902	HSPA1B
903	HMGB2
904	ODF2
905	CDK5RAP2
906	SCLT1
907	CEP192
908	NBAS
909	ARCN1
910	DIAPH1
911	AP1G1
912	CASP3
913	KNTC1
914	PAFAH1B1
915	DYNC1LI2
916	AGPAT3
917	VPS25
918	BICD1
919	MIA3
920	TYK2
921	IMPDH2
922	ANXA2
923	HNRNPDL
924	PDCD4
925	STX3
926	RAB5B
927	TNFRSF1A
928	MED19
929	CDK19
930	IP6K2
931	CNBP
932	UBE2L6
933	RAPGEF2
934	ARIH1
935	IFNAR2
936	IRF2
937	LAMTOR3
938	SPRED2
939	IFNGR1
940	RPL31
941	RPL39L
942	RPL22L1
943	EIF4A2
944	GNL3
945	DDX21
946	NOP56
947	WDR43
948	EIF1AX
949	NIP7
950	RRP9
951	EBNA1BP2
952	EXOSC7
953	BOP1
954	RRP1
955	EXOSC8
956	IPO5
957	NOP14
958	EIF4B
959	ETF1
960	PRKAB2
961	GABARAPL1
962	GABARAP
963	ACSM3
964	ATG13
965	ECI1
966	RTN3
967	EIF4EBP1
968	ALDH2
969	CHD9
970	PRKAA1
971	PLIN3
972	SLC38A1
973	NBR1
974	CAB39
975	MTMR14
976	MTMR3
977	GLUL
978	CPT2
979	ELOVL6
980	RPL26L1
981	CTH
982	CEBPG
983	RCHY1
984	UTP3
985	DCP1A
986	KPNA4
987	HBS1L
988	KPNA3
989	DIS3
990	USP33
991	ASCC3
992	FBL
993	DNAJC3
994	EIF2S3
995	SMG1
996	SRP72
997	PAPSS1
998	LTN1
999	RIOK3
1000	PIK3CD
1001	PLEKHA5
1002	TNFAIP8
1003	MBOAT1
1004	BCL10
1005	CAPN2
1006	PNPLA8
1007	SYNJ1
1008	LIPH
1009	PGP
1010	PLA2G12A
1011	MBOAT7
1012	GDE1
1013	GPCPD1
1014	PITPNB
1015	CPNE3
1016	COPS5
1017	ERLEC1
1018	MAGT1
1019	DERL2
1020	ARHGEF7
1021	WIPF2
1022	SRGAP2
1023	ADGRE5
1024	JUP
1025	DOCK9
1026	FAM83A
1027	SLC1A5
1028	CDC42SE2
1029	ANLN
1030	ARHGAP11A
1031	RBCK1
1032	FLOT2
1033	ARHGAP21
1034	IQGAP2
1035	ARHGAP35
1036	PPFIA1
1037	ARHGEF10
1038	KTN1
1039	RALBP1
1040	SUPT5H
1041	ELL
1042	AFF4
1043	CCNT2
1044	ELL2
1045	TAF1
1046	SUPT6H
1047	CTR9
1048	RNGTT
1049	TAF2
1050	TAF7
1051	INTS6
1052	CDK13
1053	ZNF143
1054	GTF2B
1055	IWS1
1056	LIG4
1057	NABP1
1058	TAF8
1059	EAF1
1060	ST3GAL3
1061	GLB1
1062	ST3GAL2
1063	ST6GALNAC1
1064	GALNT5
1065	GMPPA
1066	GALC
1067	FUT8
1068	GALNT6
1069	PNP
1070	CHST2
1071	AMDHD2
1072	PCBP2
1073	ADAMTSL4
1074	ENO2
1075	DERA
1076	PPIH
1077	ST6GAL1
1078	FAM20B
1079	SLC2A1
1080	MIB2
1081	CASP2
1082	DAD1
1083	TNFSF10
1084	CASP10
1085	HDAC8
1086	HDAC6
1087	RAB6A
1088	MADD
1089	ARHGEF18
1090	HDAC10
1091	SPPL2A
1092	B4GALT1
1093	SIRT6
1094	WWP2
1095	OSTC
1096	RBBP5
1097	ITSN1
1098	BAD
1099	NSMAF
1100	VAMP2
1101	FTH1
1102	FTL
1103	CHMP2A
1104	TIMM13
1105	CHCHD10
1106	TIMM10
1107	CYC1
1108	PAM16
1109	LRP12
1110	TIMM8A
1111	TIMM17A
1112	TGOLN2
1113	LDLR
1114	LRP10
1115	ACBD3
1116	PACSIN2
1117	AP1S2
1118	SORT1
1119	ATP2B1
1120	PPARA
1121	IDH2
1122	FADS1
1123	TM7SF2
1124	STAR
1125	TSPO
1126	CCS
1127	SUMO3
1128	ZNF467
1129	LSS
1130	SRD5A3
1131	EIF2AK2
1132	ERO1A
1133	BLVRA
1134	DNMT3A
1135	OSBPL6
1136	CHD3
1137	ACACA
1138	MED14
1139	XPC
1140	SMAD2
1141	CAT
1142	USP47
1143	SMURF1
1144	SMURF2
1145	ZFYVE16
1146	USP25
1147	TRRAP
1148	TADA2B
1149	ACVR2B
1150	USP20
1151	STAM2
1152	SMAD5
1153	MUL1
1154	TGFBR1
1155	SKI
1156	HHEX
1157	BMPR1A
1158	PTEN
1159	NR3C1
1160	TERF1
1161	SYCP2
1162	RSF1
1163	NHP2
1164	TET2
1165	CENPC
1166	DIDO1
