condition,source_coverage,n_true_cells,n_pred_cells,mean_pcc,mean_spearman,pcc_delta,spearman_delta,topk_de_overlap,auprc,pra_all_genes,pra_top100_true_de,true_range_mean,pred_range_mean,range_width_ratio
POLA2,2,212,68,0.897839776891462,0.6592967796700862,0.4573017740643612,0.31812712104643626,0.29,0.2713173740889266,0.8353844939702967,0.6740465605377289,0.4268192986188665,0.46902619773846543,1.0988870190905258
POLD2,3,63,196,0.9246596312171342,0.749775968179301,0.3299196615423237,0.15830931500552897,0.31,0.2439800155052518,0.9020241343573331,0.7789688489790236,0.41272836706083194,0.5045282687093876,1.2224220498292158
POLD3,2,65,119,0.9353511507863792,0.7717130731039973,0.2896109858767764,0.18008470110989117,0.33,0.20013100008296744,0.9220902122017258,0.7896402305481449,0.4074943540773415,0.524718582772412,1.2876707729700565
POLR1B,1,174,48,0.9064738496412362,0.7458596744153133,0.29213747097159365,0.1287030462895667,0.35,0.2660827906036234,0.8458327624287569,0.7263264924636288,0.4892909198021407,0.5863677869264154,1.1984031405681905
POLR1C,1,161,177,0.8698158493591026,0.6879681157968383,-0.041180656474266206,-0.06203903387433797,0.12,0.10814799614257027,0.7839838733332681,0.6130913561779665,0.46222369357063336,0.46407138032389716,1.00399736478028
POLR2A,1,264,20,0.8641701408262172,0.5737810474650833,0.5124329363928752,0.3602520776266346,0.39,0.30902510932489374,0.6518905427734439,0.5772998829567224,0.5041812778688382,0.4676397027718994,0.9275229248364231
POLR2D,1,182,67,0.8953596052935336,0.6508877915527272,0.4592480884986274,0.2960271769745312,0.34,0.2320506117053883,0.7188904543537954,0.6587619942793786,0.5259797866049453,0.46675679063455583,0.8874044091566679
POLR2F,3,209,145,0.9317382290510093,0.7517328590377521,0.4410811101060532,0.3177221021544706,0.36,0.24294230495945865,0.8273350977434325,0.8012223492930053,0.5250835963322611,0.5467615714790143,1.0412847875754014
POLR2G,1,131,39,0.8835205150192067,0.6131110961066113,0.5529680848844114,0.3935529450539448,0.34,0.28900490602091344,0.6592305031420256,0.658732353963246,0.5555540211765465,0.4749291540614746,0.8548748229864782
POLR2H,1,80,36,0.8646545087339079,0.574306382714971,0.4914151563378562,0.30330417745885085,0.33,0.26113407362074986,0.6267186973332869,0.647225923414177,0.5742593440500608,0.46429885827840656,0.808517710689187
POLR2I,3,179,355,0.9297129881098474,0.7396906988593197,0.5087176334746424,0.39610815511158937,0.43,0.2970341354656927,0.7883195313642756,0.7871166525517321,0.5438041844958695,0.5489142224441566,1.0093968159863573
POLR2L,1,43,25,0.9141718534154435,0.7026665809222915,0.15546361612114584,0.03976040732571893,0.32,0.23342904161740294,0.764197591253159,0.7578668253768511,0.46514419746765245,0.5449585397943394,1.1715905111690281
POLR3D,3,108,121,0.9266682644574306,0.7290983268839111,0.2342551056964575,0.1923096697718178,0.23,0.17107551154669515,0.860899003734085,0.8067384667188543,0.463302509548467,0.5522464397129978,1.1919780627379606
