model,context,condition,n_true_cells,n_pred_cells,n_tfs,tf_activity_mean_pcc,tf_activity_mean_spearman,tf_activity_delta_pcc,tf_activity_delta_spearman,tf_activity_topk_overlap,tf_activity_auprc
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,ACTR8,242,2000,86,0.9954929383901728,0.993471390159913,0.3059548533952809,0.22919005613472335,0.4,0.5342158665042841
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,AHCTF1,161,2000,86,0.9961475014940343,0.9950186329543845,0.551183814121268,0.5334308222085947,0.48,0.49646056098466784
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,AHCY,133,2000,86,0.9923270926552403,0.9893768573989339,-0.29813974918700126,-0.2772677956507382,0.36,0.36564685527802787
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,AKIRIN2,144,2000,86,0.996819051973726,0.9953205339874522,0.190413011128177,0.2936459266946554,0.32,0.4351568071073658
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,ALDOA,77,2000,86,0.9900690188256729,0.9869993867635266,0.6535229805152823,0.6115854521439691,0.6,0.5562625308383821
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,ALG13,167,2000,86,0.9971922660825803,0.9951884522854851,0.38458162274714897,0.35951695834709185,0.36,0.43860843711848296
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,ALG2,228,2000,86,0.9928117483269977,0.9916599839615076,0.5556374994091856,0.5020331147695646,0.44,0.6118442856394976
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,ALYREF,96,2000,86,0.996515679120428,0.9955846973913864,0.5189627054174175,0.40887777725364405,0.44,0.541697673782528
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,ANAPC2,237,2000,86,0.9873552581163672,0.9869993867635266,0.466762873558845,0.3102127458842398,0.6,0.6313942079143189
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,ANAPC4,59,2000,86,0.994710068044388,0.9929053257229115,0.6199779936266708,0.4828246615406387,0.48,0.48549381627217614
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,ANKRD11,184,2000,86,0.9926238126630091,0.9933581772725127,-0.06014649786838903,0.08727770177838577,0.36,0.43359216771781217
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,AP2S1,96,2000,86,0.9930475524964488,0.9929053257229115,0.5136976062289218,0.5642435963960564,0.4,0.4638766712639751
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,AQR,82,2000,86,0.925924850959019,0.9505448370206141,0.652835704835871,0.6037360252842116,0.4,0.5647780761740032
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,ARCN1,214,2000,86,0.9956257986120223,0.9951695834709184,0.6598164547923717,0.6948912684560593,0.48,0.618280047715715
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,ARGLU1,367,2000,86,0.9955840796480253,0.9947922071795838,-0.576823562046268,-0.4848436246992783,0.44,0.5376108142169433
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,ARIH1,57,2000,86,0.9970396302222688,0.9954148780602858,0.4430482027167567,0.4219916033775178,0.52,0.4505106233877359
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,ARL2,70,2000,86,0.9954041773938409,0.9962639747157884,0.5808057818576055,0.5384310580687768,0.36,0.4619645557225795
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,ARMC7,110,2000,86,0.9964160534845738,0.994924288881551,0.5306402562852301,0.5042407660738714,0.4,0.4366562859310572
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,ARPC4,188,2000,86,0.9938430965470593,0.9934336525307796,0.4762948993705133,0.4642954856361149,0.44,0.4426197385189725
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,ATF4,52,2000,86,0.9966577879001066,0.9961130241992547,0.5893549762005288,0.557085509159975,0.52,0.587381674495419
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,ATF5,133,2000,86,0.9877464496630834,0.9823576583801121,0.7594103722390947,0.7608189065521959,0.6,0.6490475080588719
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,ATP1A1,71,2000,86,0.9918454816768172,0.9903580357564036,0.1140951696890317,0.10339166941836879,0.4,0.45856912910117037
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,ATP6AP1,114,2000,86,0.9939286762132287,0.9937921600075474,0.5224157061782632,0.5194678994292183,0.56,0.5728897265077726
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,ATP6V0B,134,2000,86,0.9950375921833732,0.9937732911929807,0.5042845813239422,0.37266852210009904,0.4,0.5185420792180445
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,ATP6V0C,39,2000,86,0.9887117009984369,0.9875277135713948,0.17212432104271008,0.16130006132364733,0.36,0.43504272306605885
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,ATP6V1A,89,2000,86,0.9927491226362735,0.9913203452993066,0.2770339944076255,0.30798622576536633,0.32,0.36952944498745677
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,ATP6V1B2,406,2000,86,0.9939518392031726,0.9924902118024433,0.6395580036058301,0.5830180668899476,0.56,0.6255723799450112
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,ATR,133,2000,86,0.989804978164802,0.9879805651209963,0.6269611492737103,0.578527289023067,0.44,0.513308972265625
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,ATRIP,183,2000,86,0.9892221095482111,0.9878296146044624,0.5966255108263617,0.515996037548941,0.52,0.5523164565592271
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,BANP,101,2000,86,0.9973215266488686,0.9949997641398178,0.1254203465351384,0.08291900561347233,0.48,0.43510672989262605
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,BAP1,190,2000,86,0.9953182333802287,0.9932449643851123,-0.15976393660728846,-0.16499834897872542,0.36,0.39157953756664127
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,BCAS2,197,2000,86,0.9896732281734973,0.9885277607434314,0.7139884973349547,0.6528892872305296,0.56,0.6044701372458092
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,BDP1,277,2000,86,0.9793822699509191,0.9729232510967498,0.720476905611757,0.7009670267465445,0.64,0.6415554845698901
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,BGLAP,236,2000,86,0.9877869489887928,0.986622010472192,0.5599335341285758,0.49922166139912255,0.4,0.5023635696379714
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,BMS1,18,2000,86,0.9890120136986708,0.988263597339497,-0.12723660137325898,-0.04382282183121846,0.28,0.3285345452440871
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,BNIP1,107,2000,86,0.9944341381732235,0.9944903061465162,0.7010764763223001,0.6806075758290486,0.52,0.5682130731977091
