condition,n_true_cells,n_pred_cells,mean_pearson,mean_spearman,delta_pearson,delta_spearman
DDX49,41,2000,0.9906471371650696,0.937899991347721,0.3867398500442505,0.13447722744954396
DDX5,130,2000,0.9907991290092468,0.9587946270218072,-0.11603301763534546,-0.010817158320945944
DDX52,106,2000,0.9926193356513977,0.9653715052068601,0.5760266780853271,0.3537257736229887
DDX54,68,2000,0.9939340353012085,0.9582151281825992,0.4802611172199249,0.3088766834664804
DERL2,122,2000,0.9893664717674255,0.9531356644431769,0.36099815368652344,0.31881120452705414
DHX37,202,2000,0.9916621446609497,0.9668996226119847,0.38106387853622437,0.2037763864230554
DLD,283,2000,0.9823336601257324,0.9263193197470044,0.06985147297382355,-0.00036680363067214517
DNAJC8,260,2000,0.9935519099235535,0.967217194727901,0.08152802288532257,0.050088477061943325
DNTTIP2,235,2000,0.9895416498184204,0.9680628050962128,0.5959891080856323,0.39918572278342884
DONSON,688,2000,0.9903449416160583,0.9651231912840906,0.1744980365037918,0.0661922303596892
DPH2,161,2000,0.9912900924682617,0.9615381096615243,-0.053752824664115906,-0.04252211224692555
DYNC1H1,217,2000,0.9946639537811279,0.9686482358251769,0.39296573400497437,0.2674992096568083
DYNLRB1,192,2000,0.9939970374107361,0.967753703254148,0.39700499176979065,0.2696037513635616
E4F1,130,2000,0.9836608171463013,0.9456188187821424,-0.2594222128391266,-0.14475637813320338
EBNA1BP2,68,2000,0.9885659217834473,0.9552014219520567,0.4440593123435974,0.3719478768548418
ECD,69,2000,0.9846461415290833,0.936139938959467,0.10288137197494507,0.10373312733581469
EIF2B3,96,2000,0.9904904961585999,0.957162079374483,0.6819413304328918,0.5274505781540231
EIF2S1,208,2000,0.950685977935791,0.8825549905393808,0.22049540281295776,0.17384393716592975
EIF3E,171,2000,0.9823081493377686,0.9435520370060814,0.15001195669174194,0.12866841486491268
EIF3F,36,2000,0.9886437058448792,0.9244401098281556,0.20860369503498077,0.1412094630185456
EIF3G,52,2000,0.9845338463783264,0.9327171806206133,0.35343170166015625,0.24559757183569153
EIF3J,72,2000,0.9897348880767822,0.9452782686085043,0.17912116646766663,0.10165676615115019
EIF3M,209,2000,0.9800390005111694,0.9434374455454977,-0.05791737884283066,0.05063649744945988
EIF5A,100,2000,0.9883936643600464,0.9463602873904114,0.09994539618492126,0.0717377294826743
ELP5,167,2000,0.9903757572174072,0.9619788738071549,-0.17471814155578613,-0.06338725972101168
EXOC7,32,2000,0.9868456125259399,0.910619194094756,0.20040582120418549,0.12806232873171364
EXOSC10,77,2000,0.9946622848510742,0.9600658342106332,0.5207709074020386,0.22247561666436408
EXOSC2,209,2000,0.981653094291687,0.9366521270405648,0.5583212375640869,0.3361095349245813
FAM50A,38,2000,0.9848038554191589,0.9188031094498537,0.465202659368515,0.3930198700567948
FASTKD5,182,2000,0.9905827641487122,0.9673591796455838,0.06709024310112,-0.006452277234400798
FCF1,225,2000,0.9928692579269409,0.9732206613595409,0.6586606502532959,0.4501548394729973
FTSJ3,153,2000,0.9822252988815308,0.9422720136561094,0.13752394914627075,0.06442236608244079
GFER,198,2000,0.9906234741210938,0.9632703769539336,-0.12309405952692032,-0.02430761530947137
GFM1,230,2000,0.992214024066925,0.9709741789029671,-0.05794651433825493,0.02330868885290696
GNL3,29,2000,0.9908869862556458,0.9342884085555632,0.6396476030349731,0.45458889720246604
GNL3L,66,2000,0.9933987855911255,0.9569100987564038,0.5290547609329224,0.3673949859967043
GPKOW,105,2000,0.9895226955413818,0.9482928391797134,0.20310944318771362,0.16230670437595424
GRPEL1,96,2000,0.9922317266464233,0.9582506502980258,0.6420960426330566,0.43832629206105167
GTF2E1,176,2000,0.9917443990707397,0.9650340353373614,0.12661151587963104,0.035682768421023504
GTF2E2,69,2000,0.9913668632507324,0.9489037119721483,0.41856497526168823,0.25025832614035165
HAUS5,153,2000,0.9891088008880615,0.9478623618412432,0.39093488454818726,0.26204459322065093
HEATR1,216,2000,0.9890927076339722,0.9619338451013536,0.6199390292167664,0.4410914414514162
HGS,96,2000,0.9847665429115295,0.9403590967249326,0.14115874469280243,0.14319809637823414
HIRA,228,2000,0.9939097166061401,0.9706455532258219,0.10739822685718536,0.07627375975495038
HNRNPH1,92,2000,0.9898673892021179,0.9455525765967964,0.1463315188884735,0.06728852659554105
HNRNPM,128,2000,0.9915733337402344,0.9542357134883303,0.06268443167209625,0.06902110049050053
HNRNPU,73,2000,0.9894652366638184,0.9446308328225758,0.12346561253070831,0.08293074139922
HSCB,85,2000,0.9943187832832336,0.9581903384626103,0.1862817108631134,0.10810717935088174
HSD17B12,135,2000,0.9792273640632629,0.9346310335132413,-0.13676615059375763,-0.11574638546741126
HSPA8,146,2000,0.9774733781814575,0.9351115135037885,0.31215259432792664,0.27886948965077957
HSPE1,25,2000,0.9671560525894165,0.8898894423587592,-0.21767044067382812,-0.013250919410036775
IGBP1,245,2000,0.9902247190475464,0.9582084460313348,0.1449446827173233,0.0890403388981614
ISCU,32,2000,0.9817960262298584,0.8977254382813491,0.12561306357383728,0.07065605932902538
KRI1,51,2000,0.994127631187439,0.9529743642950742,0.7654356956481934,0.46757853102480684
LSM4,68,2000,0.9903466701507568,0.9446950920091493,0.5978279113769531,0.5049809412033572
MAGOH,149,2000,0.9850616455078125,0.9548537742581508,-0.018366245552897453,0.039159104672243816
MCM10,190,2000,0.989728569984436,0.9618992644599703,0.2697899341583252,0.17714366666974665
MCM3AP,100,2000,0.9920637011528015,0.9575449850127805,0.30326783657073975,0.2032243379453604
MDN1,68,2000,0.9875730276107788,0.9374465120003592,0.12804482877254486,0.04212454939900395
MED20,78,2000,0.9864979982376099,0.9432747217922659,0.5191582441329956,0.2876852587074103
MED26,99,2000,0.9930176138877869,0.9600094519683778,0.29032400250434875,0.14712478664405343
MED31,35,2000,0.9871886372566223,0.921134445698237,0.2736271023750305,0.07961802817863196
MED8,94,2000,0.9921488165855408,0.9562297910811915,0.7898482084274292,0.5653567283238378
MFAP1,164,2000,0.9864259958267212,0.937115832691124,0.3819712996482849,0.33519598475988405
MRPL18,128,2000,0.9917615056037903,0.9618336863044316,0.1709168553352356,0.14077452453373815
MRPL3,146,2000,0.9922736883163452,0.9648486172571011,-0.05529096722602844,-0.006484149427677217
MRPL32,62,2000,0.9906660914421082,0.9493250558930022,-0.10930243879556656,-0.05715232923009316
MRPL38,132,2000,0.9939775466918945,0.9625933845197353,0.14374837279319763,0.05747230794827165
MRPL4,109,2000,0.9920570850372314,0.9571135391805414,0.0815686360001564,0.04721241064389572
