model,condition,n_test_cells,n_pred_cells,pra_all_genes,pra_top100_true_de,pra_nonzero_genes,true_range_mean,pred_range_mean,range_width_ratio
Scouter_GenePTv1_official40_fixed2000,SNRNP200,92,2000,0.08080943965956068,0.153765086139056,0.08080943965956068,0.444089154725969,0.04486127870320344,0.1010186292901014
Scouter_GenePTv1_official40_fixed2000,NUDC,106,2000,0.0889459565323742,0.16228053376141205,0.0889459565323742,0.40351078696548937,0.043094906690421056,0.10679988494609424
Scouter_GenePTv1_official40_fixed2000,PCF11,393,2000,0.0796062117101514,0.13861138405461398,0.07962213613737888,0.42466914366424097,0.04272604165879545,0.10061018392820738
Scouter_GenePTv1_official40_fixed2000,PSMA3,194,2000,0.09026462402493499,0.170740784272041,0.0902826805610472,0.4287904135641457,0.046451027846043,0.10833037608428321
Scouter_GenePTv1_official40_fixed2000,RPS26,73,2000,0.0851976541163958,0.18454139201288305,0.08521469705580695,0.43635624497950076,0.04260393806389767,0.09763567630283913
Scouter_GenePTv1_official40_fixed2000,GRPEL1,96,2000,0.08428495511269134,0.1654068258501539,0.08428495511269134,0.42280182600915434,0.04248714013382211,0.10048948825497106
Scouter_GenePTv1_official40_fixed2000,PHF5A,197,2000,0.09096523829389098,0.1813663897597165,0.09096523829389098,0.4156125013226272,0.04448929368034937,0.10704512609297678
Scouter_GenePTv1_official40_fixed2000,ZNHIT6,116,2000,0.09373331962482338,0.19042759032575077,0.09373331962482338,0.40017355703115465,0.043414044120977636,0.10848803543687764
Scouter_GenePTv1_official40_fixed2000,SRBD1,143,2000,0.09707943567584135,0.1664100139039611,0.09707943567584135,0.40210668924808496,0.04213880854581483,0.10479509201068234
Scouter_GenePTv1_official40_fixed2000,MFAP1,164,2000,0.08041063190179175,0.1445571791074442,0.08041063190179175,0.44429291168153306,0.04332047075064388,0.0975043009613729
Scouter_GenePTv1_official40_fixed2000,RPS19,410,2000,0.08616354141583502,0.18849570843080987,0.08616354141583502,0.4482168412372471,0.04319451420127444,0.09636967927921794
Scouter_GenePTv1_official40_fixed2000,ARGLU1,367,2000,0.0891050794943116,0.1592879000351087,0.0891050794943116,0.3896749870151283,0.04003220518159448,0.10273229098155433
Scouter_GenePTv1_official40_fixed2000,GTF2E2,69,2000,0.08863580366496746,0.17545136241470302,0.08865353437184183,0.4099177398693562,0.04205109007256106,0.10258421375010732
Scouter_GenePTv1_official40_fixed2000,DYNLRB1,192,2000,0.0900966081654709,0.16134180435618398,0.09011463109168921,0.41925717369586235,0.04369966795435874,0.10423117278309861
Scouter_GenePTv1_official40_fixed2000,TSR2,486,2000,0.07946361874779544,0.10114071187536056,0.07946361874779544,0.4412906879067421,0.04082744616200799,0.0925182569124447
Scouter_GenePTv1_official40_fixed2000,COG2,332,2000,0.08875987198769293,0.14690039772325003,0.08877762751319555,0.3958159868058564,0.040558152195522564,0.10246718809451229
Scouter_GenePTv1_official40_fixed2000,SFPQ,185,2000,0.07373616908219999,0.11212907845401605,0.07373616908219999,0.418454413588643,0.04413015932573938,0.10545989440685433
Scouter_GenePTv1_official40_fixed2000,MRPL18,128,2000,0.08892263161685544,0.17983911952675957,0.08892263161685544,0.38681069228515025,0.04085011963199824,0.10560752169127997
Scouter_GenePTv1_official40_fixed2000,NAA15,107,2000,0.0846836073891847,0.16334526378204875,0.0846836073891847,0.4090786804240943,0.04061516610949999,0.09928448257080809
Scouter_GenePTv1_official40_fixed2000,DONSON,688,2000,0.08826181305050519,0.12038835883855561,0.08826181305050519,0.40910893021762385,0.04231998513412895,0.10344429313037501
Scouter_GenePTv1_official40_fixed2000,RARS2,139,2000,0.08958780277008929,0.16059363472459734,0.08960572391487227,0.3878871930593253,0.04067679792657961,0.10486759451138251
Scouter_GenePTv1_official40_fixed2000,RPF1,108,2000,0.09424254324712888,0.18335825057399432,0.09424254324712888,0.3953925149862468,0.04206835434564157,0.10639643313212577
Scouter_GenePTv1_official40_fixed2000,ZBTB17,158,2000,0.0879765466509973,0.15807390544898137,0.08799414548009331,0.40444411405295144,0.041980367333260375,0.10379769376440276
Scouter_GenePTv1_official40_fixed2000,DPH2,161,2000,0.09119812146277398,0.16577325804673063,0.09119812146277398,0.3851872683763504,0.04230131392660318,0.10982012205832077
Scouter_GenePTv1_official40_fixed2000,TAF10,38,2000,0.08277981794838121,0.18967451776555191,0.08321252306833657,0.43234997107416423,0.04277124271071983,0.09892736112640875
Scouter_GenePTv1_official40_fixed2000,XPO1,139,2000,0.07923077295267478,0.1483151841823011,0.07923077295267478,0.4357036053001881,0.042844210148472346,0.09833338224415199
Scouter_GenePTv1_official40_fixed2000,NUP54,266,2000,0.08873890442149172,0.18056068459129154,0.08873890442149172,0.40148584032952783,0.04227535457572901,0.10529724656804376
Scouter_GenePTv1_official40_fixed2000,SSRP1,440,2000,0.07914795568587243,0.1456453417886952,0.07914795568587243,0.4384930168442429,0.043646290033080154,0.0995370219389686
Scouter_GenePTv1_official40_fixed2000,SON,238,2000,0.07916582343700007,0.10319453750656157,0.07916582343700007,0.45008554987072946,0.04214051592647099,0.09362778921095426
Scouter_GenePTv1_official40_fixed2000,BGLAP,236,2000,0.08356340731354023,0.13642571124498035,0.08356340731354023,0.42116946936249733,0.040142771749430116,0.0953126323640359
Scouter_GenePTv1_official40_fixed2000,PSMD7,175,2000,0.07969953983262851,0.16831571394524678,0.07969953983262851,0.4897535171383619,0.04884457959123888,0.09973298176460021
Scouter_GenePTv1_official40_fixed2000,SUGT1,94,2000,0.1010866505084377,0.16328068810466678,0.1010866505084377,0.378224865693152,0.0446591721439641,0.11807571371956878
Scouter_GenePTv1_official40_fixed2000,CENPE,171,2000,0.09489099347629908,0.16459868845560904,0.09490997547139333,0.4030740082383156,0.04380457106548595,0.1086762457598711
Scouter_GenePTv1_official40_fixed2000,MZT1,381,2000,0.09204396227274533,0.16489710980239852,0.09204396227274533,0.3956963139593601,0.04158769812163082,0.10510003657729729
Scouter_GenePTv1_official40_fixed2000,NFRKB,223,2000,0.08616123970307776,0.1637628961036407,0.08616123970307776,0.4081166417750716,0.04189346822143067,0.10265072017820956
Scouter_GenePTv1_official40_fixed2000,RPS14,156,2000,0.09015387403389767,0.18505979078434895,0.09015387403389767,0.4271428500935435,0.043176883763014345,0.10108300476697347
Scouter_GenePTv1_official40_fixed2000,SNRPG,325,2000,0.08915946175881015,0.16368790635523145,0.08915946175881015,0.42952218293607247,0.04417770846859087,0.10285314518117582
Scouter_GenePTv1_official40_fixed2000,MRPL38,132,2000,0.08404990937125623,0.16048321235484866,0.08404990937125623,0.39006533675611027,0.03945676550171804,0.10115424461529653
Scouter_GenePTv1_official40_fixed2000,MAGOH,149,2000,0.09115453442852586,0.1470640629153785,0.09115453442852586,0.413182499676347,0.04293710878661369,0.10391802116756363
Scouter_GenePTv1_official40_fixed2000,DNTTIP2,235,2000,0.08379277046738384,0.11553932097186881,0.08379277046738384,0.43496005176007746,0.04229315115461127,0.09723456214225948
Scouter_GenePTv1_official40_fixed2000,U2AF1,141,2000,0.08928740082316212,0.15348409670124033,0.08928740082316212,0.420098631221056,0.04433942008193583,0.10554525944920735
Scouter_GenePTv1_official40_fixed2000,NOL6,107,2000,0.08946742704050913,0.20103162821780585,0.08946742704050913,0.4252839975506068,0.04308256319222041,0.1013030408558069
Scouter_GenePTv1_official40_fixed2000,SF3A2,236,2000,0.09281785452119576,0.16585195274737552,0.09281785452119576,0.42184059628397225,0.0452685770797066,0.10731204252355203
Scouter_GenePTv1_official40_fixed2000,TXN,81,2000,0.09520592871168576,0.1728859574877818,0.09520592871168576,0.3783483798742294,0.0408455861608917,0.10795760535539636
Scouter_GenePTv1_official40_fixed2000,ORC5,89,2000,0.09442817543690253,0.15711011643059158,0.0944470648498725,0.3805908186483384,0.04185818794249558,0.10998212461176271
Scouter_GenePTv1_official40_fixed2000,DDX49,41,2000,0.08313237100899601,0.19564190325025288,0.08338251856469008,0.38321426654458046,0.041768870845539506,0.10899612410624897
Scouter_GenePTv1_official40_fixed2000,ANKRD11,184,2000,0.0989319402643679,0.17713477704707623,0.09895173061049001,0.354242490489781,0.04121637250134722,0.1163507270989812
Scouter_GenePTv1_official40_fixed2000,CCDC86,235,2000,0.09481716055957613,0.18526175527712688,0.09483612778513316,0.3874881085300445,0.04166307903854875,0.10752092011646633
Scouter_GenePTv1_official40_fixed2000,RPS21,63,2000,0.08761929161822436,0.20751737728617356,0.08765435335956821,0.4056592321473361,0.043094200371719196,0.1062325121538025
Scouter_GenePTv1_official40_fixed2000,POLE,154,2000,0.09190562264227156,0.15203609567990925,0.09190562264227156,0.4110071186682584,0.04222392307780916,0.10273282415957781
Scouter_GenePTv1_official40_fixed2000,TRMT10C,67,2000,0.09269726265998815,0.17202246422409226,0.09273435640254916,0.37729951485425234,0.040350350682408324,0.10694514046365505
Scouter_GenePTv1_official40_fixed2000,VPS29,146,2000,0.0881052854231781,0.1585409600420563,0.08812291000517912,0.3999026525333524,0.044409099573164725,0.11104977219165414
Scouter_GenePTv1_official40_fixed2000,CWC15,144,2000,0.09193301969949737,0.13629631497333075,0.09195140998149366,0.3813647463910284,0.044224909112732864,0.11596485614257263
Scouter_GenePTv1_official40_fixed2000,CHMP6,620,2000,0.09710217697848701,0.16842603818106267,0.09712160129874675,0.4110805049903692,0.04608882781448309,0.11211630358000028
Scouter_GenePTv1_official40_fixed2000,RBX1,41,2000,0.08415985289031438,0.14935599164457977,0.08437923891148423,0.3988739547789097,0.04228257763138041,0.10600485708516237
Scouter_GenePTv1_official40_fixed2000,BRIX1,95,2000,0.07678686666573735,0.14348464091135885,0.07678686666573735,0.4378607983720304,0.040875824581392814,0.09335346712890204
Scouter_GenePTv1_official40_fixed2000,PTCD1,246,2000,0.09272626774745109,0.15411839694119633,0.09272626774745109,0.38484603805541995,0.042988993939915676,0.11170439233333383
Scouter_GenePTv1_official40_fixed2000,HIRA,228,2000,0.09754953108837959,0.1724839194417461,0.09754953108837959,0.38433348453447236,0.042942272318415346,0.11173179785027476
Scouter_GenePTv1_official40_fixed2000,POP4,116,2000,0.088500785903625,0.18999115193627308,0.088500785903625,0.4057025203838944,0.041718841735981414,0.10283111050972525
Scouter_GenePTv1_official40_fixed2000,DYNC1H1,217,2000,0.09145316664749115,0.1529930017841868,0.0914714609396791,0.4235296136718989,0.04297898767483422,0.10147811457016122
Scouter_GenePTv1_official40_fixed2000,POLR3B,109,2000,0.08889707058776022,0.17865384779834415,0.08889707058776022,0.3976063604837657,0.04307452967274003,0.1083346064609867
Scouter_GenePTv1_official40_fixed2000,DNAJC8,260,2000,0.09471471005567543,0.1531051617824265,0.09471471005567543,0.3950580470976233,0.04580170719758143,0.11593664873986688
Scouter_GenePTv1_official40_fixed2000,QARS,376,2000,0.07644331849552245,0.15336912810241593,0.07645861021756598,0.43227349219173195,0.040614048153376214,0.09395451709959805
