gene_rank,mean_delta_vs_control,q10_vs_control,q90_vs_control,min_vs_control,max_vs_control,abs_mean_delta
22,0.26337855389764536,-0.06619436102889077,0.5948615964037267,-1.2903158852708838,0.9523196469580582,0.26337855389764536
23,0.25903991816105704,-0.11010941570660272,0.5923684052918736,-0.5123817753946014,1.7222425397742696,0.25903991816105704
24,0.25608890231978926,-0.18218412089037458,0.607924593096543,-0.891458220962202,1.4205416931013608,0.25608890231978926
25,0.2559105868533801,-0.08194824212707696,0.6545150827001099,-1.1800320892164884,1.6727510077990277,0.2559105868533801
26,-0.24667357409137897,-0.5957359896590748,0.1399320357725591,-1.0321069066464967,1.5176541945112532,0.24667357409137897
27,-0.2450826478755718,-0.6109630240807704,0.1346619078562266,-1.945792965356497,1.9187417990856215,0.2450826478755718
28,-0.24259330374778273,-0.6196312129549082,0.1014798587430977,-1.323181737600562,1.4029828808449414,0.24259330374778273
29,-0.23986151423522528,-0.573678289490804,0.10863042911929276,-2.536018091449774,0.6055905968076173,0.23986151423522528
30,-0.2387625992728767,-0.5997912629749367,0.1299312420974666,-1.4512860644149073,0.7401856455227849,0.2387625992728767
31,0.23741591366557507,-0.1237246394751044,0.6519906763722596,-0.9997844115272027,1.631829478300714,0.23741591366557507
32,-0.23568054198562047,-0.6125353323909281,0.22209746386882073,-2.0521035611609557,1.0015984680479655,0.23568054198562047
33,-0.23052802669289954,-0.5636631804977397,0.15794446668844977,-1.2346897473860075,0.6613380457476699,0.23052802669289954
34,0.22950513943638312,-0.14983418211894597,0.5975724162490624,-2.11043594717008,1.5930345317176617,0.22950513943638312
35,-0.2285597592225674,-0.6335936646332848,0.20729497813974407,-1.8277737419250497,1.3380849297059183,0.2285597592225674
36,-0.2229700864891539,-0.5414699816947747,0.11110182833132867,-0.9588031596282114,1.080741677162739,0.2229700864891539
37,-0.22010391117673836,-0.6030571143967972,0.10636478897187712,-1.2721533740713498,1.807600596474973,0.22010391117673836
38,-0.21235149408472548,-0.5535182397669689,0.07490717656486628,-0.9563073221500359,1.261297589588064,0.21235149408472548
39,-0.20977415002132885,-0.6380350913176924,0.15938899015016433,-0.863221247015026,0.9586872014970111,0.20977415002132885
40,-0.20852917689036785,-0.5652686523493912,0.13066774678033355,-1.109468393354416,0.46430407195606727,0.20852917689036785
41,0.20718991369416698,-0.2529319924044558,0.626504588995231,-1.0295618104889246,1.5799808383116745,0.20718991369416698
42,-0.20636976555218745,-0.561635889986994,0.1662282724872105,-1.4066342460110164,0.9398415972426872,0.20636976555218745
43,0.2013918378924068,-0.15647879166604492,0.48295634832511153,-0.7132610059434152,1.5167028939666218,0.2013918378924068
44,-0.20119256808950164,-0.5305268975031527,0.20846632197427425,-1.8747073580335134,1.093806927441252,0.20119256808950164
45,0.2007933653757656,-0.16359010223174694,0.5276719541061301,-0.7210039180937735,2.099082796237696,0.2007933653757656
46,-0.19897681454388608,-0.4989119739185723,0.15599022165726031,-1.5079305868704829,0.6870402858153796,0.19897681454388608
47,-0.19360716816072188,-0.5592519927248315,0.1626801560863839,-1.063118580326354,0.5613616134915516,0.19360716816072188
48,-0.19183920407364338,-0.48363445624568907,0.13830076061183555,-1.9461909256723078,0.4545898087409259,0.19183920407364338
49,-0.1886127352321067,-0.607044545173274,0.12789487102267755,-1.4093687113094158,1.0819562566265062,0.1886127352321067
50,-0.18430681710967017,-0.5308750589775265,0.2111091785513915,-0.8442611362099651,0.9364039156011909,0.18430681710967017
51,0.17803289785764748,-0.1724399682054885,0.482298176006315,-0.581503994607796,1.0271579864894975,0.17803289785764748
52,-0.1738321026154693,-0.5138235548364596,0.13823800522436455,-1.3408341291745054,0.897172935513384,0.1738321026154693
53,-0.1729951353115597,-0.5197378317689266,0.2398928063665931,-1.4358253659034708,1.8280682081359725,0.1729951353115597
54,0.17161876151511066,-0.16249519696784648,0.4838793649854298,-1.232435073479136,0.7926755094845421,0.17161876151511066
55,0.1716139816884604,-0.09982677627150457,0.521883520663559,-1.070363101384041,1.3664273229481312,0.1716139816884604
56,0.16932594794623462,-0.14634187961610856,0.49319602597163825,-1.1546722155990186,1.825558129433468,0.16932594794623462
57,-0.16829808137292127,-0.6120888212747921,0.15593328923318692,-0.9136268281432176,1.635839845940139,0.16829808137292127
58,0.168245303251636,-0.09798448779032137,0.4527218046362305,-0.9261153906094536,1.271536656061125,0.168245303251636
59,-0.16556036447549732,-0.5425206830932892,0.1591332819238436,-1.321667297787934,0.8116326724146448,0.16556036447549732
60,-0.15556331060035966,-0.45796840368928426,0.1281235557270626,-1.5879952307161547,1.301732094982436,0.15556331060035966
61,-0.15437306977573534,-0.46116385716364583,0.20157442635052733,-1.7085489746406857,0.6690160720864019,0.15437306977573534
62,-0.15211990435375794,-0.4884070301534283,0.1444109810824473,-1.3179087714934856,1.3687643262284863,0.15211990435375794
63,-0.15197717307246805,-0.538975262272935,0.17149196560576302,-1.0724883099371376,1.0979790893444723,0.15197717307246805
64,-0.14920977676735195,-0.4190070355531534,0.1695234820306993,-1.8430968785211237,0.7111731189138228,0.14920977676735195
65,-0.14769294290514298,-0.49419163780014946,0.2185776996906611,-1.691667063803167,0.5450170588838528,0.14769294290514298
66,-0.1467211215613604,-0.4793164217688045,0.26361264574654625,-0.9284340075713794,0.7232242109616799,0.1467211215613604
67,-0.14379412327749522,-0.5287276553347943,0.2484086227389923,-2.8186484835780443,1.4441516578292848,0.14379412327749522
68,0.14085678877087157,-0.253215892175632,0.4743860271001325,-1.2732395128125633,1.5692682453900528,0.14085678877087157
69,-0.1407658317483174,-0.42040373670516756,0.13797854152039626,-1.4846878901497618,0.3941171252836112,0.1407658317483174
70,0.13985732697443665,-0.19838925361379223,0.4829804475586905,-0.7331905012981415,1.162349301537334,0.13985732697443665
71,0.1390897761780564,-0.237789028895084,0.5318656177422711,-1.3657418370483783,1.5425483227930794,0.1390897761780564
72,-0.13798958366259778,-0.49783920321697256,0.23641500287472828,-2.723343707309441,0.7365351578620741,0.13798958366259778
73,0.13792716812083583,-0.26404308446374347,0.4838897795346092,-0.6138227996282014,1.9905402965229793,0.13792716812083583
74,0.13683835454909207,-0.16090586542110638,0.4257364742026942,-0.5537878067897075,1.4217062128023161,0.13683835454909207
75,-0.13627379578278373,-0.4830603748808473,0.16445065028426134,-1.728673508177874,1.014270453537385,0.13627379578278373
76,0.1338170947530445,-0.19275085752004062,0.41700186432086567,-0.5056188908554234,0.8054873907179052,0.1338170947530445
