rank,gene,mean_delta_vs_control,q10_delta_vs_control,q90_delta_vs_control,min_delta_vs_control,max_delta_vs_control,abs_mean_delta_rank_value
27,GTF3A,-0.5542302345241211,-1.3513735117510361,0.10428990701880025,-1.3513735117510361,0.6509925542279678,0.5542302345241211
28,SRSF2,-0.5350796343544885,-1.4235436256176421,0.20210372850833438,-1.4235436256176421,0.9921770756000092,0.5350796343544885
29,ITGB1,0.5344876510338058,-0.7252514407946113,1.759140701501226,-1.1835367009951119,2.335899896828985,0.5344876510338058
30,HIST1H4C,-0.5334530139771833,-1.6365081394714032,0.9809321319061604,-1.6365081394714032,1.9388838683563556,0.5334530139771833
31,SMC2,-0.5330101746205311,-0.8926159334240952,0.1973943757952651,-0.8926159334240952,0.9280521678866348,0.5330101746205311
32,CDK6,-0.5281617932586974,-1.1537410776843882,0.21147861073113874,-1.1537410776843882,1.1751561600933218,0.5281617932586974
33,H2AFV,-0.527070128246332,-1.3810093325935042,0.13311489397662488,-1.3810093325935042,0.6994829254783952,0.527070128246332
34,CST3,0.5152356656356168,-0.5202019765035228,1.9661501453264634,-0.9808071090833264,2.692476944719164,0.5152356656356168
35,RANBP1,-0.5061200814310756,-2.0060483612259974,1.2870144210616001,-2.256775061055099,1.79121478422078,0.5061200814310756
36,RNASEH2B,-0.5056746716509969,-0.8526861487919307,0.07227426180300917,-0.8526861487919307,0.883270520061829,0.5056746716509969
37,DCBLD2,0.5038312625040599,-0.7250409023387061,1.8492594821827781,-0.7250409023387061,2.3540339572804347,0.5038312625040599
38,NUCKS1,-0.4995140846612833,-1.6104213267009286,0.2609605759937735,-1.6104213267009286,0.9737719029743643,0.4995140846612833
39,SEPTIN6,-0.4983417483980976,-0.7375220875909818,0.11218723247737752,-0.7375220875909818,0.9409377951452242,0.4983417483980976
40,FABP5,-0.4965440761441982,-1.3960618851579165,0.25356436987748354,-1.3960618851579165,0.9881882788740659,0.4965440761441982
41,HIST1H1B,-0.49616070352404507,-0.6637714183569853,0.04353330967417313,-0.6637714183569853,1.5041939937829074,0.49616070352404507
42,TOP2A,-0.4938365763295584,-0.9210103273049299,0.6719512939795549,-0.9210103273049299,1.7383939504965837,0.4938365763295584
43,SQSTM1,0.4932075229057686,-0.7750967080951817,1.375072139942538,-0.7750967080951817,2.4151827756999844,0.4932075229057686
44,FDPS,-0.4828521867173731,-1.1012816839392852,0.17960653970878593,-1.1012816839392852,1.371576745015793,0.4828521867173731
45,RRM2,-0.48223065055413605,-0.7622570160958527,0.28666471203830246,-0.7622570160958527,1.2772379752066376,0.48223065055413605
46,IDH2,-0.47716310384304533,-0.7843721006034694,0.08504888080369603,-0.7843721006034694,0.6084071304680028,0.47716310384304533
47,HNRNPC,-0.475423754122413,-1.2426371837825012,0.25581485975082385,-1.9595176006526185,0.9098066066532897,0.475423754122413
48,DST,0.47387082245666357,-0.7443432419940489,1.6638681322887878,-0.7443432419940489,2.206997194941376,0.47387082245666357
49,NASP,-0.4730049172171245,-1.4867391267160521,0.7025292238851442,-1.4867391267160521,1.3283579668661012,0.4730049172171245
50,PPM1G,-0.4719703189827851,-1.4019926375620182,0.23544709022118493,-1.4019926375620182,0.7235390358693783,0.4719703189827851
51,ANP32B,-0.47128458880114216,-1.360174746445947,0.5178910422999329,-2.030456192426019,1.1896685291010805,0.47128458880114216
52,SUPT16H,-0.4710958330269841,-1.2066854701737828,0.3994490875502162,-1.2066854701737828,1.1091461910505824,0.4710958330269841
53,DEK,-0.46868241897268315,-1.5231498177303722,0.3303547446475575,-1.5231498177303722,1.3285123412356923,0.46868241897268315
54,RAN,-0.468110366076122,-1.018011275803953,0.09019552084216513,-2.618044702088743,0.5405775627733176,0.468110366076122
55,HNRNPD,-0.46757072100240393,-1.2558261039947072,0.36778907745136813,-1.7761307242606679,1.2086348053719005,0.46757072100240393
56,PCLAF,-0.4666753040943257,-1.1939148091777567,0.42094467644846384,-1.1939148091777567,1.2784717894092794,0.4666753040943257
57,MALAT1,0.4642967076950903,-0.458991753070363,1.284268868954173,-2.057473789660939,2.031116593868724,0.4642967076950903
58,ALYREF,-0.46332696449087357,-1.1778208417844822,0.3303921775865505,-1.1778208417844822,0.7906616525697658,0.46332696449087357
59,SRSF3,-0.4625863118472958,-1.7162432594407675,0.30713744925369013,-1.7162432594407675,0.9895176963697794,0.4625863118472958
60,PABPC4,-0.4615925743217328,-0.8574933613056609,0.12795899264865424,-0.8574933613056609,0.878399053741031,0.4615925743217328
61,XRCC5,-0.4573613682581847,-1.2246109567191672,0.1458490290138649,-1.860017784645803,0.7814340509865212,0.4573613682581847
62,PCNA,-0.4518963444883384,-0.9745161036760677,0.28957095343757955,-0.9745161036760677,1.5168085594861638,0.4518963444883384
63,FUS,-0.44984424286882224,-1.5194117230023976,0.30756777109245104,-1.5194117230023976,0.8761006194506054,0.44984424286882224
64,MCM7,-0.44920500736410746,-0.8806595202364654,0.3387827757916717,-0.8806595202364654,0.9771216515622406,0.44920500736410746
65,KPNA2,-0.44768767704477336,-0.9990613905589547,0.4501377614338431,-0.9990613905589547,1.5916044267017875,0.44768767704477336
66,SNRPD1,-0.44472334293701865,-1.5988749324834075,0.36378771667125553,-1.5988749324834075,1.089924448772696,0.44472334293701865
67,ANXA5,0.4379435837521861,-0.9404449501409546,1.4093580207452758,-0.9404449501409546,2.090590949975012,0.4379435837521861
68,SOX4,-0.4362973077172628,-0.9439441220435119,0.3977451546517396,-0.9439441220435119,2.0675691111413026,0.4362973077172628
69,ANP32E,-0.436240316545853,-1.0099031755929704,0.4085732867712264,-1.0099031755929704,0.956900494336534,0.436240316545853
70,DNAJC9,-0.43603628712003506,-0.8886434383012167,0.2208160334013589,-0.8886434383012167,1.0378075294874796,0.43603628712003506
71,USP1,-0.4320356193360424,-0.7343713574108608,0.24121114686159992,-0.7343713574108608,0.9097070164981358,0.4320356193360424
72,HNRNPA2B1,-0.4279080903450148,-1.1391527565741895,0.28640280639883287,-2.5560119541907667,0.65053721344229,0.4279080903450148
73,PSIP1,-0.4264929703561142,-0.8099622668608781,0.17391956430825015,-0.8099622668608781,1.1687796173706892,0.4264929703561142
74,HNRNPU,-0.4260471364497261,-1.3569357470071712,0.3933686419927676,-2.1085902527368465,1.0151506587469181,0.4260471364497261
75,DANCR,0.42506149071572746,-0.4742979982537539,1.1509154340582577,-1.2015312650841983,1.8477655908423154,0.42506149071572746
76,PRKDC,-0.4250055759506166,-1.199717785821904,0.3725058536663161,-1.6131312866077316,0.9077563266887771,0.4250055759506166
77,PSMA6,-0.4249751479262756,-1.5921951231601275,0.33465884355282405,-1.5921951231601275,0.9385546746609175,0.4249751479262756
78,PSAP,0.42492225419855545,-0.7105843591177188,1.3880841923272884,-1.100004796930524,2.042185659459857,0.42492225419855545
79,APLP2,0.42362329234807933,-0.41413199100840764,1.1481745323146513,-0.9466791549717255,1.9369670947993927,0.42362329234807933
80,PAICS,-0.42170555212267047,-1.303567345307413,0.3458018944997158,-1.303567345307413,1.3075547860402432,0.42170555212267047
81,SFPQ,-0.42144746736445116,-1.2407682284223887,0.46082865153671787,-1.7126471384870858,1.0091369763505607,0.42144746736445116
82,CENPW,-0.42109235388512306,-0.7642915418652394,0.3024859735461374,-0.7642915418652394,0.8300235101672313,0.42109235388512306
83,TPX2,-0.42020497842428695,-1.035495666889613,0.6155256706195422,-1.035495666889613,1.4016548114734242,0.42020497842428695
84,CCT5,-0.4191944026754092,-1.3287436486949384,0.4455840347538531,-1.8342678310145795,0.7961130378971637,0.4191944026754092
85,BTG1,0.4170680682058241,-0.6347219616655995,1.1098098605389903,-0.6347219616655995,2.2122817366833996,0.4170680682058241
86,USP14,-0.4103783996910465,-1.039502906420367,0.15020878352866862,-1.039502906420367,0.9579746250127386,0.4103783996910465
87,HNRNPAB,-0.40845763495518683,-1.5537698550062529,0.43147077132889106,-1.5537698550062529,1.4285311417741426,0.40845763495518683
88,ZFAS1,0.4025881532835221,-0.2785638707618246,1.0462208134193887,-1.0066331523398886,2.1340388161201944,0.4025881532835221
89,SSRP1,-0.40151603060583707,-1.1234715241323892,0.36222970305572094,-1.1234715241323892,0.9071748000253257,0.40151603060583707
90,LMNB1,-0.39922654301164034,-0.7109288718934247,0.41316270563648244,-0.7109288718934247,1.1400810930495076,0.39922654301164034
91,DDX39A,-0.39811968084694516,-0.752058826264607,0.28913833064152095,-0.752058826264607,0.8976506368548999,0.39811968084694516
92,SLTM,-0.3936418685358104,-0.7146566123283946,0.21897042090524796,-0.7146566123283946,1.067289808341161,0.3936418685358104
93,MCM3,-0.39197451445961795,-0.9669507940678734,0.5637388030619481,-0.9669507940678734,1.6160958806605201,0.39197451445961795
94,LBR,-0.39174402454924867,-0.8037864670052803,0.3496139302954398,-0.8037864670052803,1.007829238484832,0.39174402454924867
95,CBX3,-0.38974216040453424,-1.320871292678436,0.2656352409443056,-1.320871292678436,0.8874521860202944,0.38974216040453424
96,ANP32A,-0.38786593987309853,-1.1994285848840631,0.4901864740148623,-1.1994285848840631,1.303919050385102,0.38786593987309853
97,BCLAF1,-0.38660810612109775,-1.2138519037227193,0.20900964851574488,-1.2138519037227193,1.0048907053013285,0.38660810612109775
98,SMC4,-0.3857291145621241,-1.0207684729287758,0.5679908063223227,-1.0207684729287758,1.616959026079403,0.3857291145621241
99,CACYBP,-0.3856817310691896,-1.4137325883307372,0.4513654827675902,-1.4137325883307372,1.1457628607354249,0.3856817310691896
100,HIST1H1E,-0.3844923592461257,-0.8680758959805998,0.4278210871660673,-0.8680758959805998,2.089278649612662,0.3844923592461257
101,MT-ND6,-0.3840513286166499,-1.6673634387806704,0.48398958665573094,-1.6673634387806704,1.5885502956553648,0.3840513286166499
102,SET,-0.3836497243600258,-1.1392845657697266,0.6032473060259276,-2.3536536243787354,1.2986584159502441,0.3836497243600258
103,DUT,-0.38319629958856727,-1.2604035445549746,0.42650012289497624,-1.2604035445549746,0.8247683933875303,0.38319629958856727
104,ASPM,-0.3830667269421162,-0.7940845715342149,0.5889969599904433,-0.7940845715342149,1.7965812457265273,0.3830667269421162
105,HNRNPDL,-0.38260866653457243,-1.080982460550128,0.36953568262690456,-1.452639009527026,0.8743270377599612,0.38260866653457243
106,UBE2T,-0.38029149143503216,-0.7529398062821778,0.3296791693571654,-0.7529398062821778,1.1247881790999021,0.38029149143503216
107,HELLS,-0.3786052043648993,-0.6909930320884416,0.2957554010246561,-0.6909930320884416,1.142145195374327,0.3786052043648993
108,ILF3,-0.376341512698092,-1.1195687777258254,0.38303158219086153,-1.1195687777258254,1.088754700972905,0.376341512698092
