method,family,condition_norm,n_test_cells,delta_pcc,topk_de,pra_all,csa_pearson
scPLAD,model,NDUFA8,85,0.30155457094535026,0.26333333333333336,0.8067676700771648,0.429814832336161
scPLAD,model,NEDD1,134,0.39744812638384813,0.31,0.9259686835701788,0.48904905977438945
scPLAD,model,NELFA,82,0.18897405682524274,0.29,0.7778944743192251,0.608709549172381
scPLAD,model,NFRKB,223,0.11615117676821622,0.19000000000000003,0.8435701604778477,0.5664194907160566
scPLAD,model,NOL6,107,0.9071622654788843,0.8433333333333333,0.8625982034489174,0.6542196979440172
scPLAD,model,NOP10,124,0.35151277418589677,0.34,0.8239686167260026,0.7768457336258736
scPLAD,model,NRBP1,62,0.2939586944507952,0.39666666666666667,0.7592526153772333,0.6118872813633821
scPLAD,model,NSA2,71,0.340612739704148,0.38000000000000006,0.8542414589284378,0.48982354758795826
scPLAD,model,NUBP1,144,0.48427443123699304,0.35333333333333333,0.8587111683740322,0.7498888554376957
scPLAD,model,NUDC,106,0.24337629991538054,0.26666666666666666,0.8229603353888836,0.489567092483188
scPLAD,model,NUP54,266,0.794399741425135,0.6033333333333334,0.8842342022617075,0.72529877346826
scPLAD,model,NUTF2,44,0.46963047544357156,0.34,0.8629935440578147,0.5496404812608331
scPLAD,model,OGFOD1,101,0.06881211665883384,0.11666666666666665,0.8258810191486367,0.3662046422304612
scPLAD,model,OPA1,53,0.45073027082992323,0.27,0.8371723641478149,0.5839593593845355
scPLAD,model,ORC5,89,0.37115838828477127,0.24333333333333332,0.8418035013918713,0.46300472502944806
scPLAD,model,OXA1L,305,0.72648104949795,0.5533333333333333,0.8202320304672366,0.8476492084401898
scPLAD,model,PAM16,43,0.7907282177063495,0.5233333333333333,0.7750013822465555,0.7767471810593157
scPLAD,model,PCF11,393,0.4933886536201155,0.30333333333333334,0.8091516091737101,0.5526213984127194
scPLAD,model,PDCD2,59,0.020160938051428903,0.23666666666666666,0.804343693756899,0.6500255199800005
scPLAD,model,PET117,80,-0.21589266213490557,0.28,0.8127975236143774,0.6477084854995837
scPLAD,model,PGPEP1,51,0.11300252050154176,0.16666666666666666,0.7510363997037922,0.5905293640765529
scPLAD,model,PHF5A,197,0.19105548432573283,0.3133333333333333,0.8223265730058769,0.735789126049185
scPLAD,model,PIAS4,173,0.22373566473762885,0.24666666666666667,0.7877567274460636,0.573086526676176
scPLAD,model,POLA1,195,0.8109881331756653,0.62,0.8852801453696718,0.8592948796401846
scPLAD,model,POLD2,63,0.7460495661155283,0.5666666666666668,0.8869489602285873,0.5143373672867267
scPLAD,model,POLE,154,0.7402344484735668,0.5433333333333333,0.8422828662037557,0.8665043265140632
scPLAD,model,POLR1E,202,0.715674839412983,0.5466666666666666,0.8472408397448623,0.7431260692375514
scPLAD,model,POLR2E,93,0.694218366432653,0.5466666666666667,0.8217945910840433,0.8102855178999437
scPLAD,model,POLR2F,209,0.768570674394303,0.5833333333333334,0.7829775581452262,0.7888249265929911
scPLAD,model,POLR3B,109,0.26355748679044133,0.21,0.8468252469418047,0.5665686966759304
scPLAD,model,POLR3C,169,0.23932417887314825,0.19333333333333336,0.859116059488309,0.3320124239399292
scPLAD,model,POLR3D,108,0.29332795508294335,0.25666666666666665,0.8302678031547153,0.48833886102030516
scPLAD,model,POLR3F,156,0.2820670935670478,0.2733333333333334,0.8597183865759815,0.5658934690792718
scPLAD,model,POP4,116,0.3241260633673669,0.24666666666666667,0.8254390273624647,0.7744471106310357
scPLAD,model,PPP1R11,69,0.2235281970359202,0.19333333333333336,0.8080202903431849,0.36479925076411046
scPLAD,model,PPP4R2,162,-0.039366721421654795,0.21,0.8485018825476137,0.5837500279677239
scPLAD,model,PRELID1,122,0.6557648303839895,0.45999999999999996,0.811688096640783,0.6896906854621907
scPLAD,model,PRPF3,129,0.7635149353515275,0.5333333333333333,0.7987095749495386,0.8803915043147225
scPLAD,model,PRPF31,23,0.7851800322691743,0.5833333333333334,0.6794761909551309,0.30788388323439037
scPLAD,model,PRPF4B,160,0.16918276552840814,0.22999999999999998,0.8127609327858324,0.438908196146693
scPLAD,model,PRPF8,91,0.7642029971137823,0.5299999999999999,0.7740985881205859,0.8580833040655285
scPLAD,model,PSMA2,38,0.5377081347076601,0.3833333333333333,0.8406746466498234,0.3482167963808041
scPLAD,model,PSMA3,194,0.8165723484544483,0.5933333333333334,0.8025724580191769,0.809375695692355
scPLAD,model,PSMA6,18,0.6578777633539326,0.52,0.8436892174353909,0.5467266325069141
scPLAD,model,PSMB1,106,0.6903644472991172,0.48,0.8334038378138664,0.8183896583938219
scPLAD,model,PSMD1,87,0.7861106870733141,0.5466666666666667,0.8180759540636133,0.8608011309619578
scPLAD,model,PSMD4,285,0.42904870231042896,0.3233333333333333,0.8184818042874236,0.6721453917760575
scPLAD,model,PSMD7,175,0.8769003314490909,0.5866666666666668,0.7396250510172447,0.9334605430971527
scPLAD,model,PTCD1,246,0.423436267648207,0.47666666666666674,0.8598492690511496,0.7185851405164652
scPLAD,model,PUF60,52,0.37997288439233917,0.29000000000000004,0.7894240567704611,0.39220419285026703
scPLAD,model,PWP2,51,0.7090227866275775,0.61,0.8015313764911959,0.7789500249719521
scPLAD,model,QARS,376,0.8280062643698988,0.5766666666666667,0.7762088320918267,0.8711917075652268
scPLAD,model,RARS2,139,0.6120135447714133,0.3833333333333333,0.8643066094990455,0.7675798477109277
scPLAD,model,RBM19,37,0.34392673822616837,0.41,0.7725718498526287,0.6854482454757612
scPLAD,model,RBM28,55,0.7506639469383759,0.6166666666666667,0.8620913988233605,0.41048017605176473
scPLAD,model,RBM39,49,0.3696662451584691,0.23666666666666666,0.8187728422709087,0.5708037837874264
scPLAD,model,RBM42,68,0.2942901499612758,0.2866666666666667,0.8236862847681922,0.33697513802616436
scPLAD,model,RBX1,41,0.17074389591147013,0.25,0.7696504994444847,0.5151122457489864
scPLAD,model,RCC1,162,0.34312060755180934,0.27,0.8097157009509379,0.6319242121055694
scPLAD,model,RFC3,211,0.8212595014803658,0.66,0.9199449631693315,0.757705220605663
scPLAD,model,RFC4,58,0.6021225778364053,0.4266666666666667,0.8865212729910699,0.5639734917948983
scPLAD,model,RIOK1,290,0.9200092856154306,0.8266666666666667,0.8897036225464094,0.8471832898398599
scPLAD,model,RNF40,185,0.4392194970670951,0.33666666666666667,0.8690850687239307,0.6026168719252697
scPLAD,model,RNGTT,110,0.4721145320560249,0.3566666666666667,0.8598272958916725,0.6794426489908738
scPLAD,model,RNMT,106,0.158164429022563,0.27,0.8105551058668783,0.8476302590923686
scPLAD,model,RPF1,108,0.7185676521941803,0.5733333333333334,0.891619908299894,0.6051048127973014
scPLAD,model,RPL10,215,0.5478669507093056,0.4033333333333333,0.8449985050684904,0.6391795953532394
scPLAD,model,RPL10A,195,0.8100148141748145,0.6666666666666666,0.8634127054533559,0.8389343806294463
scPLAD,model,RPL11,315,0.7546863498816127,0.5366666666666666,0.9020376275345927,0.7040467815441027
scPLAD,model,RPL13,243,0.8857221360030904,0.7766666666666667,0.9081616377778582,0.9257730609509434
scPLAD,model,RPL18,229,0.9325786822139513,0.7433333333333333,0.8642974585716093,0.8940660600734857
scPLAD,model,RPL35A,97,0.8788476599065421,0.7733333333333334,0.8914539197935535,0.8525692701255102
scPLAD,model,RPL8,290,0.9500706435558767,0.77,0.9151461354918853,0.8679287521107203
scPLAD,model,RPL9,180,0.942846841465646,0.7866666666666667,0.8815335756599029,0.9130319352671857
scPLAD,model,RPP14,53,0.7571209877347496,0.71,0.805177906697617,0.551668293373944
scPLAD,model,RPS14,156,0.8118705356513592,0.7366666666666667,0.8744892634565901,0.8118711816366867
scPLAD,model,RPS19,410,0.885913420666984,0.8366666666666666,0.8733886780295187,0.8919010259521571
scPLAD,model,RPS21,63,0.7606753468644151,0.69,0.8480497459629129,0.6812429831208378
scPLAD,model,RPS23,98,0.871780978771826,0.7833333333333333,0.8722198500323656,0.7706055927713812
scPLAD,model,RPS26,73,0.8799246356176992,0.7866666666666667,0.8578607465019455,0.5387951496024525
scPLAD,model,RPS5,127,0.846172787130655,0.8066666666666666,0.8701923692301653,0.7651124562765479
scPLAD,model,RPS6,165,0.9018902894436507,0.8466666666666667,0.8469217896939308,0.619333936875908
scPLAD,model,RRN3,38,0.32027825408494626,0.32,0.753726943243973,0.5432177642031664
scPLAD,model,RRP7A,40,0.6315193551650574,0.52,0.7885797692390847,0.5540345204974962
scPLAD,model,SAP18,40,-0.05206532514658357,0.25,0.7507227791885532,0.6549057629994632
scPLAD,model,SART3,142,0.6084529979066109,0.3833333333333333,0.8057309201729616,0.7412373809869949
scPLAD,model,SCAF1,158,0.7299748924281783,0.56,0.8574099479886748,0.9095168256206759
scPLAD,model,SCFD1,103,0.5942037674718149,0.4666666666666666,0.8362889542897133,0.8119965138082863
scPLAD,model,SDC1,170,0.2247014790563597,0.27,0.8878449606455421,0.5989764635679187
scPLAD,model,SEC13,43,0.3383147140145734,0.33666666666666667,0.7572830510694204,0.5606616525819587
scPLAD,model,SF3A2,236,0.628828435225462,0.35000000000000003,0.8421112852153508,0.785547983800397
scPLAD,model,SF3B2,197,0.8618144991231049,0.6133333333333333,0.7302576822998551,0.936371661022316
scPLAD,model,SF3B3,215,0.7106015679272235,0.5166666666666667,0.7392177019836713,0.8250574216443957
scPLAD,model,SFPQ,185,0.5306047498159833,0.3466666666666667,0.6291827437384266,0.5876965145370964
scPLAD,model,SFSWAP,145,0.4397681970795966,0.3,0.8184004567685687,0.5942398489632779
scPLAD,model,SIN3A,217,0.2163547951238957,0.21,0.8711914813980782,0.4848780982777509
scPLAD,model,SLU7,195,0.7962512049765323,0.4666666666666666,0.7125614943847683,0.8675589310718506
scPLAD,model,SMC4,169,0.5783576781650532,0.51,0.9319633992254684,0.7733420336845515
scPLAD,model,SMG5,82,0.24206472260385245,0.20333333333333334,0.8771708206129567,0.3185453464687705
scPLAD,model,SNAPC3,201,0.10824529445521293,0.16666666666666666,0.8457852641838149,0.6262092895792347
scPLAD,model,SNRNP200,92,0.853945829671454,0.6133333333333333,0.7475508770746918,0.894285716665101
scPLAD,model,SNRNP27,42,0.14623055465937873,0.17333333333333334,0.7508050165995157,0.2743243483068593
scPLAD,model,SNRNP48,179,0.5004865441551157,0.3566666666666667,0.8522058142734655,0.6977940092418516
scPLAD,model,SNRPD1,113,0.8813749642988182,0.6933333333333334,0.7897946218220574,0.8630889943535852
scPLAD,model,SNRPE,128,0.9237197056575527,0.7399999999999999,0.7880605446542358,0.9251818395083548
scPLAD,model,SNRPG,325,0.8118912772934973,0.5800000000000001,0.8103512614027758,0.9105744232004974
scPLAD,model,SON,238,0.334270062518879,0.3033333333333333,0.7484081855770376,0.7527887193213173
scPLAD,model,SPC25,181,0.8092327848270876,0.63,0.8141666329726074,0.8113427223695641
scPLAD,model,SPCS3,115,0.24629727320073713,0.15666666666666665,0.8359056711705947,0.40770656429919305
scPLAD,model,SRBD1,143,0.1520205209062103,0.24666666666666667,0.8499653699121392,0.7230462329156291
scPLAD,model,SRFBP1,73,0.34858353923400703,0.29,0.7757222430831247,0.6761012854920511
scPLAD,model,SRP68,158,0.326765270809626,0.26666666666666666,0.8432066676270167,0.6763170316700688
scPLAD,model,SRRM1,136,-0.006017900232971898,0.18000000000000002,0.833910762718066,0.4750137934100062
scPLAD,model,SSRP1,440,0.5257067611038461,0.4266666666666667,0.7527574111314023,0.6835286586565182
scPLAD,model,SUGT1,94,-0.06166338377262803,0.15333333333333335,0.8459519398693471,0.44732351162622264
scPLAD,model,SURF6,113,0.6929627387622267,0.5333333333333333,0.8681790261576571,0.6514837680696188
scPLAD,model,TAF10,38,0.8246712038076477,0.7600000000000001,0.7581951471801661,0.514988508184466
scPLAD,model,TAF6,111,0.513162839198643,0.4366666666666667,0.7964481199385275,0.6937384290122655
scPLAD,model,TBL3,70,0.4883200262640521,0.4366666666666667,0.8250948761244036,0.5548472081754753
scPLAD,model,TCP1,63,0.7991462616824524,0.6,0.8137307572552106,0.4895659362427243
scPLAD,model,TEX10,153,0.5043651104407235,0.4166666666666667,0.9038640631811442,0.6351061669902228
scPLAD,model,THOC7,104,0.3956074623718013,0.31,0.8431582593086705,0.4849483438349543
scPLAD,model,TRMT10C,67,-0.138145670564315,0.31,0.8344035709333743,0.5978624190018197
scPLAD,model,TRMT5,93,-0.15874859779689812,0.25,0.8049815536064931,0.6217254967358844
scPLAD,model,TSEN2,168,0.025676063776893233,0.21999999999999997,0.8702228766345789,0.697375201125146
scPLAD,model,TSR1,109,0.6877588269656821,0.5633333333333334,0.8339602722131753,0.7949382284452366
scPLAD,model,TSR2,486,0.5711565200783337,0.57,0.8025950482592727,0.7771629580184106
scPLAD,model,TTC27,87,0.06129285118912233,0.22333333333333336,0.8578385808960447,0.3402937313360739
scPLAD,model,TXN,81,0.45623728812269904,0.39666666666666667,0.9077180928765337,0.7451433291109625
scPLAD,model,U2AF1,141,0.5747062531596159,0.3333333333333333,0.8345712318522863,0.7115209204579033
scPLAD,model,UQCRB,93,0.3340093481461728,0.3133333333333333,0.8309783884361188,0.5213707641475372
scPLAD,model,USP36,151,-0.24770625047812878,0.3066666666666667,0.8131810099697474,0.7762544355446109
scPLAD,model,UTP3,27,0.302112757309189,0.24,0.722561576601943,0.45394806380593605
scPLAD,model,VPS29,146,0.15803526571088092,0.18666666666666668,0.787656387847599,0.38788114932655465
scPLAD,model,VPS54,306,0.5569365098570501,0.3666666666666667,0.8879045132104318,0.8475287139218578
scPLAD,model,VPS72,95,0.17979736094423793,0.25333333333333335,0.8185478322691506,0.6473905104721868
scPLAD,model,WBP11,205,0.2077332186574794,0.22333333333333336,0.786711711610642,0.7756587597771955
scPLAD,model,WDHD1,175,0.14261238962651254,0.15333333333333335,0.8860808505380741,0.5032455423282196
scPLAD,model,WDR12,174,0.8382654922004038,0.6699999999999999,0.8740594995384376,0.657455877370588
scPLAD,model,WDR3,329,0.7260105734865192,0.5566666666666666,0.8170684985245824,0.798298978016517
scPLAD,model,WDR43,47,0.8097577067168307,0.6733333333333333,0.8182320966800493,0.6635196412465239
scPLAD,model,WDR5,75,0.34917207126130023,0.35000000000000003,0.8091390735498211,0.6024274274005509
scPLAD,model,WDR70,29,0.5809129796626582,0.37666666666666665,0.7919375577516039,0.6046447885371077
scPLAD,model,WDR82,86,0.27723534646296455,0.26,0.6903124386258019,0.5488792372993844
scPLAD,model,WDTC1,107,0.19077339082278966,0.22666666666666668,0.7656284948603543,0.553369100593388
scPLAD,model,XPO1,139,0.5643358021607282,0.4166666666666667,0.7793289264535351,0.6870728246032766
scPLAD,model,XRCC6,26,0.18944871093901816,0.26666666666666666,0.8352588933728989,0.42136795786988146
scPLAD,model,YEATS2,233,-0.04116545645797713,0.21666666666666667,0.8182086909677008,0.8300759914208043
scPLAD,model,ZBTB17,158,0.03298999037507063,0.23333333333333336,0.7783721130363418,0.5589887827694153
scPLAD,model,ZCRB1,141,-0.027672767112651066,0.12333333333333334,0.7752376948005821,0.35493947550058125
scPLAD,model,ZNF335,140,-0.14316693242925674,0.15333333333333332,0.8463839447527955,0.41154765380406305
scPLAD,model,ZNHIT6,116,0.19502123908179256,0.31,0.824916792546929,0.8019181131960341
TxPert,model,ACTR8,242,0.2342714965343475,0.13,0.0641920704338365,0.2722417175342859
TxPert,model,ALG13,167,0.2406146228313446,0.17,0.0760858805354802,0.1015635854997365
TxPert,model,ANKRD11,184,-0.239936426281929,0.28,0.0790722225021571,0.2522638447793718
TxPert,model,AP2S1,96,0.4114137887954712,0.35,0.0715416653035013,0.1121412434235525
