1784391516.729214175	3	5616	0
1784391526.815255152	1	5620	100
1784391526.815255152	3	5616	0
1784391536.901351513	1	5620	100
1784391536.901351513	3	5616	0
1784391546.992920898	1	5620	100
1784391546.992920898	3	5616	0
1784391557.089628807	1	5620	100
1784391557.089628807	3	5616	0
1784391567.173787400	1	5620	100
1784391567.173787400	3	5616	0
1784391577.460122061	1	5620	100
1784391577.460122061	3	5616	0
1784391587.553607558	1	5620	100
1784391587.553607558	3	5616	0
1784391597.902749403	1	5620	100
1784391597.902749403	3	5616	0
1784391608.003133788	1	5620	100
1784391608.003133788	3	5616	0
1784391618.207823323	1	5620	15
1784391618.207823323	3	5616	89
1784391628.293177050	1	5620	100
1784391628.293177050	3	5616	0
1784391638.481406604	1	5620	100
1784391638.481406604	3	5616	0
1784391648.569683331	1	5620	100
1784391648.569683331	3	5616	0
1784391658.697484997	1	5620	88
1784391658.697484997	3	5616	21
1784391668.792529185	1	5620	100
1784391668.792529185	3	5616	0
1784391679.090742728	1	5620	0
1784391679.090742728	3	5616	0
1784391689.174240147	1	5620	0
1784391689.174240147	3	5616	0
1784391699.348685403	1	5620	100
1784391699.348685403	3	5616	0
1784391709.446547122	1	5620	49
1784391709.446547122	3	5616	62
1784391720.167586340	1	5620	0
1784391720.167586340	3	5616	0
1784391731.824081503	1	5620	0
1784391731.824081503	3	5616	0
1784391741.907856652	1	5620	100
1784391741.907856652	3	5616	78
1784391753.324607156	1	5620	0
1784391753.324607156	3	5616	0
1784391763.413329545	1	5620	0
1784391763.413329545	3	5616	0
1784391773.502261992	1	5620	100
1784391773.502261992	3	5616	0
1784391783.587698520	1	5620	0
1784391783.587698520	3	5616	0
1784391793.694826602	1	5620	0
1784391793.694826602	3	5616	0
1784391803.782920717	1	5620	100
1784391803.782920717	3	5616	0
1784391813.879896068	1	5620	0
1784391813.879896068	3	5616	0
1784391824.301092952	1	5620	0
1784391824.301092952	3	5616	100
1784391834.486480805	1	5620	100
1784391834.486480805	3	5616	0
1784391844.570487335	1	5620	0
1784391844.570487335	3	5616	100
1784391854.656181400	1	5620	0
1784391854.656181400	3	5616	100
1784391864.993381156	1	5620	0
1784391864.993381156	3	5616	0
1784391875.094884699	1	5620	0
1784391875.094884699	3	5616	100
1784391885.186792388	1	5620	0
1784391885.186792388	3	5616	100
1784391895.289444607	1	5620	0
1784391895.289444607	3	5616	0
1784391905.387399458	1	5620	0
1784391905.387399458	3	5616	100
1784391915.470745663	1	5620	0
1784391915.470745663	3	5616	100
1784391925.553012836	1	5620	0
1784391925.553012836	3	5616	0
1784391935.639986998	1	5620	0
1784391935.639986998	3	5616	100
1784391945.734713512	1	5620	0
1784391945.734713512	3	5616	100
1784391955.822303272	1	5620	0
1784391955.822303272	3	5616	0
1784391965.912454744	1	5620	0
1784391965.912454744	3	5616	100
1784391975.996133666	1	5620	0
1784391975.996133666	3	5616	100
1784391986.141692424	1	5620	0
1784391986.141692424	3	5616	0
1784391996.229873043	1	5620	0
1784391996.229873043	3	5616	100
1784392006.315625135	1	5620	65
1784392006.315625135	3	5616	61
1784392016.404163639	1	5620	0
1784392016.404163639	3	5616	100
1784392026.495058092	1	5620	0
1784392026.495058092	3	5616	100
1784392036.580744842	1	5620	95
1784392036.580744842	3	5616	30
1784392046.685918096	1	5620	0
1784392046.685918096	3	5616	100
1784392057.538064027	1	5620	0
1784392057.538064027	3	5616	100
1784392068.387759255	1	5620	0
1784392068.387759255	3	5616	0
1784392078.475889682	1	5620	0
1784392078.475889682	3	5616	100
1784392088.560586587	1	5620	100
1784392088.560586587	3	5616	0
1784392098.649727480	1	5620	78
1784392098.649727480	3	5616	73
1784392108.740050106	1	5620	0
1784392108.740050106	3	5616	30
1784392118.837673608	1	5620	0
1784392118.837673608	3	5616	100
1784392129.271704528	1	5620	0
1784392129.271704528	3	5618	0
1784392139.838766140	1	5620	0
1784392139.838766140	3	5618	100
1784392150.705270611	1	5620	0
1784392150.705270611	3	5618	100
1784392161.111791970	1	5620	0
1784392161.111791970	3	5618	100
1784392171.194722148	1	5620	0
1784392171.194722148	3	5618	100
1784392181.292125720	1	5620	0
1784392181.292125720	3	5618	100
