condition,n_true_cells,n_pred_cells,top100_de_overlap
NDC80,171,2000,0.37
NDUFA2,111,2000,0.45
NDUFA8,85,2000,0.28
NDUFB4,147,2000,0.27
NDUFB8,174,2000,0.39
NELFA,82,2000,0.23
NELFCD,174,2000,0.21
NFRKB,223,2000,0.13
NFS1,75,2000,0.28
NOC3L,73,2000,0.33
NOL11,219,2000,0.55
NOL12,83,2000,0.27
NOL8,70,2000,0.31
NRBP1,62,2000,0.17
NRDE2,495,2000,0.36
NRF1,71,2000,0.17
NSRP1,188,2000,0.51
NUBP1,144,2000,0.23
NUF2,404,2000,0.47
NUMA1,203,2000,0.33
NUP133,70,2000,0.19
NUP160,234,2000,0.38
NUP54,266,2000,0.33
NUP85,107,2000,0.39
NUTF2,44,2000,0.33
OGFOD1,101,2000,0.18
OPA1,53,2000,0.29
ORC1,477,2000,0.36
OXA1L,305,2000,0.39
PABPN1,93,2000,0.38
PAF1,229,2000,0.45
PAM16,43,2000,0.47
PAXBP1,114,2000,0.33
PCID2,208,2000,0.09
PDAP1,38,2000,0.22
PDCD2,59,2000,0.52
PDCD7,80,2000,0.28
PDRG1,111,2000,0.35
PELP1,60,2000,0.3
PET117,80,2000,0.32
PFDN2,77,2000,0.42
PGAM1,145,2000,0.22
PGD,98,2000,0.28
PHAX,304,2000,0.52
PHB2,292,2000,0.46
PMPCB,471,2000,0.45
PNN,64,2000,0.23
PNO1,114,2000,0.63
POLA1,195,2000,0.4
POLA2,212,2000,0.35
POLD2,63,2000,0.35
POLD3,65,2000,0.3
POLR1B,174,2000,0.49
POLR1C,161,2000,0.14
POLR2A,264,2000,0.49
POLR2D,182,2000,0.42
POLR2F,209,2000,0.49
POLR2G,131,2000,0.41
POLR2H,80,2000,0.38
POLR2I,179,2000,0.44
POLR2L,43,2000,0.42
POLR3D,108,2000,0.31
POLR3E,192,2000,0.23
POLR3F,156,2000,0.27
POLRMT,208,2000,0.21
POP4,116,2000,0.62
POP5,50,2000,0.55
POP7,196,2000,0.54
PPARGC1B,129,2000,0.17
PPIE,39,2000,0.33
PPIH,93,2000,0.29
