condition,n_true_cells,n_pred_cells,mean_pcc,mean_spearman,delta_pcc,delta_spearman,pra_all_genes,pra_top100_true_de,pra_nonzero_genes,true_range_mean,pred_range_mean,range_width_ratio,csa_pearson,csa_spearman,n_corr_pairs
POLR3D,108,2000,0.993050594179044,0.9558041569733562,0.3054051314727226,0.20360782120644377,0.8893198430326759,0.9042415606274895,0.8893198430326759,0.463302509548467,0.47868644898112206,1.0332049336741103,0.403664109968967,0.321784156469967,4950
POLR3E,192,2000,0.9975575729516499,0.9809592566696776,0.11488824484392739,0.1216350115278485,0.9022742746149499,0.9182947175378944,0.9022742746149499,0.441891674446231,0.4519276153431959,1.0227112915907022,0.2965504708533802,0.21952716256460697,4950
POLR3F,156,2000,0.9948616560023426,0.9709295572044667,0.1883074804326063,0.11894909601598284,0.9011923520810605,0.9255282294160665,0.9011923520810605,0.44871616315625623,0.4673828209318522,1.0416001225101723,0.4544058949417857,0.288608134907778,4950
POLRMT,208,2000,0.9840613057625672,0.9405334953246194,0.6610092188689979,-0.042182968811976126,0.9222501559225413,0.9214422361366229,0.9222501559225413,0.46792567959922177,0.5206381809577094,1.1126514156631064,0.6692208915396486,0.6285783200886546,4950
POP4,116,2000,0.9945651446261239,0.9682880088229749,0.5572825637375514,0.15396314756782592,0.8886014455998829,0.9338702176677512,0.8886014455998829,0.45843266135944066,0.46534556992820747,1.0150794195105406,0.5941011480796287,0.5624183298053133,4950
POP5,50,2000,0.9914133716515315,0.9586857518929979,0.4272696920289865,0.14206978265441045,0.8657012015718932,0.8060786800620277,0.8657012015718932,0.450968063876104,0.4477782561527239,0.9929267327153264,0.407565889276293,0.3557117440687716,4950
POP7,196,2000,0.9971446441339135,0.9777927816258905,0.3932436170294824,0.09608047575062935,0.8984650759344842,0.9350210118715166,0.8984650759344842,0.45604118043979125,0.4662048004062232,1.0222866052003559,0.6122111635193633,0.49206738503272535,4950
PPARGC1B,129,2000,0.9975770202124165,0.9809234319858021,-0.06185373639093078,-0.05377130584083705,0.8979802953658844,0.8960429696250316,0.8979802953658844,0.44266110052374635,0.44220543869895823,0.998970607957295,0.31788473152069574,0.2149671304708119,4950
PPIE,39,2000,0.986499032646677,0.9186881402597993,0.4428127545446604,0.3508129473008717,0.8420022697242896,0.7503299940445066,0.844269102038833,0.43672034054336667,0.4439154046849373,1.0164751977612643,0.3426027484988209,0.32540401393590934,4950
PPIH,93,2000,0.9961423004341486,0.97062429163146,0.31789005810363546,0.23697366902430692,0.8665515956856639,0.8788244670868062,0.8668101906112639,0.457982094463201,0.4442855611858338,0.9700937151388899,0.3890145895082538,0.3314947004259278,4851
PPIL4,69,2000,0.9901886816869632,0.93440063262929,0.5602394242532833,0.46953855786497867,0.8754356234910676,0.90655157873084,0.8759582716244951,0.4566979764611739,0.48599184428826947,1.0641427347952321,0.5005021633823274,0.5099687543488682,4851
PPP1R11,69,2000,0.9950838777641962,0.9603030580399151,0.2294891336512882,0.16301042394686455,0.8941366614297909,0.9070984363563772,0.8941366614297909,0.43116729627396727,0.4555810331549638,1.0566223981404652,0.17053179411138095,0.14701835067121236,4950
PPP1R8,64,2000,0.9955991683890824,0.9663264577900016,0.1555978589696909,0.0951440638597271,0.8558067822037093,0.850449856622116,0.8558067822037093,0.4405130308761589,0.43539931126873005,0.9883914228798815,0.26501128058383416,0.20645839242517236,4950
PPP2R1A,301,2000,0.99844555089927,0.9870060190280031,0.0723086358878196,0.051954142577050916,0.8646519970858672,0.8812732900886006,0.8646519970858672,0.46597734240810595,0.4372401561613959,0.9383291996956499,0.408552683812758,0.285139124739394,4950
PPP4R2,162,2000,0.9892325801612338,0.9570917822277067,0.1530293190260143,0.12794408698929868,0.9155249630476255,0.9132024464127472,0.9157981725263028,0.4365622873255774,0.4814777232819074,1.1028843448723957,0.260742761690854,0.2052003845707549,4851
PRIM2,149,2000,0.9915188149023947,0.9587451752804782,0.42663810102985467,0.26365695762888997,0.9150304390793911,0.7741700983223151,0.9150304390793911,0.42971716172957636,0.4476612113769957,1.0417577905374273,0.4672429455779845,0.47229902643931554,4950
PRMT1,44,2000,0.9944844935114093,0.9600208843269735,0.10951510650658765,0.06728160985412328,0.896814368375372,0.8425391327845356,0.8973497799385812,0.3901188024077432,0.43511804328331327,1.1153475029769595,0.3100357284711021,0.2582397257446345,4950
PRMT5,92,2000,0.997256501140604,0.9768933908265547,0.12354587087329287,0.08370849040974156,0.8687008897479698,0.8503930932437536,0.8687008897479698,0.4477815511416387,0.43367291271458314,0.9684921183643986,0.18752914148079988,0.162715687032081,4950
PRPF18,256,2000,0.992169874317678,0.9485598704893359,0.7014054310675972,0.633464985313444,0.9020776486616104,0.8828344822000986,0.9020776486616104,0.4753222215324996,0.5028192491593177,1.0578492142859892,0.7611528220709446,0.748659531594815,4950
PRRC2A,82,2000,0.997432638644749,0.9775229606264064,0.32560648896945943,0.21905921975220044,0.8752185312388415,0.8818582639093552,0.8752185312388415,0.4193734738771273,0.4245515600825119,1.012347171207662,0.49176860640966197,0.3753428062891697,4950
PSMA2,38,2000,0.9792881335213426,0.8773842071649921,0.26634579164028704,0.151760530102956,0.8899705393242177,0.9155718924354632,0.8913000441633635,0.43032090213763274,0.5169437111144659,1.2012981394432627,0.20952474757669756,0.174732655982757,4950
PSMA3,194,2000,0.9765895181715842,0.8890517566343064,0.5804723884066324,0.43445291716404066,0.888504389298847,0.8514588893682,0.888504389298847,0.49152260602302955,0.5284791902610634,1.0751879425957123,0.6181386981566879,0.6068494000624923,4950
PSMA6,18,2000,0.9717307641394409,0.8375770041971428,0.3514054555006774,0.2126265032823606,0.8902340103170131,0.9114970127612325,0.8998987945062207,0.41393327618946896,0.527793924446145,1.275070022285086,0.2622848755267228,0.24507558059628315,4950
