condition,n_test_cells,n_pred_cells,n_genes,mean_pearson,mean_spearman,perturbation_effect_pearson,perturbation_effect_spearman,r_squared,mse,wasserstein_1_pca50,mmd_pca50,energy_pca50,part
BRIX1+ctrl,95.0,2000.0,5000.0,0.9926430389918262,0.961663825744713,0.5670790655666664,0.3975169987902204,0.9847192475572228,0.0018402714731864,1.160984807593988,0.5023438119214488,0.5164277504066292,0
BYSL+ctrl,87.0,2000.0,5000.0,0.9976680725658822,0.9759139095708222,0.8982750761045439,0.6585271463884999,0.9953191545791924,0.0005490100151993,1.1077698860225145,0.5104049615639176,0.5347710725964474,0
C1QBP+ctrl,189.0,2000.0,5000.0,0.9964882429970264,0.9821139254605566,0.5409341546331272,0.3815038717379353,0.9929144135676324,0.0008771666941577,0.8462858204108599,0.5176964518327152,0.4024742247104133,0
CCDC86+ctrl,235.0,2000.0,5000.0,0.99622006585795,0.980965355829701,0.8285084153641707,0.6716107127206657,0.9924345058389008,0.0009634317467963,0.7621455384986416,0.5179842232204473,0.3673257677491952,0
CDC123+ctrl,96.0,2000.0,5000.0,0.9971157193832642,0.972432964936657,0.3126706133117404,0.2378110100895628,0.9941404885612428,0.000764400210328,1.0132167059803272,0.527615246809712,0.4818989142168818,0
CDC23+ctrl,158.0,2000.0,5000.0,0.9977287269716272,0.98013700160548,0.5905148889458114,0.4116655707019027,0.9953905157744884,0.0005873508351014,0.8911421871842368,0.4737495274023804,0.3785705685396401,0
CDC40+ctrl,84.0,2000.0,5000.0,0.99728652943381,0.9663649557745976,0.7138180745499735,0.5645632919671802,0.9944314961321652,0.0007035553510959,1.1615088446077977,0.5158689053126443,0.5542023248203918,0
CENPC+ctrl,116.0,2000.0,5000.0,0.9978180151757706,0.9768692107942132,0.7178415152413962,0.5001303658092179,0.995581658091396,0.0005417930490163,1.1367689130017262,0.5060525094360994,0.5292070907587655,0
CENPE+ctrl,171.0,2000.0,5000.0,0.997911327526472,0.982358474285492,0.6050773945800598,0.4288449328909665,0.9958114069886506,0.0005257464959192,0.890797283491333,0.500964697034595,0.4067130001809526,0
CHERP+ctrl,54.0,2000.0,5000.0,0.9937112797020096,0.9521621776498944,0.5134956780006148,0.3575321457916089,0.987384787760675,0.0016526512296234,1.2229102547831712,0.5204173852508976,0.5966954766850437,0
CHMP6+ctrl,620.0,2000.0,5000.0,0.9986949134592622,0.991239677929377,0.8944671558885331,0.7995925712988932,0.9971366843674332,0.0003640741589185,0.6321617504725082,0.517567854766598,0.2947276729276361,0
CNIH4+ctrl,65.0,2000.0,5000.0,0.9946714013981636,0.9594069692633046,0.3469108985131329,0.2186912016911396,0.9893673323094844,0.0013479806182657,1.2567886240398023,0.5155659035603782,0.6257892085761156,0
COG2+ctrl,332.0,2000.0,5000.0,0.998667961756751,0.9889198727087948,0.4717860428429426,0.3455733230241078,0.997277163900435,0.0003517103265066,0.6852104718425902,0.5421807711137729,0.3304581297210699,0
CPSF3+ctrl,575.0,2000.0,5000.0,0.9958297141291012,0.9788002789035024,0.7308135605256956,0.5871301606832976,0.9916760120540856,0.0010558395815692,0.6304641448582741,0.5557771135159034,0.3238140691991627,0
CPSF4+ctrl,57.0,2000.0,5000.0,0.9873238084309068,0.929344052058873,0.4734316517832292,0.3217504357500174,0.9745821990072728,0.0032107045412836,1.4081792133409132,0.5086970844761588,0.6724098819659184,0
CSTF1+ctrl,129.0,2000.0,5000.0,0.9951208901083978,0.9683258426355132,0.4544250646534683,0.3179663653655482,0.9899812499061228,0.0012384319888373,1.032225680216082,0.4990974987902529,0.4772479050636031,0
CSTF3+ctrl,59.0,2000.0,5000.0,0.990201338769966,0.9393811786406748,0.3396567490884981,0.2346169639559401,0.9801573008298874,0.0024794294362872,1.3098034122352713,0.491236486323547,0.6356569012968103,0
CTR9+ctrl,197.0,2000.0,5000.0,0.9886919904683756,0.946751560916784,0.7655692694189794,0.6741594727750981,0.9753989689052104,0.0031989872763361,1.0090515735746903,0.5486573733682281,0.5176882490455553,0
CUL1+ctrl,181.0,2000.0,5000.0,0.99780251538765,0.9802322846812912,0.3321366442218186,0.1954802776752111,0.9954042630270123,0.0005946169210874,0.8415376233822347,0.5238283178218793,0.4088990116556112,0
CWC15+ctrl,144.0,2000.0,5000.0,0.9937133593271223,0.9682367541534695,0.8831853769406977,0.8014145488055177,0.9864543033763766,0.001808983716451,0.9954236269640114,0.5112227433141066,0.4944912338045534,0
CWC22+ctrl,28.0,2000.0,5000.0,0.9926270085031818,0.9272079821016046,0.6886936076150107,0.5337160348590689,0.9852733286097646,0.0018935075553973,1.7079508681291782,0.4613165521888003,0.7720906692884272,0
DAD1+ctrl,71.0,2000.0,5000.0,0.9942132130181516,0.9645909835116396,0.2367052295502784,0.203915203456184,0.988200208172202,0.0015352106280471,1.1478215787401562,0.5172927083740997,0.5723762624098908,0
DBR1+ctrl,96.0,2000.0,5000.0,0.9933455609919448,0.956037181876212,0.2026062041603152,0.0946648435739535,0.9855093182995917,0.001904804386981,1.10533357510165,0.5218563769335358,0.5739875396987266,0
DDOST+ctrl,74.0,2000.0,5000.0,0.9958013558496948,0.9649486635899462,0.3354585653117583,0.277491968294318,0.9913167422637345,0.0011283673168465,1.1935471904010304,0.527496673582105,0.6001467574827011,0
DDX41+ctrl,259.0,2000.0,5000.0,0.9836645773812004,0.9320548378901932,0.3477010048479044,0.2420424317195062,0.9645469561219217,0.0047450190360817,0.8777023375290048,0.5133773070898989,0.4718829670699624,1
DDX49+ctrl,41.0,2000.0,5000.0,0.9946572411901964,0.9526527813717204,0.5100703528888496,0.2506481341619875,0.9890849255025388,0.0013479503197273,1.4541813004284088,0.5209759467336343,0.7178610234293332,1
DDX5+ctrl,130.0,2000.0,5000.0,0.9958763795881976,0.9741267507730698,-0.0523100666445806,0.0353487629027988,0.99142696429044,0.0011367795151829,0.9215178641148282,0.5449678065343797,0.4745553431348346,1
DDX52+ctrl,106.0,2000.0,5000.0,0.997608571645958,0.9797015734280629,0.8731019630266167,0.6378237141348719,0.9952220623381436,0.0005614835813419,1.0230256337105408,0.5018683965187439,0.4663838214312521,1
