condition,n_pred_cells,n_true_cells,mean_pcc,mean_spearman,delta_pcc,delta_spearman
GPN1,2000,76,0.9862236780464964,0.9294713473195111,0.5662416716806379,0.40969651818005465
GPN2,2000,42,0.9854729352319254,0.9199582015744624,0.39329606212095747,0.2535608181876048
GPN3,2000,250,0.9857356881934013,0.9325018339814741,0.6330735953432813,0.47327047302606334
GRB2,2000,53,0.9955806558371115,0.9619297659439946,0.08484376407271293,0.0776828877401411
GRSF1,2000,146,0.9976496856306298,0.9818960126671861,0.23221319092952594,0.1288907054644809
GTF2B,2000,34,0.9912063255553119,0.9364356457228777,0.33433434570747717,0.21823724433658975
GTF2E1,2000,176,0.9957820683735475,0.974485179860244,0.3402441488362934,0.2394711186224372
GTF2F2,2000,52,0.9887269976652013,0.9328214395600588,0.3813315249881291,0.2590531375022553
HARS2,2000,62,0.9873549386736722,0.9313120372794086,0.31963968694887546,0.19881897113425986
HAUS5,2000,153,0.9976284678645848,0.9816178043877937,0.2403510514951038,0.20009495124754637
HBS1L,2000,120,0.9846220667455376,0.943273141808571,0.6424426420907795,0.4720974368646565
HDAC7,2000,148,0.9933746018010483,0.9663073398004733,0.3713461325806992,0.22767994572424344
HEATR1,2000,216,0.9888396896849897,0.9617622500688482,0.5959164422870239,0.31578546603287083
HGS,2000,96,0.9877457723418869,0.9268103349301815,0.556619572092176,0.406612161310277
HMGCS1,2000,216,0.99576132385364,0.9757586948320379,0.3997403975732644,0.3386055385912025
HNRNPH1,2000,92,0.9939193904831183,0.964263922938335,0.151392205038621,0.12190280197973885
HNRNPM,2000,128,0.9960123515314206,0.9732926730000375,0.26961836269443906,0.19935568408505144
HSCB,2000,85,0.9967381262750955,0.9728037010174466,0.1352340232180375,0.08162268279989418
HSPA5,2000,202,0.9696211083372869,0.9344811332685129,0.5843043572706369,0.5958810430319081
HSPA8,2000,146,0.9870828556333309,0.9594732882910573,0.21500053934647012,0.2560378492006823
HSPA9,2000,374,0.9793268018900538,0.9121606314948597,0.7179412772499923,0.5141547388999077
HSPE1,2000,25,0.9856016621904953,0.9150008528879503,0.46006770642004063,0.29799565504107745
IARS,2000,45,0.9899725734795727,0.9276008834547773,0.5129259494596553,0.3285298604296787
ICE1,2000,319,0.9862845222294845,0.927206147695963,0.658396907666664,0.6040537899952902
IGBP1,2000,245,0.9915293823102307,0.9501464941158194,0.5068264685338748,0.32450073529496154
IK,2000,123,0.993379541720833,0.9581973116825603,0.5657436036639836,0.4665050644122355
ILF2,2000,53,0.9945355392674453,0.9636705464624914,0.007405855836123055,0.014716550285596089
IMPDH2,2000,70,0.9938805703369283,0.966102644162381,0.07418740245789855,0.04736630588365602
