condition,n_test_cells,n_pred_cells,mse,mae,pcc_delta,pearson_delta,spearman_delta,topk_de_overlap,auprc,wasserstein,e_distance,kl_divergence,distribution_n_components
TAF10,38,2000,0.0032967147417366505,0.03607163205742836,0.8407337069511414,0.8407337069511414,0.5782367339391024,0.72,0.7854532625772177,1.3313316639559383,0.7553711937056474,12.921146364049878,50
XPO1,139,2000,0.005248763598501682,0.03841244801878929,0.6598212718963623,0.6598212718963623,0.5261945507302968,0.48,0.4294519582761322,1.0783784734649842,0.7101483563191268,12.65250891108917,50
NUP54,266,2000,0.0011661434546113014,0.019749058410525322,0.777653694152832,0.777653694152832,0.6345541408526243,0.57,0.5962439353044434,0.7917151698798683,0.6207938065515385,13.215834072765283,50
SSRP1,440,2000,0.00165166228543967,0.023137854412198067,0.7967948913574219,0.7967948913574219,0.6908953473163953,0.6,0.5584068889270435,0.7628670438519913,0.6043142664019455,12.937522235904964,50
SON,238,2000,0.005533500108867884,0.041232116520404816,0.6816734671592712,0.6816734671592712,0.5769516444999127,0.54,0.5327751510352157,0.9482887426615325,0.6498426735030531,12.35899176892787,50
BGLAP,236,2000,0.0003359287220519036,0.012353355996310711,0.7687267065048218,0.7687267065048218,0.5437730069871224,0.71,0.7651698541561791,0.8941529524697477,0.6420448600924376,13.003066669857265,50
PSMD7,175,2000,0.0034128562547266483,0.03274687007069588,0.9423583745956421,0.9423583745956421,0.8664905017684159,0.77,0.8439142676618152,1.1033846347953278,0.6993368045915873,12.836564538294164,50
SUGT1,94,2000,0.001186986337415874,0.02033592388033867,-0.16812071204185486,-0.16812071204185486,-0.050014625176987466,0.13,0.1212685778667273,1.0236033906545032,0.7263310168409108,14.155518847420964,50
CENPE,171,2000,0.0005257487646304071,0.014685026369988918,0.6050773859024048,0.6050773859024048,0.4288449328909665,0.42,0.4260513420588513,0.8844191218957789,0.6274367283103466,12.694272272094608,50
MZT1,381,2000,0.0005822418024763465,0.013507979921996593,0.3156012296676636,0.3156012296676636,0.21781214375216823,0.25,0.1694161318974062,0.6755436295725196,0.5559602587933149,11.888205807763242,50
NFRKB,223,2000,0.0008176243863999844,0.017275072634220123,0.3718003034591675,0.3718003034591675,0.21927132063716542,0.27,0.2130195294434656,0.8143753979763656,0.6262199017547053,13.138760765652794,50
RPS14,156,2000,0.0008179630967788398,0.013018871657550335,0.8813133239746094,0.8813133239746094,0.8113057413266437,0.91,0.9532801790635459,0.9238001548606359,0.6654265917985142,13.170169821361508,50
SNRPG,325,2000,0.0009590082336217165,0.019536258652806282,0.8718887567520142,0.8718887567520142,0.7755452259684221,0.65,0.6627776747174818,0.7994728038460827,0.6139321209184614,12.578865231940876,50
MRPL38,132,2000,0.0003840461722575128,0.013508758507668972,0.7257800698280334,0.7257800698280334,0.45781004045736395,0.56,0.6294468456369101,0.9202860066934933,0.6665368117403725,13.459626854204748,50
MAGOH,149,2000,0.0017643438186496496,0.022900179028511047,0.4878395199775696,0.4878395199775696,0.40883087634704696,0.39,0.3272674194598266,0.9489927875508787,0.6757568858377914,13.384499566720292,50
DNTTIP2,235,2000,0.0012963295448571444,0.021584026515483856,0.9544249773025513,0.9544249773025513,0.8496320608944559,0.88,0.9595224521200569,0.8435946802005527,0.6327470098888273,12.893253865404445,50
U2AF1,141,2000,0.0033692733850330114,0.03491837903857231,0.7270146608352661,0.7270146608352661,0.6370930477703025,0.46,0.40267959193166786,1.0514077204692631,0.7177696656491804,13.615662173709056,50
NOL6,107,2000,0.0012941937893629074,0.022956859320402145,0.9303457140922546,0.9303457140922546,0.7838525934341036,0.9,0.9611299556387023,1.0639564006122484,0.721912858259128,13.701158862081762,50
SF3A2,236,2000,0.0014034088235348463,0.022229216992855072,0.7292246222496033,0.7292246222496033,0.6347123244269591,0.44,0.41275105901426756,0.8690454624805822,0.6456235532470522,12.852675675301342,50
TXN,81,2000,0.0010222230339422822,0.020548244938254356,0.6511327624320984,0.6511327624320984,0.4850583310168987,0.48,0.5053447717179664,1.0486463183319872,0.7252364448950046,14.064899508432916,50
ORC5,89,2000,0.0009412172366864979,0.02043827436864376,0.4385074973106384,0.4385074973106384,0.2105649481817586,0.27,0.2389112979111494,1.075689854041002,0.7443027714479054,14.26967875417044,50
DDX49,41,2000,0.0013479472836479545,0.025829410180449486,0.5100703239440918,0.5100703239440918,0.2506481341619875,0.51,0.4536460979843437,1.2483506717101789,0.7602518439291738,13.851424911786427,50
ANKRD11,184,2000,0.0014725282089784741,0.020220385864377022,-0.23993642628192902,-0.23993642628192902,-0.15003626377225318,0.28,0.23335943459044126,0.8051420802209281,0.6348849974969697,13.978341001145507,50
CCDC86,235,2000,0.0009634312591515481,0.017932463437318802,0.8285083770751953,0.8285083770751953,0.6716107127206657,0.69,0.7363951424033941,0.7713774598568662,0.6058193452543598,12.910947308432032,50
RPS21,63,2000,0.0014542093267664313,0.024455957114696503,0.7243969440460205,0.7243969440460205,0.5122075515528879,0.69,0.6687604864948563,1.2483355996398844,0.7914286219574366,13.96642315927489,50
POLE,154,2000,0.0008698545279912651,0.01883813552558422,0.8734885454177856,0.8734885454177856,0.7164458391550282,0.74,0.7998758588942994,0.9022605941319406,0.6359508431399761,12.853878310489051,50
TRMT10C,67,2000,0.0012683139648288488,0.02043769136071205,0.4326874017715454,0.4326874017715454,0.29001241781337755,0.37,0.3473337570721618,1.149021526663891,0.7580634376425667,14.02213783727463,50
VPS29,146,2000,0.0008471565088257194,0.017635870724916458,0.5322946310043335,0.5322946310043335,0.4403151015057391,0.26,0.18162192966062365,0.9463148393676335,0.6875975826446458,13.494509178868196,50
CWC15,144,2000,0.0018089863006025553,0.026563091203570366,0.8831852674484253,0.8831852674484253,0.8014145488055177,0.66,0.6967975907823611,0.9959777312667021,0.6947016500443695,13.293097992376813,50
