condition,source_context_count,pcc_delta,topk_de_overlap,pra_top100_true_de,csa_pearson
IARS2,0,0.2392200608672399,0.4,0.1602112273210721,0.3184986230837122
ILF3,0,0.2038646582484628,0.13,0.1562370102341683,0.1979348005850001
IMP4,0,0.6759572364852799,0.58,0.2020627891381185,0.3857977261355952
INO80,0,0.0446898092500104,0.13,0.1480732137206721,0.231602999522089
INTS1,0,0.127222282809669,0.22,0.1572668100316458,0.1915541667857953
INTS2,0,0.7511018560822612,0.47,0.1102869807076383,0.106364487899469
INTS5,0,0.57008189461884,0.37,0.1038768388763314,0.0736969665725002
INTS6,0,0.333417082455392,0.27,0.1593162518557902,0.1729275644732145
INTS7,0,0.6434163596205716,0.43,0.1234032342491153,0.0754678995115075
INTS8,0,0.787220306448087,0.55,0.1008793864597471,0.0883904348101345
IPO13,0,0.1435312831050186,0.15,0.1567662812255266,0.1306329926146824
JAZF1,0,0.3193734408977912,0.18,0.1702291703048462,0.2320381482437301
KANSL2,0,0.3766390308108059,0.3,0.1468389158927332,0.1456622799523405
KANSL3,0,0.3459969453140917,0.32,0.174853981566728,0.2197234849091167
KCTD10,0,0.4066526026082664,0.33,0.1703291265493798,0.0968610967493549
KIN,0,0.358180225647915,0.2,0.1182788472992581,0.1756174704527393
LAMTOR2,0,0.2098666263947961,0.2,0.1316503696953306,0.133471811905821
LAMTOR4,0,0.2221395404175486,0.16,0.1395273581439641,0.2289010273093386
LARS,0,0.5853183924135562,0.38,0.1667078726928234,0.2952038750216398
LIN54,0,0.0026653640514718,0.19,0.1224024610755235,0.1905225594811097
LONP1,0,0.2265552721285399,0.36,0.1487857463509006,0.1791195925323697
LRPPRC,0,0.924140346451216,0.52,0.2263540974626854,0.3973079040800926
LSM10,0,0.0253695131089794,0.16,0.1497156403908446,0.1438290764056954
LSM11,0,0.3442297620706723,0.37,0.1639481548430552,0.1794490999269116
LSM2,0,0.6226347820062081,0.4,0.1494934654288128,0.2191021166836766
LTV1,0,0.6918995706223581,0.56,0.1885451266621575,0.3875578022866338
LUC7L3,0,0.153463859995332,0.23,0.1621970695489427,0.1157418140352752
MAGOH,0,0.3915989935679345,0.26,0.1578078839160306,0.1625231933236174
MARS2,0,0.2073341577136435,0.26,0.1604574052515373,0.1684377051000455
MAT2A,0,0.2500950094493102,0.3,0.1466330912988896,0.0449307471853539
MAU2,0,0.3745167368189515,0.28,0.1457232871206616,0.1380701960357723
MCM10,0,0.5573810604211968,0.49,0.1351476349672231,0.1131603966405171
MCMBP,0,0.1051878554369439,0.16,0.145118976081675,0.1506218157231577
MDN1,0,0.4710335959807479,0.4,0.1539622014704334,0.1207226203207378
MED1,0,0.7444269974039162,0.51,0.1373166628308709,0.1453518608660161
MED12,0,0.6690870717365924,0.43,0.1191009116106883,0.1600492538454171
MED14,0,0.6688884613572509,0.46,0.1440153948434655,0.1346847134938332
MED20,0,0.6253059084856761,0.54,0.1618714660555959,0.2062469142205049
MED21,0,0.6858900161027764,0.5,0.1322947133365622,0.0970835049182453
MED31,0,0.3761749070779877,0.35,0.1786745360111397,0.2106045337218592
MED6,0,0.5867185333492353,0.4,0.1334590975916951,0.1616767877630238
MED7,0,0.7409461003655518,0.55,0.1164768441850168,0.0773584617258788
MED8,0,0.6320777374999685,0.51,0.153250735371555,0.2054184765433476
MED9,0,0.7250021951629815,0.51,0.1178433030693257,0.1437171846771426
METTL14,0,0.5478286906495416,0.37,0.1480873075321669,0.1679670012227335
METTL16,0,-0.1052222046499149,0.15,0.1497778464523119,0.111832720022964
METTL3,0,0.1831827296942493,0.16,0.1351667523881627,0.171536532796875
MEX3A,0,0.0029180691553195,0.16,0.1915516066972021,0.333266508382589
MFAP1,0,0.5370206618509074,0.24,0.1188856250561472,0.1321348141615392
MMS22L,0,0.4028920336200014,0.31,0.153474428623938,0.1202730965510939
MOB4,0,0.1654161363685909,0.17,0.1705206173702606,0.1920253670972281
MRPL10,0,0.5987813812640689,0.41,0.2031714746623915,0.2755573605013823
MRPL16,0,0.4977373983870738,0.38,0.1861023163718945,0.2278314001179681
MRPL19,0,0.6962467372649238,0.53,0.2159148906004486,0.2831114832057246
MRPL2,0,0.5567823765681751,0.42,0.1702693856415522,0.1640852146383451
MRPL22,0,0.5218361168833505,0.34,0.186690844938299,0.2246065129756701
MRPL24,0,0.5642236201501938,0.4,0.1882314100083789,0.2580562261726395
MRPL27,0,0.6194654715973085,0.43,0.2160943833880941,0.2832286419160171
MRPL32,0,0.5366049620242037,0.34,0.204731963006174,0.1867100652685053
MRPL33,0,0.5403378199680816,0.32,0.2064309036791706,0.2770214849722526
MRPL35,0,0.4200893433207028,0.3,0.1837362726438803,0.2336016380568671
MRPL39,0,0.6529991746678195,0.49,0.2211618958661797,0.2792312104818814
MRPL4,0,0.540971868867721,0.3,0.1607367601627055,0.1766112093445883
MRPL49,0,0.5532985708020254,0.54,0.1932598459160925,0.244190975922362
MRPL50,0,0.379370167078272,0.24,0.2045097355489088,0.3246715777485566
MRPL53,0,0.5096767216940613,0.33,0.1865859351392676,0.2441663874959577
MRPL55,0,0.4911602253568169,0.34,0.1774419423227413,0.1887787286096304
MRPS10,0,0.4028650891849911,0.45,0.1914944834295267,0.3777807693694985
MRPS18A,0,0.5545713529937224,0.43,0.1974900367164639,0.2526058486602711
MRPS24,0,0.212974013382451,0.22,0.19006626465005,0.2627908677916014
MRPS26,0,0.2638060531955477,0.28,0.1815692632590392,0.2630175247039775
MRPS27,0,0.2953872080906355,0.33,0.1618501205382981,0.1758028634596533
MRPS28,0,0.2581090935077464,0.19,0.221903859162353,0.4352397643974305
MRPS34,0,0.3968344869742501,0.34,0.149410525536273,0.1655983544105247
MTOR,0,0.7508996255874524,0.55,0.1876909106879133,0.2995535606310737
MTPAP,0,0.2680910254361258,0.11,0.18403573441802,0.3204965384022191
MVD,0,0.3246817250456451,0.24,0.1805542063699822,0.1304847988457041
N6AMT1,0,-0.0464106093536999,0.18,0.1634521171724786,0.1709109786598057
NAA15,0,0.3067249421920573,0.18,0.1777400033417026,0.3651135670376414
NAA25,0,0.4063521027851018,0.29,0.1389912787472186,0.1096904383201128
