model,context,condition,gene_set,top_k,n_true_cells,n_pred_cells,n_corr_pairs,csa_pearson,csa_spearman
TxPert_official_cell_gat_k562_all_fixed2000,K562,NVL,top_true_de,100,105,2000,4950,0.2894188211581323,0.26806665017632636
TxPert_official_cell_gat_k562_all_fixed2000,K562,OGFOD1,top_true_de,100,101,2000,4950,0.1189971952639469,0.11860169463704187
TxPert_official_cell_gat_k562_all_fixed2000,K562,OGT,top_true_de,100,31,2000,4950,0.19667103064013894,0.17803737626677968
TxPert_official_cell_gat_k562_all_fixed2000,K562,OPA1,top_true_de,100,53,2000,4851,0.18287027568457456,0.15113761090430142
TxPert_official_cell_gat_k562_all_fixed2000,K562,ORC1,top_true_de,100,477,2000,4851,0.13552284997149644,0.14441737871749277
TxPert_official_cell_gat_k562_all_fixed2000,K562,ORC5,top_true_de,100,89,2000,4950,0.12018366628953374,0.11512058487412143
TxPert_official_cell_gat_k562_all_fixed2000,K562,OXA1L,top_true_de,100,305,2000,4950,0.44505247569064926,0.423040438792992
TxPert_official_cell_gat_k562_all_fixed2000,K562,PABPN1,top_true_de,100,93,2000,4950,0.08525391901192089,0.07694408506139422
TxPert_official_cell_gat_k562_all_fixed2000,K562,PAF1,top_true_de,100,229,2000,4950,0.06032581117290711,0.0618338983103377
TxPert_official_cell_gat_k562_all_fixed2000,K562,PAM16,top_true_de,100,43,2000,4851,0.13573298638360587,0.11420253190411285
TxPert_official_cell_gat_k562_all_fixed2000,K562,PAXBP1,top_true_de,100,114,2000,4950,0.14473390047384438,0.1284271646716277
TxPert_official_cell_gat_k562_all_fixed2000,K562,PCBP1,top_true_de,100,93,2000,4950,0.08498459057465689,0.08362292718375253
TxPert_official_cell_gat_k562_all_fixed2000,K562,PCF11,top_true_de,100,393,2000,4851,0.2022496646696433,0.24302622319836426
TxPert_official_cell_gat_k562_all_fixed2000,K562,PCID2,top_true_de,100,208,2000,4950,0.18162965181075585,0.17094958993217937
TxPert_official_cell_gat_k562_all_fixed2000,K562,PCNA,top_true_de,100,82,2000,4851,0.07609989264299433,0.07829487707252766
TxPert_official_cell_gat_k562_all_fixed2000,K562,PDAP1,top_true_de,100,38,2000,4950,0.09816609568198824,0.09410040957516827
TxPert_official_cell_gat_k562_all_fixed2000,K562,PDCD11,top_true_de,100,95,2000,4950,0.4137050873836604,0.41356396014953406
TxPert_official_cell_gat_k562_all_fixed2000,K562,PDCD2,top_true_de,100,59,2000,4950,0.3661378930488595,0.3454300259023548
TxPert_official_cell_gat_k562_all_fixed2000,K562,PDCD7,top_true_de,100,80,2000,4950,0.07964420916951896,0.06973887960892428
TxPert_official_cell_gat_k562_all_fixed2000,K562,PDRG1,top_true_de,100,111,2000,4851,0.17350035097043734,0.16482302276988467
TxPert_official_cell_gat_k562_all_fixed2000,K562,PELO,top_true_de,100,240,2000,4950,0.18807883385014532,0.18034636128215722
TxPert_official_cell_gat_k562_all_fixed2000,K562,PELP1,top_true_de,100,60,2000,4950,0.10780730041328147,0.09085417534783126
TxPert_official_cell_gat_k562_all_fixed2000,K562,PES1,top_true_de,100,54,2000,4950,0.029760316541887866,0.026338724408675553
TxPert_official_cell_gat_k562_all_fixed2000,K562,PET117,top_true_de,100,80,2000,4950,0.28338049023133466,0.24746869456915888
TxPert_official_cell_gat_k562_all_fixed2000,K562,PFDN2,top_true_de,100,77,2000,4950,0.1670198142272995,0.1622338274619056
TxPert_official_cell_gat_k562_all_fixed2000,K562,PFN1,top_true_de,100,239,2000,4950,0.27832191954217533,0.24082660229138997
TxPert_official_cell_gat_k562_all_fixed2000,K562,PGAM1,top_true_de,100,145,2000,4950,0.233545550229526,0.22118179047777936
TxPert_official_cell_gat_k562_all_fixed2000,K562,PGD,top_true_de,100,98,2000,4851,0.17213998854954787,0.15378521348374208
TxPert_official_cell_gat_k562_all_fixed2000,K562,PGPEP1,top_true_de,100,51,2000,4950,0.06896794625529581,0.06476578320365681
