condition,state_available,mean_pcc,mean_spearman,delta_pcc,delta_spearman,top100_de_overlap,auprc
RPL23,False,0.9780882015095091,0.9500802672946707,0.4205156128222336,0.2514505162411248,0.37,0.3289372077891706
RPL23A,True,0.9775874339301736,0.9040071850886774,0.5997716134678013,0.3451072853951797,0.48,0.45442838009323544
RPL24,False,0.9844213291560279,0.9611469140922885,0.39774628283688107,0.24322000461155105,0.37,0.3459541599227969
RPL26,True,0.983690770831382,0.9563940108171275,0.5023651846192739,0.3396555872281542,0.46,0.4493647656904634
RPL27,False,0.9785875368055098,0.9294879813691304,0.4337798136023574,0.24566282314392643,0.36,0.3245885675750255
RPL27A,False,0.9764077782176346,0.9427286918756332,0.44170485411095617,0.2599355103182121,0.37,0.3373751197051978
RPL30,False,0.98808992316445,0.9622026797609102,0.40210467135161077,0.22166378304587248,0.35,0.3110953903551489
RPL31,False,0.9761652858674297,0.9448350091950605,0.4251860550557509,0.2505562704727858,0.37,0.3005355623380291
RPL32,True,0.9848785252032515,0.9384239539174625,0.5543271116569283,0.39085935182273734,0.51,0.4595511868769799
RPL34,True,0.9806020204068552,0.9313383302102929,0.6555345161388499,0.4461725021876083,0.52,0.5478943444359159
RPL35,True,0.9796417229674573,0.8917346933937079,0.42631957115277497,0.245649477861334,0.43,0.3270191085261835
RPL35A,True,0.9803657343640151,0.9134051121531399,0.5968475158894454,0.37265890662895307,0.51,0.5255746631693525
RPL36,False,0.9800097079803983,0.947781896112904,0.42523646364536166,0.2335470987719186,0.37,0.33228721035331754
RPL36A,False,0.9931918898469941,0.9641311573697714,0.20564378319688342,0.09459216019535885,0.3,0.2447710621551478
RPL37,False,0.9920669539568663,0.9734271227792679,0.3408418297605156,0.20226562637946324,0.38,0.3619694728870217
RPL37A,True,0.9845935766520242,0.9407384401213839,0.6396721650480037,0.44878346618277254,0.51,0.5501363595439162
RPL38,True,0.9856451777152014,0.9384424989486573,0.6105469694547566,0.3980320912151368,0.5,0.5075649839695165
RPL39,True,0.9834783019043414,0.902114107703168,0.32137094220270274,0.19913211770439967,0.35,0.2918890670581648
RPL4,True,0.984922854555566,0.9388871615551502,0.6795635711626432,0.4653339071366218,0.55,0.568027594332249
RPL5,True,0.9763880200201763,0.8946669662951573,0.5575042332868501,0.352663545937941,0.47,0.46180766327899647
RPL6,False,0.9784330072772361,0.9478518580838159,0.4117480120387272,0.22818627724788168,0.36,0.2989172647373597
RPL7,True,0.9819735329814621,0.9381778107133857,0.6186731829476995,0.41104401193015305,0.53,0.5256219557207206
RPL7L1,False,0.9850945264718715,0.9197621758958017,0.32069781621583576,0.18847835478227018,0.3,0.21165940413971382
RPL8,False,0.9833303533841599,0.9524946313968874,0.44838745497517984,0.25129377727509633,0.39,0.34627044816269004
RPL9,True,0.9851720970064156,0.9517546247238063,0.5831158794629766,0.37987019647561304,0.48,0.4124572386088312
RPLP0,True,0.9843851448267883,0.9256835814259229,0.5981583979730064,0.4156576190221785,0.42,0.4147019763250606
RPLP1,True,0.9889089065185256,0.9612297074989531,0.17188427730096167,0.08204014815525223,0.27,0.14384442260518865
RPLP2,False,0.9914266172186338,0.9669285516332017,0.14697445267945095,0.0382684381866956,0.22,0.1465414734531592
RPP14,False,0.9883970435568059,0.951377539398613,0.2333666893028505,0.08713608533513491,0.26,0.2169445714387785
RPP30,True,0.993335474097819,0.9586176656217068,0.6325500416025641,0.27732590880678276,0.67,0.6820842823027073
RPP38,True,0.9922120166311587,0.939044830639666,0.3891813261475267,0.141690881772471,0.51,0.4122407832391468
RPP40,False,0.9874353036560118,0.9610882745859379,0.12387778536076159,0.007149118704205859,0.18,0.15058499686023255
RPS10,True,0.9916689873464254,0.9546387940706498,0.6000838312994533,0.28474272142185886,0.62,0.5808368478416011
RPS11,True,0.9864080445076575,0.9550596577973611,0.6965790178179759,0.47284789163387614,0.63,0.6431813485149687
RPS12,False,0.9797006901539035,0.9640858592398573,0.21963075421988099,0.09329307491655356,0.26,0.2019087458515979
RPS13,False,0.9788348112970433,0.947139561232432,0.2790369077891054,0.1129881917606886,0.23,0.1694196534968102
RPS14,False,0.9850534976088264,0.9652364233281775,0.2543691008523648,0.1270391286725218,0.25,0.193747884012766
RPS15,True,0.9722434682600989,0.8330681235999424,0.4827248311192349,0.20452689203609797,0.51,0.474025309163217
RPS15A,True,0.9876327914934081,0.9485159312618989,0.6804427421410577,0.4358343028659099,0.6,0.6083548858817155
RPS16,False,0.9829117013866521,0.9470999265237448,0.2184676921032677,0.06629152561670501,0.23,0.1824526293168572
RPS17,False,0.9847832817018295,0.9614482578885855,0.2770282955839379,0.12911440948777514,0.27,0.2226658452131928
RPS18,False,0.9756169296521738,0.9523274516629164,0.248011221227757,0.12622686343554995,0.26,0.19596695126404295
RPS19,False,0.980408608239016,0.9626429377182865,0.26179256472180407,0.13291618402502425,0.28,0.21527883702391534
RPS19BP1,True,0.9874865075658968,0.9254130996143082,0.4229667340814916,0.150630533075317,0.48,0.4333342334350262
RPS2,True,0.988704787002953,0.9196180875607667,0.5826393856935539,0.33744536914931167,0.56,0.5658244449969309
RPS20,True,0.986253481088275,0.9483431773195251,0.6628017170879272,0.4411847314145885,0.58,0.5883507014273159
RPS21,False,0.9874079741910952,0.9570543529874713,0.11648443930525702,-0.0033872994045753245,0.24,0.15806023366533772
RPS23,False,0.9755070980586754,0.9480717240439823,0.23962735778264468,0.10645320202823393,0.26,0.20841906590786818
RPS24,True,0.9825018187110649,0.9491733051941472,0.6617346164142344,0.4410711395935682,0.63,0.6206247013504945
RPS26,False,0.9745733139341826,0.9359041781729357,0.28003568740830415,0.13881157866654992,0.27,0.20605979011513473
RPS27,True,0.987333765954364,0.9653847810680247,0.41303176458428126,0.151816658351065,0.51,0.4717974592803941
RPS27A,True,0.984110052340621,0.9306204287966886,0.6556729405873803,0.41284240131101707,0.6,0.6013502582958584
RPS28,True,0.989218354022336,0.9584591478156949,0.6363030132194065,0.36001749632979557,0.61,0.6175605401403067
RPS29,True,0.988123041526391,0.9527602587564172,0.6837034661045841,0.4447185622450606,0.62,0.6260874708993103
RPS3,True,0.9816020582660727,0.9459376873443412,0.6470458219073904,0.4444556992086004,0.59,0.5833764561377859
RPS3A,True,0.9848801988941339,0.9409114731630362,0.6302595456483476,0.38873793236532267,0.62,0.6488987249472334
RPS4X,True,0.979901452922739,0.9574612192221245,0.5815864149752189,0.3530215133493873,0.62,0.5911124709005513
RPS5,False,0.9784952781642482,0.9566107970993668,0.2679915269793643,0.14662364232523464,0.26,0.2040871324396178
RPS6,True,0.9810316313276229,0.9423972655978919,0.6781479620649037,0.47965972851292554,0.63,0.618252608259614
RPS7,False,0.9819647632870279,0.9573498991419396,0.3132540701472572,0.15006056827476555,0.27,0.21355340152906294
RPS9,False,0.9791919091670933,0.9590216821438734,0.2620709429087249,0.11950926269954056,0.25,0.19713468691397176
RPSA,True,0.9879386971093815,0.9554883394349946,0.5999197669394005,0.3894277631973472,0.58,0.5782804931945025
RPTOR,True,0.9919028107082971,0.9323011153236208,0.41860854997119706,0.24297201430867402,0.32,0.2868849361167738
RPUSD4,False,0.9963924632822427,0.9722851954481458,0.24333763824409377,0.18282182970685443,0.24,0.2082270396308952
RRM1,False,0.984056782289644,0.9282754064028218,0.4301128321244802,0.24755365676454047,0.38,0.30536521939635614
RRN3,True,0.9824600919731307,0.8986370876041545,0.2995916074599529,0.1399433198048947,0.39,0.3281082978719743
RRP1,True,0.9942087986953035,0.9524811404227823,0.30767497871526367,0.16657811964664312,0.34,0.2842891180574048
RRP12,True,0.9912020128189443,0.9646091386510846,0.5998174371008115,0.2572016451438615,0.63,0.6081362866057215
RRP7A,True,0.9870419723626809,0.9116145714742133,0.5167101813944419,0.24581136217697652,0.54,0.5047576737929023
RRP9,False,0.9907112946794987,0.9650953115813279,0.07423893861380498,-0.04268912414028732,0.18,0.10852690663409967
RRS1,False,0.9916144959795631,0.9537770921845902,0.4390959583012676,0.23320028423791925,0.39,0.3843981538539144
RSL1D1,True,0.9954822744166404,0.9682659570060117,0.290176596498362,0.17539382821058463,0.29,0.22918673772028145
RSL24D1,True,0.9901243547024221,0.948650488096518,0.45126746485667335,0.28696935242996446,0.4,0.3229383875502659
RTCB,False,0.9965340823039363,0.9735328482595474,0.13383150713397415,0.09108780528187825,0.28,0.1894674481015551
RTF1,True,0.9755986139010613,0.8792867507864204,0.27079911584380834,0.2315666263362466,0.34,0.29519443391996036
RUVBL1,True,0.9797349835587559,0.8850228946774193,0.6616851211436816,0.5190080583006109,0.54,0.545658822458631
SAE1,False,0.9948299385646296,0.9632013048517407,0.19253078672753968,0.1643032703817295,0.29,0.20845701678788792
