model,condition,n_test_cells,n_pred_cells,pra_all_genes,pra_top100_true_de,pra_nonzero_genes,true_range_mean,pred_range_mean,range_width_ratio
TxPert_exphormer_mg_fixed2000,DNTTIP2,235,2000,0.06690881886195163,0.18331556633022714,0.06690881886195163,0.43496005176007746,0.03484638851791621,0.08011399570091417
TxPert_exphormer_mg_fixed2000,U2AF1,141,2000,0.06130000263081988,0.08736198978516141,0.06130000263081988,0.420098631221056,0.03121075062319637,0.0742938623473749
TxPert_exphormer_mg_fixed2000,NOL6,107,2000,0.06885711785533283,0.19100015528476372,0.06885711785533283,0.4252839975506068,0.034682614122480165,0.08155165373424746
TxPert_exphormer_mg_fixed2000,SF3A2,236,2000,0.06596524186895517,0.08620001554969756,0.06596524186895517,0.42184059628397225,0.03271459231376648,0.07755202279351897
TxPert_exphormer_mg_fixed2000,TXN,81,2000,0.07445511540203875,0.10956930023848276,0.07445511540203875,0.3783483798742294,0.03334321143910289,0.08812832915764976
TxPert_exphormer_mg_fixed2000,ORC5,89,2000,0.0746023427601189,0.09623338972175872,0.07461726621336158,0.3805908186483384,0.0346134334485978,0.09094657790763586
TxPert_exphormer_mg_fixed2000,DDX49,41,2000,0.0682874726593323,0.18489178999222727,0.06849295151387393,0.38321426654458046,0.03477596249774099,0.09074808697450862
TxPert_exphormer_mg_fixed2000,ANKRD11,184,2000,0.07907222250215712,0.14251692047143466,0.07908804011017916,0.354242490489781,0.03426984966911376,0.09674121434252456
TxPert_exphormer_mg_fixed2000,CCDC86,235,2000,0.07425628149448195,0.13536541159693236,0.07427113572162627,0.3874881085300445,0.03461162453379483,0.08932306018851817
TxPert_exphormer_mg_fixed2000,RPS21,63,2000,0.07039403433770237,0.18752149090614398,0.07042220321898998,0.4056592321473361,0.035337931535281246,0.08711235407388167
TxPert_exphormer_mg_fixed2000,POLE,154,2000,0.07281950036929112,0.10121554988104949,0.07281950036929112,0.4110071186682584,0.034507305082529784,0.08395792353855283
TxPert_exphormer_mg_fixed2000,TRMT10C,67,2000,0.07450365596984145,0.1657441578570819,0.07453346935758448,0.37729951485425234,0.03405912184663117,0.09027077852745223
TxPert_exphormer_mg_fixed2000,VPS29,146,2000,0.06911160503111856,0.11351843979951318,0.06912543011714199,0.3999026525333524,0.035525508100166914,0.08883538777940506
