model,condition,gene_set,top_k,n_true_cells,n_pred_cells,n_corr_pairs,csa_pearson,csa_spearman
TxPert_exphormer_mg_fixed2000,POLR3C+ctrl,top_true_de,100,169,2000,4851,0.1488986271696964,0.14776633700508224
TxPert_exphormer_mg_fixed2000,DHX37+ctrl,top_true_de,100,202,2000,4950,0.37903919505729733,0.40346406823585
TxPert_exphormer_mg_fixed2000,SAP18+ctrl,top_true_de,100,40,2000,4851,0.33562526503039786,0.3244606768025015
TxPert_exphormer_mg_fixed2000,GNL3+ctrl,top_true_de,100,29,2000,4950,0.07372749439436478,0.07263323027260248
TxPert_exphormer_mg_fixed2000,NDC80+ctrl,top_true_de,100,171,2000,4851,0.14289089608899241,0.13992373212988857
TxPert_exphormer_mg_fixed2000,TTC27+ctrl,top_true_de,100,87,2000,4950,0.14115776324576096,0.13934477354923896
TxPert_exphormer_mg_fixed2000,CDC123+ctrl,top_true_de,100,96,2000,4950,0.2135438056548919,0.20224290947926274
TxPert_exphormer_mg_fixed2000,WDR3+ctrl,top_true_de,100,329,2000,4950,0.41728058670477797,0.4311803974349594
TxPert_exphormer_mg_fixed2000,WDR43+ctrl,top_true_de,100,47,2000,4851,0.20534437735398517,0.2126855780453344
TxPert_exphormer_mg_fixed2000,RPL35A+ctrl,top_true_de,100,97,2000,4950,0.10213055905730214,0.10822565693846535
TxPert_exphormer_mg_fixed2000,NUTF2+ctrl,top_true_de,100,44,2000,4950,0.07953596360422435,0.07729461089093835
TxPert_exphormer_mg_fixed2000,SNRPE+ctrl,top_true_de,100,128,2000,4950,0.34051006165659603,0.3293614243060256
TxPert_exphormer_mg_fixed2000,CSTF3+ctrl,top_true_de,100,59,2000,4950,0.1466730294201226,0.1496309690820936
TxPert_exphormer_mg_fixed2000,WDR5+ctrl,top_true_de,100,75,2000,4950,0.3688396618278593,0.3602449275962348
TxPert_exphormer_mg_fixed2000,YEATS2+ctrl,top_true_de,100,233,2000,4950,0.3769183129828689,0.35680014184626135
TxPert_exphormer_mg_fixed2000,PSMA2+ctrl,top_true_de,100,38,2000,4950,0.10427429034347316,0.09844361539934303
TxPert_exphormer_mg_fixed2000,HNRNPM+ctrl,top_true_de,100,128,2000,4950,0.09597142824196409,0.08812710686688682
TxPert_exphormer_mg_fixed2000,RPL11+ctrl,top_true_de,100,315,2000,4950,0.1446270704447463,0.15137505132175957
TxPert_exphormer_mg_fixed2000,MED26+ctrl,top_true_de,100,99,2000,4950,0.24182365484398627,0.23517268142792905
TxPert_exphormer_mg_fixed2000,FAM50A+ctrl,top_true_de,100,38,2000,4950,0.0801390399591602,0.07834245137051678
TxPert_exphormer_mg_fixed2000,SMC4+ctrl,top_true_de,100,169,2000,4851,0.28107988737949186,0.2819883508924787
TxPert_exphormer_mg_fixed2000,THOC7+ctrl,top_true_de,100,104,2000,4950,0.14853090313700623,0.15114242228554278
TxPert_exphormer_mg_fixed2000,EIF3F+ctrl,top_true_de,100,36,2000,4851,0.09986892224424405,0.10770297288726143
TxPert_exphormer_mg_fixed2000,MRPL49+ctrl,top_true_de,100,36,2000,4950,0.2762847282785904,0.27913194882569714
TxPert_exphormer_mg_fixed2000,EIF3J+ctrl,top_true_de,100,72,2000,4950,0.12318084133702592,0.12108985118521
TxPert_exphormer_mg_fixed2000,PSMD4+ctrl,top_true_de,100,285,2000,4950,0.3904489780971552,0.38729053515329304
TxPert_exphormer_mg_fixed2000,SCAF1+ctrl,top_true_de,100,158,2000,4950,0.0833556343796932,0.09159405802451068
TxPert_exphormer_mg_fixed2000,RNMT+ctrl,top_true_de,100,106,2000,4950,0.4684623179289237,0.4633673252774104
TxPert_exphormer_mg_fixed2000,PPP4R2+ctrl,top_true_de,100,162,2000,4851,0.10552253559859615,0.09846038121415204
TxPert_exphormer_mg_fixed2000,ARPC4+ctrl,top_true_de,100,188,2000,4950,0.17787371589954148,0.16993315038081325
TxPert_exphormer_mg_fixed2000,DDOST+ctrl,top_true_de,100,74,2000,4950,0.07131528942007226,0.06770413640443182
TxPert_exphormer_mg_fixed2000,MRPL32+ctrl,top_true_de,100,62,2000,4950,0.1909895201565877,0.17686090910502017
TxPert_exphormer_mg_fixed2000,RNF40+ctrl,top_true_de,100,185,2000,4950,0.15857047628611343,0.15641586198281981
TxPert_exphormer_mg_fixed2000,HSD17B12+ctrl,top_true_de,100,135,2000,4851,0.19142561565128058,0.1918364771486391
TxPert_exphormer_mg_fixed2000,EXOSC10+ctrl,top_true_de,100,77,2000,4950,0.4258204780990077,0.4260578242293249
TxPert_exphormer_mg_fixed2000,NOP10+ctrl,top_true_de,100,124,2000,4950,0.39726406131190883,0.36643122537555584
TxPert_exphormer_mg_fixed2000,CPSF4+ctrl,top_true_de,100,57,2000,4950,0.09420133168960079,0.09562400105813819
TxPert_exphormer_mg_fixed2000,OGFOD1+ctrl,top_true_de,100,101,2000,4950,0.13513367061771592,0.14184583406258794
TxPert_exphormer_mg_fixed2000,RPL18+ctrl,top_true_de,100,229,2000,4950,0.15099138594097106,0.16110979843939652
TxPert_exphormer_mg_fixed2000,SPCS3+ctrl,top_true_de,100,115,2000,4851,0.12922535523330625,0.11782368828254894
