model,context,condition,gene_set,top_k,n_true_cells,n_pred_cells,n_corr_pairs,csa_pearson,csa_spearman
direct_source_expression,K562,XRCC5,top_true_de,100,77,163,4950,0.4704595513069757,0.4295019450131114
direct_source_expression,K562,XRN2,top_true_de,100,57,75,4950,0.13792442539458646,0.1102599309762179
direct_source_expression,K562,YEATS2,top_true_de,100,233,213,4950,0.5702136061415779,0.4366458197268825
direct_source_expression,K562,YTHDC1,top_true_de,100,157,233,4851,0.6588806255151521,0.6124817180592672
direct_source_expression,K562,ZBTB17,top_true_de,100,158,800,4950,0.30377811152130674,0.2006367991652235
direct_source_expression,K562,ZC3H18,top_true_de,100,23,105,4950,0.08881070230288607,0.06851516521938138
direct_source_expression,K562,ZCRB1,top_true_de,100,141,215,4851,0.20649928928334418,0.15342547292808761
direct_source_expression,K562,ZFC3H1,top_true_de,100,105,204,4851,0.198786664444879,0.16673394536699168
direct_source_expression,K562,ZMAT2,top_true_de,100,348,398,4950,0.5522700205536415,0.5538014441760087
direct_source_expression,K562,ZMAT5,top_true_de,100,98,115,4950,0.2468539092915032,0.20426319805423132
direct_source_expression,K562,ZNF236,top_true_de,100,85,766,4950,0.5026679768601036,0.46364975099070493
direct_source_expression,K562,ZNF574,top_true_de,100,266,216,4950,0.33566375674405335,0.25676203097784944
direct_source_expression,K562,ZNHIT6,top_true_de,100,116,132,4950,0.5985627259797401,0.5405836756042348
