model,condition,gene_set,top_k,n_true_cells,n_pred_cells,n_corr_pairs,csa_pearson,csa_spearman
Scouter_GenePTv1_40ep_fixed2000,C1QBP,top_true_de,100,189,2000,4950,0.5787231400512851,0.5635720320905746
Scouter_GenePTv1_40ep_fixed2000,SNRNP200,top_true_de,100,92,2000,4950,0.8617681640926488,0.8347480150345628
Scouter_GenePTv1_40ep_fixed2000,NUDC,top_true_de,100,106,2000,4950,0.4796836199626566,0.45217293740800335
Scouter_GenePTv1_40ep_fixed2000,PCF11,top_true_de,100,393,2000,4950,0.5130860745402427,0.5330053469487361
Scouter_GenePTv1_40ep_fixed2000,PSMA3,top_true_de,100,194,2000,4950,0.8562023342870229,0.8176266510611835
Scouter_GenePTv1_40ep_fixed2000,RPS26,top_true_de,100,73,2000,4950,0.5593580535831826,0.5220088632468455
Scouter_GenePTv1_40ep_fixed2000,GRPEL1,top_true_de,100,96,2000,4950,0.7996317026687161,0.8042249774382009
Scouter_GenePTv1_40ep_fixed2000,PHF5A,top_true_de,100,197,2000,4950,0.8168498015572644,0.8214758439969981
Scouter_GenePTv1_40ep_fixed2000,ZNHIT6,top_true_de,100,116,2000,4950,0.8077753567837888,0.7495960127465885
Scouter_GenePTv1_40ep_fixed2000,SRBD1,top_true_de,100,143,2000,4950,0.8472230077416042,0.8464469688779436
Scouter_GenePTv1_40ep_fixed2000,MFAP1,top_true_de,100,164,2000,4950,0.8670489942863433,0.8729059899835794
Scouter_GenePTv1_40ep_fixed2000,RPS19,top_true_de,100,410,2000,4950,0.8529507107916157,0.8731088409810893
Scouter_GenePTv1_40ep_fixed2000,ARGLU1,top_true_de,100,367,2000,4950,0.6837438110463364,0.5733448671970771
Scouter_GenePTv1_40ep_fixed2000,GTF2E2,top_true_de,100,69,2000,4950,0.5552244995133857,0.5290952066612148
Scouter_GenePTv1_40ep_fixed2000,DYNLRB1,top_true_de,100,192,2000,4851,0.8348273496371849,0.8414151370805294
Scouter_GenePTv1_40ep_fixed2000,TSR2,top_true_de,100,486,2000,4950,0.8161280127309958,0.7759505835043043
Scouter_GenePTv1_40ep_fixed2000,COG2,top_true_de,100,332,2000,4851,0.6221531461395206,0.5917312375416105
Scouter_GenePTv1_40ep_fixed2000,SFPQ,top_true_de,100,185,2000,4950,0.6428005345920111,0.626706198763026
Scouter_GenePTv1_40ep_fixed2000,MRPL18,top_true_de,100,128,2000,4950,0.552079258812529,0.5006844029429096
